character,tag,count,novel
Agatha,N,1,Hard_Cash
Agatha,C,0,Hard_Cash
Agatha,I,0,Hard_Cash
Agatha,A,3,Hard_Cash
Agatha,DC,0,Hard_Cash
Agatha,DN,0,Hard_Cash
Aileen aroon,N,28,Hard_Cash
Aileen aroon,C,0,Hard_Cash
Aileen aroon,I,0,Hard_Cash
Aileen aroon,A,0,Hard_Cash
Aileen aroon,DC,3,Hard_Cash
Aileen aroon,DN,0,Hard_Cash
Albion Villa,N,6,Hard_Cash
Albion Villa,C,0,Hard_Cash
Albion Villa,I,0,Hard_Cash
Albion Villa,A,0,Hard_Cash
Albion Villa,DC,0,Hard_Cash
Albion Villa,DN,1,Hard_Cash
Alfred,N,1325,Hard_Cash
Alfred,C,783,Hard_Cash
Alfred,I,692,Hard_Cash
Alfred,A,1297,Hard_Cash
Alfred,DC,455,Hard_Cash
Alfred,DN,214,Hard_Cash
Andrew,N,5,Hard_Cash
Andrew,C,0,Hard_Cash
Andrew,I,0,Hard_Cash
Andrew,A,1,Hard_Cash
Andrew,DC,0,Hard_Cash
Andrew,DN,0,Hard_Cash
Aquilina,N,1,Hard_Cash
Aquilina,C,0,Hard_Cash
Aquilina,I,2,Hard_Cash
Aquilina,A,0,Hard_Cash
Aquilina,DC,0,Hard_Cash
Aquilina,DN,1,Hard_Cash
Aristotle,N,5,Hard_Cash
Aristotle,C,0,Hard_Cash
Aristotle,I,0,Hard_Cash
Aristotle,A,0,Hard_Cash
Aristotle,DC,2,Hard_Cash
Aristotle,DN,0,Hard_Cash
B.,N,8,Hard_Cash
B.,C,0,Hard_Cash
B.,I,0,Hard_Cash
B.,A,2,Hard_Cash
B.,DC,2,Hard_Cash
B.,DN,0,Hard_Cash
Badham o ' Wadham,N,7,Hard_Cash
Badham o ' Wadham,C,2,Hard_Cash
Badham o ' Wadham,I,1,Hard_Cash
Badham o ' Wadham,A,0,Hard_Cash
Badham o ' Wadham,DC,0,Hard_Cash
Badham o ' Wadham,DN,0,Hard_Cash
Baker,N,42,Hard_Cash
Baker,C,11,Hard_Cash
Baker,I,4,Hard_Cash
Baker,A,21,Hard_Cash
Baker,DC,7,Hard_Cash
Baker,DN,3,Hard_Cash
Bayliss,N,13,Hard_Cash
Bayliss,C,10,Hard_Cash
Bayliss,I,3,Hard_Cash
Bayliss,A,5,Hard_Cash
Bayliss,DC,3,Hard_Cash
Bayliss,DN,1,Hard_Cash
Billy,N,42,Hard_Cash
Billy,C,6,Hard_Cash
Billy,I,2,Hard_Cash
Billy,A,16,Hard_Cash
Billy,DC,4,Hard_Cash
Billy,DN,5,Hard_Cash
Board,N,1,Hard_Cash
Board,C,0,Hard_Cash
Board,I,0,Hard_Cash
Board,A,1,Hard_Cash
Board,DC,1,Hard_Cash
Board,DN,1,Hard_Cash
Brown,N,39,Hard_Cash
Brown,C,23,Hard_Cash
Brown,I,11,Hard_Cash
Brown,A,31,Hard_Cash
Brown,DC,13,Hard_Cash
Brown,DN,1,Hard_Cash
Brutus,N,5,Hard_Cash
Brutus,C,0,Hard_Cash
Brutus,I,0,Hard_Cash
Brutus,A,1,Hard_Cash
Brutus,DC,2,Hard_Cash
Brutus,DN,0,Hard_Cash
Cambridge,N,10,Hard_Cash
Cambridge,C,0,Hard_Cash
Cambridge,I,1,Hard_Cash
Cambridge,A,5,Hard_Cash
Cambridge,DC,4,Hard_Cash
Cambridge,DN,0,Hard_Cash
Captain Bazalgette,N,5,Hard_Cash
Captain Bazalgette,C,0,Hard_Cash
Captain Bazalgette,I,3,Hard_Cash
Captain Bazalgette,A,3,Hard_Cash
Captain Bazalgette,DC,1,Hard_Cash
Captain Bazalgette,DN,0,Hard_Cash
Christ,N,3,Hard_Cash
Christ,C,2,Hard_Cash
Christ,I,0,Hard_Cash
Christ,A,1,Hard_Cash
Christ,DC,0,Hard_Cash
Christ,DN,0,Hard_Cash
Christian,N,5,Hard_Cash
Christian,C,0,Hard_Cash
Christian,I,0,Hard_Cash
Christian,A,1,Hard_Cash
Christian,DC,2,Hard_Cash
Christian,DN,0,Hard_Cash
Co.,N,5,Hard_Cash
Co.,C,0,Hard_Cash
Co.,I,0,Hard_Cash
Co.,A,1,Hard_Cash
Co.,DC,0,Hard_Cash
Co.,DN,0,Hard_Cash
Collier,N,7,Hard_Cash
Collier,C,7,Hard_Cash
Collier,I,4,Hard_Cash
