character,tag,count,novel
A. B.,N,1,Hard_Times
A. B.,C,0,Hard_Times
A. B.,I,1,Hard_Times
A. B.,A,0,Hard_Times
A. B.,DC,0,Hard_Times
A. B.,DN,2,Hard_Times
Bitzer,N,70,Hard_Times
Bitzer,C,58,Hard_Times
Bitzer,I,30,Hard_Times
Bitzer,A,51,Hard_Times
Bitzer,DC,39,Hard_Times
Bitzer,DN,3,Hard_Times
Brothers,N,2,Hard_Times
Brothers,C,4,Hard_Times
Brothers,I,0,Hard_Times
Brothers,A,0,Hard_Times
Brothers,DC,0,Hard_Times
Brothers,DN,0,Hard_Times
Childerth,N,5,Hard_Times
Childerth,C,0,Hard_Times
Childerth,I,1,Hard_Times
Childerth,A,1,Hard_Times
Childerth,DC,6,Hard_Times
Childerth,DN,0,Hard_Times
Cupid,N,4,Hard_Times
Cupid,C,4,Hard_Times
Cupid,I,1,Hard_Times
Cupid,A,2,Hard_Times
Cupid,DC,0,Hard_Times
Cupid,DN,0,Hard_Times
Emma Gordon,N,4,Hard_Times
Emma Gordon,C,0,Hard_Times
Emma Gordon,I,0,Hard_Times
Emma Gordon,A,3,Hard_Times
Emma Gordon,DC,4,Hard_Times
Emma Gordon,DN,0,Hard_Times
Father,N,20,Hard_Times
Father,C,0,Hard_Times
Father,I,2,Hard_Times
Father,A,5,Hard_Times
Father,DC,16,Hard_Times
Father,DN,1,Hard_Times
George,N,9,Hard_Times
George,C,0,Hard_Times
George,I,0,Hard_Times
George,A,0,Hard_Times
George,DC,8,Hard_Times
George,DN,0,Hard_Times
God,N,7,Hard_Times
God,C,0,Hard_Times
God,I,1,Hard_Times
God,A,0,Hard_Times
God,DC,4,Hard_Times
God,DN,0,Hard_Times
Halloa,N,1,Hard_Times
Halloa,C,0,Hard_Times
Halloa,I,0,Hard_Times
Halloa,A,2,Hard_Times
Halloa,DC,3,Hard_Times
Halloa,DN,1,Hard_Times
Heaven,N,8,Hard_Times
Heaven,C,0,Hard_Times
Heaven,I,0,Hard_Times
Heaven,A,2,Hard_Times
Heaven,DC,4,Hard_Times
Heaven,DN,0,Hard_Times
Jane,N,4,Hard_Times
Jane,C,0,Hard_Times
Jane,I,1,Hard_Times
Jane,A,0,Hard_Times
Jane,DC,1,Hard_Times
Jane,DN,1,Hard_Times
Josephine,N,6,Hard_Times
Josephine,C,0,Hard_Times
Josephine,I,0,Hard_Times
Josephine,A,4,Hard_Times
Josephine,DC,1,Hard_Times
Josephine,DN,0,Hard_Times
Josiah Bounderby,N,58,Hard_Times
Josiah Bounderby,C,30,Hard_Times
Josiah Bounderby,I,20,Hard_Times
Josiah Bounderby,A,28,Hard_Times
Josiah Bounderby,DC,34,Hard_Times
Josiah Bounderby,DN,4,Hard_Times
Lady Scadgers,N,7,Hard_Times
Lady Scadgers,C,0,Hard_Times
Lady Scadgers,I,0,Hard_Times
Lady Scadgers,A,0,Hard_Times
Lady Scadgers,DC,1,Hard_Times
Lady Scadgers,DN,0,Hard_Times
Loo,N,60,Hard_Times
Loo,C,1,Hard_Times
Loo,I,8,Hard_Times
Loo,A,22,Hard_Times
Loo,DC,60,Hard_Times
Loo,DN,4,Hard_Times
Louisa,N,292,Hard_Times
Louisa,C,221,Hard_Times
Louisa,I,184,Hard_Times
Louisa,A,229,Hard_Times
Louisa,DC,173,Hard_Times
Louisa,DN,35,Hard_Times
Master Kidderminster,N,9,Hard_Times
Master Kidderminster,C,6,Hard_Times
Master Kidderminster,I,3,Hard_Times
Master Kidderminster,A,5,Hard_Times
Master Kidderminster,DC,6,Hard_Times
Master Kidderminster,DN,1,Hard_Times
Merrylegs,N,10,Hard_Times
Merrylegs,C,0,Hard_Times
Merrylegs,I,0,Hard_Times
Merrylegs,A,1,Hard_Times
Merrylegs,DC,10,Hard_Times
Merrylegs,DN,0,Hard_Times
Miss Gradgrind,N,15,Hard_Times
Miss Gradgrind,C,0,Hard_Times
Miss Gradgrind,I,3,Hard_Times
Miss Gradgrind,A,9,Hard_Times
Miss Gradgrind,DC,18,Hard_Times
Miss Gradgrind,DN,0,Hard_Times
Mother Sparsit,N,3,Hard_Times
Mother Sparsit,C,0,Hard_Times
Mother Sparsit,I,1,Hard_Times
Mother Sparsit,A,1,Hard_Times
Mother Sparsit,DC,4,Hard_Times
Mother Sparsit,DN,0,Hard_Times
Mr. Bounderby,N,734,Hard_Times
Mr. Bounderby,C,638,Hard_Times
Mr. Bounderby,I,310,Hard_Times
Mr. Bounderby,A,336,Hard_Times
Mr. Bounderby,DC,124,Hard_Times
Mr. Bounderby,DN,29,Hard_Times
Mr. Childers,N,25,Hard_Times
Mr. Childers,C,36,Hard_Times
Mr. Childers,I,17,Hard_Times
Mr. Childers,A,22,Hard_Times
Mr. Childers,DC,10,Hard_Times
Mr. Childers,DN,1,Hard_Times
Mr. Harthouse,N,148,Hard_Times
Mr. Harthouse,C,139,Hard_Times
Mr. Harthouse,I,124,Hard_Times
Mr. Harthouse,A,133,Hard_Times
Mr. Harthouse,DC,79,Hard_Times
Mr. Harthouse,DN,27,Hard_Times
Mr. M’Choakumchild,N,13,Hard_Times
Mr. M’Choakumchild,C,0,Hard_Times
Mr. M’Choakumchild,I,5,Hard_Times
Mr. M’Choakumchild,A,8,Hard_Times
Mr. M’Choakumchild,DC,9,Hard_Times
Mr. M’Choakumchild,DN,0,Hard_Times
Mr. Sleary,N,59,Hard_Times
Mr. Sleary,C,67,Hard_Times
Mr. Sleary,I,37,Hard_Times
Mr. Sleary,A,52,Hard_Times
Mr. Sleary,DC,8,Hard_Times
Mr. Sleary,DN,7,Hard_Times
Mrs. Gradgrind,N,48,Hard_Times
Mrs. Gradgrind,C,36,Hard_Times
Mrs. Gradgrind,I,32,Hard_Times
Mrs. Gradgrind,A,32,Hard_Times
Mrs. Gradgrind,DC,14,Hard_Times
Mrs. Gradgrind,DN,4,Hard_Times
Mrs. Pegler,N,25,Hard_Times
Mrs. Pegler,C,15,Hard_Times
Mrs. Pegler,I,9,Hard_Times
Mrs. Pegler,A,16,Hard_Times
Mrs. Pegler,DC,6,Hard_Times
Mrs. Pegler,DN,5,Hard_Times
Nickits,N,6,Hard_Times
Nickits,C,0,Hard_Times
Nickits,I,0,Hard_Times
Nickits,A,1,Hard_Times
Nickits,DC,1,Hard_Times
Nickits,DN,0,Hard_Times
No little Gradgrind,N,5,Hard_Times
No little Gradgrind,C,0,Hard_Times
