character,tag,count,novel
Abraham,N,48,Jack_Sheppard
Abraham,C,35,Jack_Sheppard
Abraham,I,12,Jack_Sheppard
Abraham,A,18,Jack_Sheppard
Abraham,DC,13,Jack_Sheppard
Abraham,DN,0,Jack_Sheppard
Aliva,N,18,Jack_Sheppard
Aliva,C,1,Jack_Sheppard
Aliva,I,2,Jack_Sheppard
Aliva,A,5,Jack_Sheppard
Aliva,DC,11,Jack_Sheppard
Aliva,DN,0,Jack_Sheppard
Alsatia,N,2,Jack_Sheppard
Alsatia,C,0,Jack_Sheppard
Alsatia,I,1,Jack_Sheppard
Alsatia,A,0,Jack_Sheppard
Alsatia,DC,0,Jack_Sheppard
Alsatia,DN,0,Jack_Sheppard
Austin,N,80,Jack_Sheppard
Austin,C,64,Jack_Sheppard
Austin,I,23,Jack_Sheppard
Austin,A,47,Jack_Sheppard
Austin,DC,21,Jack_Sheppard
Austin,DN,3,Jack_Sheppard
Baptist,N,18,Jack_Sheppard
Baptist,C,6,Jack_Sheppard
Baptist,I,2,Jack_Sheppard
Baptist,A,4,Jack_Sheppard
Baptist,DC,2,Jack_Sheppard
Baptist,DN,3,Jack_Sheppard
Ben,N,27,Jack_Sheppard
Ben,C,28,Jack_Sheppard
Ben,I,10,Jack_Sheppard
Ben,A,8,Jack_Sheppard
Ben,DC,1,Jack_Sheppard
Ben,DN,0,Jack_Sheppard
Black Mary,N,6,Jack_Sheppard
Black Mary,C,0,Jack_Sheppard
Black Mary,I,0,Jack_Sheppard
Black Mary,A,3,Jack_Sheppard
Black Mary,DC,0,Jack_Sheppard
Black Mary,DN,1,Jack_Sheppard
Brother,N,3,Jack_Sheppard
Brother,C,0,Jack_Sheppard
Brother,I,2,Jack_Sheppard
Brother,A,1,Jack_Sheppard
Brother,DC,2,Jack_Sheppard
Brother,DN,0,Jack_Sheppard
Caliban,N,19,Jack_Sheppard
Caliban,C,3,Jack_Sheppard
Caliban,I,2,Jack_Sheppard
Caliban,A,9,Jack_Sheppard
Caliban,DC,6,Jack_Sheppard
Caliban,DN,0,Jack_Sheppard
Captain Darrell,N,9,Jack_Sheppard
Captain Darrell,C,0,Jack_Sheppard
Captain Darrell,I,2,Jack_Sheppard
