character,tag,count,novel
Abby,N,4,Jude_the_Obscure
Abby,C,0,Jude_the_Obscure
Abby,I,4,Jude_the_Obscure
Abby,A,4,Jude_the_Obscure
Abby,DC,8,Jude_the_Obscure
Abby,DN,1,Jude_the_Obscure
Alfredston,N,5,Jude_the_Obscure
Alfredston,C,0,Jude_the_Obscure
Alfredston,I,1,Jude_the_Obscure
Alfredston,A,0,Jude_the_Obscure
Alfredston,DC,0,Jude_the_Obscure
Alfredston,DN,0,Jude_the_Obscure
Anny,N,21,Jude_the_Obscure
Anny,C,24,Jude_the_Obscure
Anny,I,17,Jude_the_Obscure
Anny,A,21,Jude_the_Obscure
Anny,DC,11,Jude_the_Obscure
Anny,DN,0,Jude_the_Obscure
Arabella,N,310,Jude_the_Obscure
Arabella,C,349,Jude_the_Obscure
Arabella,I,227,Jude_the_Obscure
Arabella,A,331,Jude_the_Obscure
Arabella,DC,104,Jude_the_Obscure
Arabella,DN,30,Jude_the_Obscure
Aunt Drusilla,N,6,Jude_the_Obscure
Aunt Drusilla,C,0,Jude_the_Obscure
Aunt Drusilla,I,0,Jude_the_Obscure
Aunt Drusilla,A,1,Jude_the_Obscure
Aunt Drusilla,DC,3,Jude_the_Obscure
Aunt Drusilla,DN,1,Jude_the_Obscure
Challow,N,6,Jude_the_Obscure
Challow,C,0,Jude_the_Obscure
Challow,I,0,Jude_the_Obscure
Challow,A,6,Jude_the_Obscure
Challow,DC,2,Jude_the_Obscure
Challow,DN,1,Jude_the_Obscure
Donn,N,10,Jude_the_Obscure
Donn,C,9,Jude_the_Obscure
Donn,I,2,Jude_the_Obscure
Donn,A,6,Jude_the_Obscure
Donn,DC,0,Jude_the_Obscure
Donn,DN,1,Jude_the_Obscure
Drusilla Fawley,N,6,Jude_the_Obscure
Drusilla Fawley,C,1,Jude_the_Obscure
Drusilla Fawley,I,1,Jude_the_Obscure
Drusilla Fawley,A,1,Jude_the_Obscure
Drusilla Fawley,DC,1,Jude_the_Obscure
Drusilla Fawley,DN,1,Jude_the_Obscure
Farmer Troutham,N,8,Jude_the_Obscure
Farmer Troutham,C,1,Jude_the_Obscure
Farmer Troutham,I,1,Jude_the_Obscure
Farmer Troutham,A,5,Jude_the_Obscure
Farmer Troutham,DC,1,Jude_the_Obscure
Farmer Troutham,DN,1,Jude_the_Obscure
Father,N,27,Jude_the_Obscure
Father,C,2,Jude_the_Obscure
Father,I,3,Jude_the_Obscure
Father,A,14,Jude_the_Obscure
Father,DC,19,Jude_the_Obscure
Father,DN,1,Jude_the_Obscure
George,N,1,Jude_the_Obscure
George,C,0,Jude_the_Obscure
George,I,3,Jude_the_Obscure
George,A,1,Jude_the_Obscure
George,DC,4,Jude_the_Obscure
George,DN,0,Jude_the_Obscure
Gillingham,N,36,Jude_the_Obscure
Gillingham,C,85,Jude_the_Obscure
Gillingham,I,66,Jude_the_Obscure
Gillingham,A,82,Jude_the_Obscure
Gillingham,DC,4,Jude_the_Obscure
Gillingham,DN,5,Jude_the_Obscure
God,N,36,Jude_the_Obscure
God,C,0,Jude_the_Obscure
God,I,5,Jude_the_Obscure
God,A,5,Jude_the_Obscure
God,DC,20,Jude_the_Obscure
God,DN,0,Jude_the_Obscure
Heaven,N,7,Jude_the_Obscure
Heaven,C,0,Jude_the_Obscure
Heaven,I,2,Jude_the_Obscure
Heaven,A,0,Jude_the_Obscure
Heaven,DC,4,Jude_the_Obscure
Heaven,DN,0,Jude_the_Obscure
J. S. Mill,N,4,Jude_the_Obscure
J. S. Mill,C,3,Jude_the_Obscure
J. S. Mill,I,1,Jude_the_Obscure
J. S. Mill,A,8,Jude_the_Obscure
J. S. Mill,DC,2,Jude_the_Obscure
J. S. Mill,DN,0,Jude_the_Obscure
"JUDE,—I",N,1,Jude_the_Obscure
"JUDE,—I",C,0,Jude_the_Obscure
"JUDE,—I",I,1,Jude_the_Obscure
"JUDE,—I",A,4,Jude_the_Obscure
"JUDE,—I",DC,0,Jude_the_Obscure
"JUDE,—I",DN,2,Jude_the_Obscure
Jude,N,990,Jude_the_Obscure
Jude,C,711,Jude_the_Obscure
Jude,I,888,Jude_the_Obscure
Jude,A,1427,Jude_the_Obscure
Jude,DC,380,Jude_the_Obscure
Jude,DN,183,Jude_the_Obscure
Jude!—you,N,1,Jude_the_Obscure
Jude!—you,C,0,Jude_the_Obscure
Jude!—you,I,4,Jude_the_Obscure
Jude!—you,A,1,Jude_the_Obscure
Jude!—you,DC,0,Jude_the_Obscure
Jude!—you,DN,0,Jude_the_Obscure
Lord,N,1,Jude_the_Obscure
Lord,C,0,Jude_the_Obscure
Lord,I,0,Jude_the_Obscure
Lord,A,2,Jude_the_Obscure
Lord,DC,0,Jude_the_Obscure
Lord,DN,0,Jude_the_Obscure
Marygreen,N,17,Jude_the_Obscure
Marygreen,C,0,Jude_the_Obscure
Marygreen,I,0,Jude_the_Obscure
Marygreen,A,0,Jude_the_Obscure
Marygreen,DC,3,Jude_the_Obscure
Marygreen,DN,0,Jude_the_Obscure
Miss Bridehead,N,3,Jude_the_Obscure
Miss Bridehead,C,0,Jude_the_Obscure
Miss Bridehead,I,0,Jude_the_Obscure
Miss Bridehead,A,1,Jude_the_Obscure
Miss Bridehead,DC,1,Jude_the_Obscure
Miss Bridehead,DN,2,Jude_the_Obscure
Miss Fontover,N,6,Jude_the_Obscure
Miss Fontover,C,6,Jude_the_Obscure
Miss Fontover,I,6,Jude_the_Obscure
Miss Fontover,A,16,Jude_the_Obscure
Miss Fontover,DC,3,Jude_the_Obscure
Miss Fontover,DN,2,Jude_the_Obscure
Mother,N,9,Jude_the_Obscure
Mother,C,0,Jude_the_Obscure
Mother,I,3,Jude_the_Obscure
Mother,A,6,Jude_the_Obscure
Mother,DC,2,Jude_the_Obscure
Mother,DN,2,Jude_the_Obscure
Mr. Cockman,N,2,Jude_the_Obscure
Mr. Cockman,C,0,Jude_the_Obscure
Mr. Cockman,I,0,Jude_the_Obscure
Mr. Cockman,A,1,Jude_the_Obscure
Mr. Cockman,DC,0,Jude_the_Obscure
Mr. Cockman,DN,0,Jude_the_Obscure
Mr. Fawley,N,6,Jude_the_Obscure
Mr. Fawley,C,0,Jude_the_Obscure
Mr. Fawley,I,0,Jude_the_Obscure
Mr. Fawley,A,2,Jude_the_Obscure
Mr. Fawley,DC,3,Jude_the_Obscure
Mr. Fawley,DN,1,Jude_the_Obscure
Mrs.,N,1,Jude_the_Obscure
Mrs.,C,0,Jude_the_Obscure
Mrs.,I,1,Jude_the_Obscure
Mrs.,A,3,Jude_the_Obscure
Mrs.,DC,9,Jude_the_Obscure
Mrs.,DN,0,Jude_the_Obscure
Mrs. Cartlett,N,10,Jude_the_Obscure
Mrs. Cartlett,C,2,Jude_the_Obscure
Mrs. Cartlett,I,3,Jude_the_Obscure
Mrs. Cartlett,A,3,Jude_the_Obscure
Mrs. Cartlett,DC,4,Jude_the_Obscure
Mrs. Cartlett,DN,0,Jude_the_Obscure
Mrs. Edlin,N,38,Jude_the_Obscure
Mrs. Edlin,C,29,Jude_the_Obscure
Mrs. Edlin,I,21,Jude_the_Obscure
Mrs. Edlin,A,41,Jude_the_Obscure
Mrs. Edlin,DC,16,Jude_the_Obscure
Mrs. Edlin,DN,0,Jude_the_Obscure
Nature,N,6,Jude_the_Obscure
Nature,C,0,Jude_the_Obscure
Nature,I,0,Jude_the_Obscure
Nature,A,1,Jude_the_Obscure
Nature,DC,2,Jude_the_Obscure
Nature,DN,0,Jude_the_Obscure
Phillotson,N,249,Jude_the_Obscure
Phillotson,C,121,Jude_the_Obscure
Phillotson,I,131,Jude_the_Obscure
Phillotson,A,193,Jude_the_Obscure
Phillotson,DC,147,Jude_the_Obscure
Phillotson,DN,23,Jude_the_Obscure
Samson,N,3,Jude_the_Obscure
Samson,C,0,Jude_the_Obscure
Samson,I,0,Jude_the_Obscure
Samson,A,3,Jude_the_Obscure
Samson,DC,3,Jude_the_Obscure
Samson,DN,1,Jude_the_Obscure
Shaston,N,8,Jude_the_Obscure
Shaston,C,1,Jude_the_Obscure
Shaston,I,0,Jude_the_Obscure
Shaston,A,0,Jude_the_Obscure
Shaston,DC,1,Jude_the_Obscure
Shaston,DN,2,Jude_the_Obscure
Sue,N,610,Jude_the_Obscure
Sue,C,563,Jude_the_Obscure
Sue,I,467,Jude_the_Obscure
Sue,A,748,Jude_the_Obscure
Sue,DC,275,Jude_the_Obscure
Sue,DN,98,Jude_the_Obscure
Tinker Taylor,N,15,Jude_the_Obscure
Tinker Taylor,C,19,Jude_the_Obscure
Tinker Taylor,I,19,Jude_the_Obscure
Tinker Taylor,A,17,Jude_the_Obscure
Tinker Taylor,DC,9,Jude_the_Obscure
Tinker Taylor,DN,3,Jude_the_Obscure
Uncle Joe,N,9,Jude_the_Obscure
Uncle Joe,C,8,Jude_the_Obscure
Uncle Joe,I,1,Jude_the_Obscure
Uncle Joe,A,0,Jude_the_Obscure
Uncle Joe,DC,0,Jude_the_Obscure
Uncle Joe,DN,0,Jude_the_Obscure
Vilbert,N,14,Jude_the_Obscure
Vilbert,C,12,Jude_the_Obscure
Vilbert,I,5,Jude_the_Obscure
Vilbert,A,17,Jude_the_Obscure
Vilbert,DC,6,Jude_the_Obscure
Vilbert,DN,4,Jude_the_Obscure
Well”—Jude,N,1,Jude_the_Obscure
Well”—Jude,C,0,Jude_the_Obscure
Well”—Jude,I,1,Jude_the_Obscure
Well”—Jude,A,0,Jude_the_Obscure
Well”—Jude,DC,3,Jude_the_Obscure
Well”—Jude,DN,0,Jude_the_Obscure
Willis,N,5,Jude_the_Obscure
Willis,C,0,Jude_the_Obscure
Willis,I,3,Jude_the_Obscure
Willis,A,7,Jude_the_Obscure
Willis,DC,2,Jude_the_Obscure
Willis,DN,0,Jude_the_Obscure
the Fawleys,N,3,Jude_the_Obscure
the Fawleys,C,0,Jude_the_Obscure
the Fawleys,I,0,Jude_the_Obscure
the Fawleys,A,2,Jude_the_Obscure
the Fawleys,DC,3,Jude_the_Obscure
the Fawleys,DN,0,Jude_the_Obscure
the Widow Edlin,N,7,Jude_the_Obscure
the Widow Edlin,C,0,Jude_the_Obscure
the Widow Edlin,I,1,Jude_the_Obscure
the Widow Edlin,A,7,Jude_the_Obscure
the Widow Edlin,DC,3,Jude_the_Obscure
the Widow Edlin,DN,0,Jude_the_Obscure
