character,tag,count,novel
Alicia,N,244,Lady_Audley's_Secret
Alicia,C,139,Lady_Audley's_Secret
Alicia,I,107,Lady_Audley's_Secret
Alicia,A,129,Lady_Audley's_Secret
Alicia,DC,71,Lady_Audley's_Secret
Alicia,DN,22,Lady_Audley's_Secret
Atkinson,N,4,Lady_Audley's_Secret
Atkinson,C,0,Lady_Audley's_Secret
Atkinson,I,0,Lady_Audley's_Secret
Atkinson,A,2,Lady_Audley's_Secret
Atkinson,DC,4,Lady_Audley's_Secret
Atkinson,DN,0,Lady_Audley's_Secret
Billy,N,4,Lady_Audley's_Secret
Billy,C,0,Lady_Audley's_Secret
Billy,I,0,Lady_Audley's_Secret
Billy,A,1,Lady_Audley's_Secret
Billy,DC,5,Lady_Audley's_Secret
Billy,DN,0,Lady_Audley's_Secret
Bob,N,36,Lady_Audley's_Secret
Bob,C,0,Lady_Audley's_Secret
Bob,I,5,Lady_Audley's_Secret
Bob,A,11,Lady_Audley's_Secret
Bob,DC,38,Lady_Audley's_Secret
Bob,DN,0,Lady_Audley's_Secret
Caesar,N,7,Lady_Audley's_Secret
Caesar,C,0,Lady_Audley's_Secret
Caesar,I,1,Lady_Audley's_Secret
Caesar,A,2,Lady_Audley's_Secret
Caesar,DC,5,Lady_Audley's_Secret
Caesar,DN,0,Lady_Audley's_Secret
Captain Maldon,N,13,Lady_Audley's_Secret
Captain Maldon,C,0,Lady_Audley's_Secret
Captain Maldon,I,0,Lady_Audley's_Secret
Captain Maldon,A,3,Lady_Audley's_Secret
Captain Maldon,DC,7,Lady_Audley's_Secret
Captain Maldon,DN,1,Lady_Audley's_Secret
Clara Talboys,N,75,Lady_Audley's_Secret
Clara Talboys,C,41,Lady_Audley's_Secret
Clara Talboys,I,34,Lady_Audley's_Secret
Clara Talboys,A,50,Lady_Audley's_Secret
Clara Talboys,DC,45,Lady_Audley's_Secret
Clara Talboys,DN,10,Lady_Audley's_Secret
Dr. Mosgrave,N,29,Lady_Audley's_Secret
Dr. Mosgrave,C,24,Lady_Audley's_Secret
Dr. Mosgrave,I,11,Lady_Audley's_Secret
Dr. Mosgrave,A,19,Lady_Audley's_Secret
Dr. Mosgrave,DC,8,Lady_Audley's_Secret
Dr. Mosgrave,DN,1,Lady_Audley's_Secret
George,N,309,Lady_Audley's_Secret
George,C,86,Lady_Audley's_Secret
George,I,114,Lady_Audley's_Secret
George,A,229,Lady_Audley's_Secret
George,DC,122,Lady_Audley's_Secret
George,DN,22,Lady_Audley's_Secret
George Talboys,N,120,Lady_Audley's_Secret
George Talboys,C,9,Lady_Audley's_Secret
George Talboys,I,11,Lady_Audley's_Secret
