character,tag,count,novel
Baynes,N,7,Love_and_Mr._Lewisham
Baynes,C,0,Love_and_Mr._Lewisham
Baynes,I,0,Love_and_Mr._Lewisham
Baynes,A,1,Love_and_Mr._Lewisham
Baynes,DC,0,Love_and_Mr._Lewisham
Baynes,DN,1,Love_and_Mr._Lewisham
Bletherley,N,9,Love_and_Mr._Lewisham
Bletherley,C,3,Love_and_Mr._Lewisham
Bletherley,I,0,Love_and_Mr._Lewisham
Bletherley,A,2,Love_and_Mr._Lewisham
Bletherley,DC,5,Love_and_Mr._Lewisham
Bletherley,DN,2,Love_and_Mr._Lewisham
Bonover,N,38,Love_and_Mr._Lewisham
Bonover,C,18,Love_and_Mr._Lewisham
Bonover,I,7,Love_and_Mr._Lewisham
Bonover,A,12,Love_and_Mr._Lewisham
Bonover,DC,5,Love_and_Mr._Lewisham
Bonover,DN,0,Love_and_Mr._Lewisham
Carlyle,N,5,Love_and_Mr._Lewisham
Carlyle,C,0,Love_and_Mr._Lewisham
Carlyle,I,0,Love_and_Mr._Lewisham
Carlyle,A,0,Love_and_Mr._Lewisham
Carlyle,DC,1,Love_and_Mr._Lewisham
Carlyle,DN,0,Love_and_Mr._Lewisham
Chaffery,N,121,Love_and_Mr._Lewisham
Chaffery,C,99,Love_and_Mr._Lewisham
Chaffery,I,40,Love_and_Mr._Lewisham
Chaffery,A,86,Love_and_Mr._Lewisham
Chaffery,DC,24,Love_and_Mr._Lewisham
Chaffery,DN,9,Love_and_Mr._Lewisham
Dear Madam,N,2,Love_and_Mr._Lewisham
Dear Madam,C,0,Love_and_Mr._Lewisham
Dear Madam,I,0,Love_and_Mr._Lewisham
Dear Madam,A,0,Love_and_Mr._Lewisham
Dear Madam,DC,7,Love_and_Mr._Lewisham
Dear Madam,DN,0,Love_and_Mr._Lewisham
Dunkerley,N,37,Love_and_Mr._Lewisham
Dunkerley,C,34,Love_and_Mr._Lewisham
Dunkerley,I,12,Love_and_Mr._Lewisham
Dunkerley,A,18,Love_and_Mr._Lewisham
