character,tag,count,novel
Admiral Crawford,N,7,Mansfield_Park
Admiral Crawford,C,1,Mansfield_Park
Admiral Crawford,I,6,Mansfield_Park
Admiral Crawford,A,3,Mansfield_Park
Admiral Crawford,DC,2,Mansfield_Park
Admiral Crawford,DN,1,Mansfield_Park
Agatha,N,17,Mansfield_Park
Agatha,C,0,Mansfield_Park
Agatha,I,0,Mansfield_Park
Agatha,A,2,Mansfield_Park
Agatha,DC,9,Mansfield_Park
Agatha,DN,0,Mansfield_Park
Amelia,N,15,Mansfield_Park
Amelia,C,0,Mansfield_Park
Amelia,I,2,Mansfield_Park
Amelia,A,2,Mansfield_Park
Amelia,DC,12,Mansfield_Park
Amelia,DN,1,Mansfield_Park
Anderson,N,3,Mansfield_Park
Anderson,C,0,Mansfield_Park
Anderson,I,0,Mansfield_Park
Anderson,A,0,Mansfield_Park
Anderson,DC,3,Mansfield_Park
Anderson,DN,0,Mansfield_Park
Anhalt,N,19,Mansfield_Park
Anhalt,C,1,Mansfield_Park
Anhalt,I,0,Mansfield_Park
Anhalt,A,1,Mansfield_Park
Anhalt,DC,8,Mansfield_Park
Anhalt,DN,0,Mansfield_Park
Baddeley,N,5,Mansfield_Park
Baddeley,C,2,Mansfield_Park
Baddeley,I,1,Mansfield_Park
Baddeley,A,0,Mansfield_Park
Baddeley,DC,3,Mansfield_Park
Baddeley,DN,1,Mansfield_Park
Baron Wildenheim,N,3,Mansfield_Park
Baron Wildenheim,C,0,Mansfield_Park
Baron Wildenheim,I,0,Mansfield_Park
Baron Wildenheim,A,1,Mansfield_Park
Baron Wildenheim,DC,3,Mansfield_Park
Baron Wildenheim,DN,0,Mansfield_Park
Betsey,N,33,Mansfield_Park
Betsey,C,0,Mansfield_Park
Betsey,I,2,Mansfield_Park
Betsey,A,14,Mansfield_Park
Betsey,DC,9,Mansfield_Park
Betsey,DN,5,Mansfield_Park
Chapman,N,8,Mansfield_Park
Chapman,C,0,Mansfield_Park
Chapman,I,0,Mansfield_Park
Chapman,A,2,Mansfield_Park
Chapman,DC,5,Mansfield_Park
Chapman,DN,0,Mansfield_Park
Charles,N,9,Mansfield_Park
Charles,C,0,Mansfield_Park
Charles,I,1,Mansfield_Park
Charles,A,2,Mansfield_Park
Charles,DC,0,Mansfield_Park
Charles,DN,1,Mansfield_Park
Charles Maddox,N,8,Mansfield_Park
Charles Maddox,C,0,Mansfield_Park
