character,tag,count,novel
Alice,N,166,Mary_Barton
Alice,C,19,Mary_Barton
Alice,I,54,Mary_Barton
Alice,A,86,Mary_Barton
Alice,DC,76,Mary_Barton
Alice,DN,15,Mary_Barton
Amy,N,15,Mary_Barton
Amy,C,11,Mary_Barton
Amy,I,12,Mary_Barton
Amy,A,6,Mary_Barton
Amy,DC,2,Mary_Barton
Amy,DN,2,Mary_Barton
BURNS,N,1,Mary_Barton
BURNS,C,2,Mary_Barton
BURNS,I,3,Mary_Barton
BURNS,A,0,Mary_Barton
BURNS,DC,0,Mary_Barton
BURNS,DN,0,Mary_Barton
Ben Sturgis,N,8,Mary_Barton
Ben Sturgis,C,1,Mary_Barton
Ben Sturgis,I,1,Mary_Barton
Ben Sturgis,A,8,Mary_Barton
Ben Sturgis,DC,0,Mary_Barton
Ben Sturgis,DN,1,Mary_Barton
Bessy Witter,N,1,Mary_Barton
Bessy Witter,C,0,Mary_Barton
Bessy Witter,I,0,Mary_Barton
Bessy Witter,A,0,Mary_Barton
Bessy Witter,DC,0,Mary_Barton
Bessy Witter,DN,2,Mary_Barton
Betty,N,4,Mary_Barton
Betty,C,0,Mary_Barton
Betty,I,2,Mary_Barton
Betty,A,0,Mary_Barton
Betty,DC,1,Mary_Barton
Betty,DN,1,Mary_Barton
CRABBE,N,4,Mary_Barton
CRABBE,C,0,Mary_Barton
CRABBE,I,1,Mary_Barton
CRABBE,A,1,Mary_Barton
CRABBE,DC,0,Mary_Barton
CRABBE,DN,0,Mary_Barton
Carsons,N,9,Mary_Barton
Carsons,C,0,Mary_Barton
Carsons,I,3,Mary_Barton
Carsons,A,2,Mary_Barton
Carsons,DC,6,Mary_Barton
Carsons,DN,0,Mary_Barton
Charley,N,36,Mary_Barton
Charley,C,19,Mary_Barton
Charley,I,16,Mary_Barton
Charley,A,31,Mary_Barton
Charley,DC,9,Mary_Barton
Charley,DN,6,Mary_Barton
Davenport,N,20,Mary_Barton
Davenport,C,0,Mary_Barton
Davenport,I,3,Mary_Barton
Davenport,A,7,Mary_Barton
Davenport,DC,4,Mary_Barton
Davenport,DN,5,Mary_Barton
Deep,N,1,Mary_Barton
Deep,C,3,Mary_Barton
Deep,I,9,Mary_Barton
Deep,A,8,Mary_Barton
Deep,DC,2,Mary_Barton
Deep,DN,1,Mary_Barton
Dicky,N,2,Mary_Barton
Dicky,C,0,Mary_Barton
Dicky,I,1,Mary_Barton
Dicky,A,2,Mary_Barton
Dicky,DC,0,Mary_Barton
Dicky,DN,0,Mary_Barton
ELLIOTT,N,3,Mary_Barton
ELLIOTT,C,5,Mary_Barton
ELLIOTT,I,1,Mary_Barton
ELLIOTT,A,1,Mary_Barton
ELLIOTT,DC,0,Mary_Barton
ELLIOTT,DN,0,Mary_Barton
Elizabeth Cleghorn Gaskell,N,3,Mary_Barton
Elizabeth Cleghorn Gaskell,C,1,Mary_Barton
Elizabeth Cleghorn Gaskell,I,0,Mary_Barton
Elizabeth Cleghorn Gaskell,A,0,Mary_Barton
Elizabeth Cleghorn Gaskell,DC,0,Mary_Barton
Elizabeth Cleghorn Gaskell,DN,0,Mary_Barton
Esther,N,130,Mary_Barton
Esther,C,29,Mary_Barton
Esther,I,89,Mary_Barton
Esther,A,152,Mary_Barton
Esther,DC,42,Mary_Barton
Esther,DN,30,Mary_Barton
Father,N,7,Mary_Barton
Father,C,0,Mary_Barton
Father,I,2,Mary_Barton
Father,A,5,Mary_Barton
Father,DC,12,Mary_Barton
Father,DN,0,Mary_Barton
Frank,N,11,Mary_Barton
Frank,C,0,Mary_Barton
Frank,I,5,Mary_Barton
Frank,A,9,Mary_Barton
Frank,DC,0,Mary_Barton
Frank,DN,3,Mary_Barton
George,N,29,Mary_Barton
George,C,0,Mary_Barton
George,I,1,Mary_Barton
George,A,18,Mary_Barton
George,DC,26,Mary_Barton
George,DN,0,Mary_Barton
God,N,98,Mary_Barton
God,C,4,Mary_Barton
God,I,12,Mary_Barton
God,A,36,Mary_Barton
