character,tag,count,novel
Biddy Brannigan,N,4,Melmoth_the_Wanderer1
Biddy Brannigan,C,0,Melmoth_the_Wanderer1
Biddy Brannigan,I,3,Melmoth_the_Wanderer1
Biddy Brannigan,A,1,Melmoth_the_Wanderer1
Biddy Brannigan,DC,0,Melmoth_the_Wanderer1
Biddy Brannigan,DN,0,Melmoth_the_Wanderer1
Christ,N,11,Melmoth_the_Wanderer1
Christ,C,0,Melmoth_the_Wanderer1
Christ,I,0,Melmoth_the_Wanderer1
Christ,A,1,Melmoth_the_Wanderer1
Christ,DC,2,Melmoth_the_Wanderer1
Christ,DN,0,Melmoth_the_Wanderer1
Cousin,N,3,Melmoth_the_Wanderer1
Cousin,C,1,Melmoth_the_Wanderer1
Cousin,I,1,Melmoth_the_Wanderer1
Cousin,A,1,Melmoth_the_Wanderer1
Cousin,DC,0,Melmoth_the_Wanderer1
Cousin,DN,1,Melmoth_the_Wanderer1
Cromwell,N,2,Melmoth_the_Wanderer1
Cromwell,C,0,Melmoth_the_Wanderer1
Cromwell,I,1,Melmoth_the_Wanderer1
Cromwell,A,4,Melmoth_the_Wanderer1
Cromwell,DC,1,Melmoth_the_Wanderer1
Cromwell,DN,0,Melmoth_the_Wanderer1
Director,N,2,Melmoth_the_Wanderer1
Director,C,1,Melmoth_the_Wanderer1
Director,I,0,Melmoth_the_Wanderer1
Director,A,1,Melmoth_the_Wanderer1
Director,DC,0,Melmoth_the_Wanderer1
Director,DN,0,Melmoth_the_Wanderer1
Dryden,N,5,Melmoth_the_Wanderer1
Dryden,C,0,Melmoth_the_Wanderer1
Dryden,I,1,Melmoth_the_Wanderer1
Dryden,A,0,Melmoth_the_Wanderer1
Dryden,DC,0,Melmoth_the_Wanderer1
Dryden,DN,0,Melmoth_the_Wanderer1
Father Fay,N,4,Melmoth_the_Wanderer1
Father Fay,C,2,Melmoth_the_Wanderer1
Father Fay,I,0,Melmoth_the_Wanderer1
Father Fay,A,3,Melmoth_the_Wanderer1
Father Fay,DC,1,Melmoth_the_Wanderer1
Father Fay,DN,1,Melmoth_the_Wanderer1
Father Olavida,N,15,Melmoth_the_Wanderer1
Father Olavida,C,6,Melmoth_the_Wanderer1
Father Olavida,I,3,Melmoth_the_Wanderer1
Father Olavida,A,15,Melmoth_the_Wanderer1
Father Olavida,DC,0,Melmoth_the_Wanderer1
Father Olavida,DN,3,Melmoth_the_Wanderer1
Fra Paolo,N,7,Melmoth_the_Wanderer1
Fra Paolo,C,0,Melmoth_the_Wanderer1
