character,tag,count,novel
Adam,N,5,Middlemarch
Adam,C,0,Middlemarch
Adam,I,0,Middlemarch
Adam,A,0,Middlemarch
Adam,DC,2,Middlemarch
Adam,DN,0,Middlemarch
Alfred,N,14,Middlemarch
Alfred,C,6,Middlemarch
Alfred,I,1,Middlemarch
Alfred,A,6,Middlemarch
Alfred,DC,13,Middlemarch
Alfred,DN,0,Middlemarch
Aquinas,N,11,Middlemarch
Aquinas,C,0,Middlemarch
Aquinas,I,1,Middlemarch
Aquinas,A,4,Middlemarch
Aquinas,DC,9,Middlemarch
Aquinas,DN,0,Middlemarch
Arthur,N,10,Middlemarch
Arthur,C,0,Middlemarch
Arthur,I,1,Middlemarch
Arthur,A,2,Middlemarch
Arthur,DC,9,Middlemarch
Arthur,DN,0,Middlemarch
Aunt Bulstrode,N,2,Middlemarch
Aunt Bulstrode,C,2,Middlemarch
Aunt Bulstrode,I,1,Middlemarch
Aunt Bulstrode,A,4,Middlemarch
Aunt Bulstrode,DC,0,Middlemarch
Aunt Bulstrode,DN,1,Middlemarch
Ben,N,34,Middlemarch
Ben,C,24,Middlemarch
Ben,I,11,Middlemarch
Ben,A,21,Middlemarch
Ben,DC,18,Middlemarch
Ben,DN,1,Middlemarch
Bichat,N,4,Middlemarch
Bichat,C,0,Middlemarch
Bichat,I,0,Middlemarch
Bichat,A,0,Middlemarch
Bichat,DC,0,Middlemarch
Bichat,DN,1,Middlemarch
Bob,N,2,Middlemarch
Bob,C,0,Middlemarch
Bob,I,0,Middlemarch
Bob,A,0,Middlemarch
Bob,DC,1,Middlemarch
Bob,DN,1,Middlemarch
Bowyer,N,7,Middlemarch
Bowyer,C,0,Middlemarch
Bowyer,I,0,Middlemarch
Bowyer,A,3,Middlemarch
Bowyer,DC,8,Middlemarch
Bowyer,DN,1,Middlemarch
Brassing,N,7,Middlemarch
Brassing,C,0,Middlemarch
Brassing,I,0,Middlemarch
Brassing,A,0,Middlemarch
Brassing,DC,4,Middlemarch
Brassing,DN,0,Middlemarch
Brother Jonah,N,10,Middlemarch
Brother Jonah,C,0,Middlemarch
Brother Jonah,I,6,Middlemarch
Brother Jonah,A,5,Middlemarch
Brother Jonah,DC,0,Middlemarch
Brother Jonah,DN,3,Middlemarch
Brother Peter,N,4,Middlemarch
Brother Peter,C,1,Middlemarch
Brother Peter,I,6,Middlemarch
Brother Peter,A,1,Middlemarch
Brother Peter,DC,12,Middlemarch
Brother Peter,DN,0,Middlemarch
Bulstrode,N,147,Middlemarch
Bulstrode,C,56,Middlemarch
Bulstrode,I,63,Middlemarch
Bulstrode,A,62,Middlemarch
Bulstrode,DC,25,Middlemarch
Bulstrode,DN,15,Middlemarch
Burke,N,7,Middlemarch
Burke,C,0,Middlemarch
Burke,I,0,Middlemarch
Burke,A,0,Middlemarch
Burke,DC,4,Middlemarch
Burke,DN,0,Middlemarch
Caleb,N,178,Middlemarch
Caleb,C,170,Middlemarch
Caleb,I,116,Middlemarch
Caleb,A,153,Middlemarch
Caleb,DC,36,Middlemarch
Caleb,DN,24,Middlemarch
Camden,N,13,Middlemarch
Camden,C,1,Middlemarch
Camden,I,5,Middlemarch
Camden,A,4,Middlemarch
Camden,DC,8,Middlemarch
Camden,DN,3,Middlemarch
Carp,N,7,Middlemarch
Carp,C,0,Middlemarch
Carp,I,0,Middlemarch
Carp,A,1,Middlemarch
Carp,DC,0,Middlemarch
Carp,DN,0,Middlemarch
Celia,N,267,Middlemarch
Celia,C,213,Middlemarch
Celia,I,168,Middlemarch
Celia,A,149,Middlemarch
Celia,DC,65,Middlemarch
Celia,DN,32,Middlemarch
Celia—“You’ve,N,1,Middlemarch
Celia—“You’ve,C,0,Middlemarch
Celia—“You’ve,I,5,Middlemarch
Celia—“You’ve,A,1,Middlemarch
Celia—“You’ve,DC,2,Middlemarch
Celia—“You’ve,DN,1,Middlemarch
Christy,N,23,Middlemarch
Christy,C,2,Middlemarch
Christy,I,1,Middlemarch
Christy,A,4,Middlemarch
Christy,DC,14,Middlemarch
Christy,DN,1,Middlemarch
Cincinnatus,N,4,Middlemarch
Cincinnatus,C,0,Middlemarch
Cincinnatus,I,0,Middlemarch
Cincinnatus,A,1,Middlemarch
Cincinnatus,DC,11,Middlemarch
Cincinnatus,DN,1,Middlemarch
"DEAR TERTIUS,—Don’t",N,1,Middlemarch
"DEAR TERTIUS,—Don’t",C,0,Middlemarch
"DEAR TERTIUS,—Don’t",I,1,Middlemarch
"DEAR TERTIUS,—Don’t",A,5,Middlemarch
"DEAR TERTIUS,—Don’t",DC,9,Middlemarch
"DEAR TERTIUS,—Don’t",DN,0,Middlemarch
Dagley,N,24,Middlemarch
Dagley,C,9,Middlemarch
Dagley,I,18,Middlemarch
Dagley,A,29,Middlemarch
Dagley,DC,10,Middlemarch
Dagley,DN,3,Middlemarch
Dodo,N,61,Middlemarch
Dodo,C,1,Middlemarch
Dodo,I,18,Middlemarch
Dodo,A,32,Middlemarch
Dodo,DC,80,Middlemarch
Dodo,DN,0,Middlemarch
Dorothea,N,1492,Middlemarch
Dorothea,C,552,Middlemarch
Dorothea,I,757,Middlemarch
Dorothea,A,773,Middlemarch
Dorothea,DC,485,Middlemarch
Dorothea,DN,154,Middlemarch
Dover,N,13,Middlemarch
Dover,C,1,Middlemarch
Dover,I,2,Middlemarch
Dover,A,1,Middlemarch
Dover,DC,4,Middlemarch
Dover,DN,0,Middlemarch
Dr. Minchin,N,26,Middlemarch
Dr. Minchin,C,10,Middlemarch
Dr. Minchin,I,6,Middlemarch
Dr. Minchin,A,5,Middlemarch
Dr. Minchin,DC,3,Middlemarch
Dr. Minchin,DN,4,Middlemarch
Dr. Sprague,N,17,Middlemarch
Dr. Sprague,C,5,Middlemarch
Dr. Sprague,I,3,Middlemarch
Dr. Sprague,A,6,Middlemarch
Dr. Sprague,DC,2,Middlemarch
Dr. Sprague,DN,2,Middlemarch
Edward Casaubon,N,7,Middlemarch
Edward Casaubon,C,0,Middlemarch
Edward Casaubon,I,1,Middlemarch
Edward Casaubon,A,3,Middlemarch
Edward Casaubon,DC,2,Middlemarch
Edward Casaubon,DN,2,Middlemarch
Elinor,N,9,Middlemarch
Elinor,C,0,Middlemarch
Elinor,I,1,Middlemarch
Elinor,A,4,Middlemarch
Elinor,DC,4,Middlemarch
Elinor,DN,1,Middlemarch
Fag,N,4,Middlemarch
Fag,C,1,Middlemarch
Fag,I,0,Middlemarch
Fag,A,2,Middlemarch
Fag,DC,0,Middlemarch
Fag,DN,0,Middlemarch
Faithful,N,1,Middlemarch
Faithful,C,1,Middlemarch
Faithful,I,2,Middlemarch
Faithful,A,1,Middlemarch
Faithful,DC,0,Middlemarch
Faithful,DN,0,Middlemarch
Featherstones,N,5,Middlemarch
Featherstones,C,0,Middlemarch
Featherstones,I,0,Middlemarch
Featherstones,A,1,Middlemarch
Featherstones,DC,3,Middlemarch
Featherstones,DN,0,Middlemarch
Flavell,N,3,Middlemarch
Flavell,C,0,Middlemarch
Flavell,I,1,Middlemarch
Flavell,A,4,Middlemarch
Flavell,DC,4,Middlemarch
Flavell,DN,0,Middlemarch
Fletcher,N,7,Middlemarch
Fletcher,C,0,Middlemarch
Fletcher,I,1,Middlemarch
Fletcher,A,1,Middlemarch
Fletcher,DC,4,Middlemarch
Fletcher,DN,0,Middlemarch
Fly,N,3,Middlemarch
Fly,C,0,Middlemarch
Fly,I,5,Middlemarch
Fly,A,1,Middlemarch
Fly,DC,15,Middlemarch
Fly,DN,0,Middlemarch
Fred,N,617,Middlemarch
Fred,C,327,Middlemarch
Fred,I,395,Middlemarch
Fred,A,503,Middlemarch
Fred,DC,283,Middlemarch
Fred,DN,75,Middlemarch
Freshitt,N,9,Middlemarch
Freshitt,C,0,Middlemarch
Freshitt,I,0,Middlemarch
Freshitt,A,1,Middlemarch
Freshitt,DC,2,Middlemarch
Freshitt,DN,1,Middlemarch
God,N,22,Middlemarch
God,C,0,Middlemarch
God,I,0,Middlemarch
God,A,2,Middlemarch
God,DC,17,Middlemarch
God,DN,1,Middlemarch
Harriet,N,29,Middlemarch
Harriet,C,3,Middlemarch
Harriet,I,13,Middlemarch
Harriet,A,12,Middlemarch
Harriet,DC,48,Middlemarch
Harriet,DN,0,Middlemarch
Henrietta Noble,N,5,Middlemarch
Henrietta Noble,C,1,Middlemarch
Henrietta Noble,I,0,Middlemarch
Henrietta Noble,A,2,Middlemarch
Henrietta Noble,DC,2,Middlemarch
Henrietta Noble,DN,1,Middlemarch
Hiram,N,9,Middlemarch
Hiram,C,7,Middlemarch
Hiram,I,3,Middlemarch
Hiram,A,6,Middlemarch
Hiram,DC,0,Middlemarch
Hiram,DN,0,Middlemarch
Hopkins,N,5,Middlemarch
Hopkins,C,2,Middlemarch
Hopkins,I,0,Middlemarch
Hopkins,A,3,Middlemarch
Hopkins,DC,1,Middlemarch
Hopkins,DN,2,Middlemarch
Horrock,N,20,Middlemarch
Horrock,C,4,Middlemarch
Horrock,I,0,Middlemarch
Horrock,A,4,Middlemarch
Horrock,DC,1,Middlemarch
Horrock,DN,1,Middlemarch
Humphrey,N,20,Middlemarch
Humphrey,C,0,Middlemarch
Humphrey,I,9,Middlemarch
Humphrey,A,6,Middlemarch
Humphrey,DC,23,Middlemarch
Humphrey,DN,1,Middlemarch
Inclination,N,2,Middlemarch
Inclination,C,3,Middlemarch
Inclination,I,3,Middlemarch
Inclination,A,3,Middlemarch
Inclination,DC,0,Middlemarch
Inclination,DN,0,Middlemarch
Jane,N,15,Middlemarch
Jane,C,3,Middlemarch
Jane,I,1,Middlemarch
Jane,A,3,Middlemarch
Jane,DC,6,Middlemarch
Jane,DN,2,Middlemarch
John,N,11,Middlemarch
John,C,0,Middlemarch
John,I,0,Middlemarch
John,A,2,Middlemarch
John,DC,7,Middlemarch
John,DN,0,Middlemarch
Johnson,N,5,Middlemarch
Johnson,C,0,Middlemarch
Johnson,I,0,Middlemarch
Johnson,A,0,Middlemarch
Johnson,DC,4,Middlemarch
Johnson,DN,0,Middlemarch
Joseph,N,6,Middlemarch
Joseph,C,0,Middlemarch
Joseph,I,0,Middlemarch
Joseph,A,1,Middlemarch
Joseph,DC,4,Middlemarch
Joseph,DN,0,Middlemarch
Jove,N,9,Middlemarch
Jove,C,0,Middlemarch
Jove,I,0,Middlemarch
Jove,A,0,Middlemarch
Jove,DC,8,Middlemarch
Jove,DN,0,Middlemarch
Julia,N,6,Middlemarch
Julia,C,0,Middlemarch
Julia,I,0,Middlemarch
Julia,A,2,Middlemarch
Julia,DC,1,Middlemarch
Julia,DN,0,Middlemarch
Keck,N,7,Middlemarch
Keck,C,3,Middlemarch
Keck,I,5,Middlemarch
Keck,A,8,Middlemarch
