character,tag,count,novel
Aunt Jemima,N,112,Miss_Marjoribanks
Aunt Jemima,C,31,Miss_Marjoribanks
Aunt Jemima,I,40,Miss_Marjoribanks
Aunt Jemima,A,39,Miss_Marjoribanks
Aunt Jemima,DC,35,Miss_Marjoribanks
Aunt Jemima,DN,6,Miss_Marjoribanks
Barbara,N,329,Miss_Marjoribanks
Barbara,C,53,Miss_Marjoribanks
Barbara,I,119,Miss_Marjoribanks
Barbara,A,202,Miss_Marjoribanks
Barbara,DC,130,Miss_Marjoribanks
Barbara,DN,53,Miss_Marjoribanks
Betsy,N,7,Miss_Marjoribanks
Betsy,C,0,Miss_Marjoribanks
Betsy,I,0,Miss_Marjoribanks
Betsy,A,0,Miss_Marjoribanks
Betsy,DC,3,Miss_Marjoribanks
Betsy,DN,0,Miss_Marjoribanks
Carlingford,N,65,Miss_Marjoribanks
Carlingford,C,0,Miss_Marjoribanks
Carlingford,I,8,Miss_Marjoribanks
Carlingford,A,13,Miss_Marjoribanks
Carlingford,DC,6,Miss_Marjoribanks
Carlingford,DN,2,Miss_Marjoribanks
Charles,N,14,Miss_Marjoribanks
Charles,C,1,Miss_Marjoribanks
Charles,I,8,Miss_Marjoribanks
Charles,A,8,Miss_Marjoribanks
Charles,DC,17,Miss_Marjoribanks
Charles,DN,1,Miss_Marjoribanks
Colonel Chiley,N,34,Miss_Marjoribanks
Colonel Chiley,C,8,Miss_Marjoribanks
Colonel Chiley,I,5,Miss_Marjoribanks
Colonel Chiley,A,6,Miss_Marjoribanks
Colonel Chiley,DC,6,Miss_Marjoribanks
Colonel Chiley,DN,3,Miss_Marjoribanks
Dr Marjoribanks,N,165,Miss_Marjoribanks
Dr Marjoribanks,C,52,Miss_Marjoribanks
Dr Marjoribanks,I,74,Miss_Marjoribanks
Dr Marjoribanks,A,84,Miss_Marjoribanks
Dr Marjoribanks,DC,17,Miss_Marjoribanks
Dr Marjoribanks,DN,33,Miss_Marjoribanks
Dr Rider,N,17,Miss_Marjoribanks
Dr Rider,C,1,Miss_Marjoribanks
Dr Rider,I,1,Miss_Marjoribanks
Dr Rider,A,6,Miss_Marjoribanks
Dr Rider,DC,13,Miss_Marjoribanks
Dr Rider,DN,3,Miss_Marjoribanks
Edward,N,10,Miss_Marjoribanks
Edward,C,0,Miss_Marjoribanks
Edward,I,3,Miss_Marjoribanks
