character,tag,count,novel
Abdel Faza,N,4,Mr._Midshipman_Easy
Abdel Faza,C,0,Mr._Midshipman_Easy
Abdel Faza,I,3,Mr._Midshipman_Easy
Abdel Faza,A,2,Mr._Midshipman_Easy
Abdel Faza,DC,0,Mr._Midshipman_Easy
Abdel Faza,DN,2,Mr._Midshipman_Easy
Agnes,N,80,Mr._Midshipman_Easy
Agnes,C,14,Mr._Midshipman_Easy
Agnes,I,17,Mr._Midshipman_Easy
Agnes,A,18,Mr._Midshipman_Easy
Agnes,DC,28,Mr._Midshipman_Easy
Agnes,DN,6,Mr._Midshipman_Easy
Atkins,N,3,Mr._Midshipman_Easy
Atkins,C,5,Mr._Midshipman_Easy
Atkins,I,1,Mr._Midshipman_Easy
Atkins,A,3,Mr._Midshipman_Easy
Atkins,DC,2,Mr._Midshipman_Easy
Atkins,DN,0,Mr._Midshipman_Easy
Azar,N,7,Mr._Midshipman_Easy
Azar,C,1,Mr._Midshipman_Easy
Azar,I,1,Mr._Midshipman_Easy
Azar,A,8,Mr._Midshipman_Easy
Azar,DC,1,Mr._Midshipman_Easy
Azar,DN,1,Mr._Midshipman_Easy
Bob,N,6,Mr._Midshipman_Easy
Bob,C,0,Mr._Midshipman_Easy
Bob,I,0,Mr._Midshipman_Easy
Bob,A,0,Mr._Midshipman_Easy
Bob,DC,5,Mr._Midshipman_Easy
Bob,DN,0,Mr._Midshipman_Easy
Caesar,N,5,Mr._Midshipman_Easy
Caesar,C,0,Mr._Midshipman_Easy
Caesar,I,1,Mr._Midshipman_Easy
Caesar,A,4,Mr._Midshipman_Easy
Caesar,DC,0,Mr._Midshipman_Easy
Caesar,DN,0,Mr._Midshipman_Easy
Captain Frederick Marryat,N,7,Mr._Midshipman_Easy
Captain Frederick Marryat,C,1,Mr._Midshipman_Easy
Captain Frederick Marryat,I,1,Mr._Midshipman_Easy
Captain Frederick Marryat,A,4,Mr._Midshipman_Easy
Captain Frederick Marryat,DC,0,Mr._Midshipman_Easy
Captain Frederick Marryat,DN,1,Mr._Midshipman_Easy
Captain Hogg,N,43,Mr._Midshipman_Easy
Captain Hogg,C,3,Mr._Midshipman_Easy
Captain Hogg,I,6,Mr._Midshipman_Easy
Captain Hogg,A,21,Mr._Midshipman_Easy
Captain Hogg,DC,11,Mr._Midshipman_Easy
Captain Hogg,DN,3,Mr._Midshipman_Easy
Captain Sawbridge,N,22,Mr._Midshipman_Easy
Captain Sawbridge,C,9,Mr._Midshipman_Easy
