character,tag,count,novel
Albert,N,3,New_Grub_Street
Albert,C,0,New_Grub_Street
Albert,I,1,New_Grub_Street
Albert,A,2,New_Grub_Street
Albert,DC,4,New_Grub_Street
Albert,DN,0,New_Grub_Street
Alfred,N,7,New_Grub_Street
Alfred,C,0,New_Grub_Street
Alfred,I,0,New_Grub_Street
Alfred,A,1,New_Grub_Street
Alfred,DC,0,New_Grub_Street
Alfred,DN,0,New_Grub_Street
Alfred Yule,N,99,New_Grub_Street
Alfred Yule,C,49,New_Grub_Street
Alfred Yule,I,60,New_Grub_Street
Alfred Yule,A,99,New_Grub_Street
Alfred Yule,DC,48,New_Grub_Street
Alfred Yule,DN,12,New_Grub_Street
Amy,N,675,New_Grub_Street
Amy,C,493,New_Grub_Street
Amy,I,453,New_Grub_Street
Amy,A,547,New_Grub_Street
Amy,DC,195,New_Grub_Street
Amy,DN,53,New_Grub_Street
Annie,N,8,New_Grub_Street
Annie,C,0,New_Grub_Street
Annie,I,1,New_Grub_Street
Annie,A,6,New_Grub_Street
Annie,DC,4,New_Grub_Street
Annie,DN,2,New_Grub_Street
Barlow,N,7,New_Grub_Street
Barlow,C,0,New_Grub_Street
Barlow,I,3,New_Grub_Street
Barlow,A,1,New_Grub_Street
Barlow,DC,5,New_Grub_Street
Barlow,DN,0,New_Grub_Street
Biffen,N,173,New_Grub_Street
Biffen,C,175,New_Grub_Street
Biffen,I,192,New_Grub_Street
Biffen,A,317,New_Grub_Street
Biffen,DC,71,New_Grub_Street
Biffen,DN,26,New_Grub_Street
Bowring,N,3,New_Grub_Street
Bowring,C,0,New_Grub_Street
Bowring,I,0,New_Grub_Street
Bowring,A,1,New_Grub_Street
Bowring,DC,5,New_Grub_Street
Bowring,DN,0,New_Grub_Street
Carter,N,30,New_Grub_Street
Carter,C,14,New_Grub_Street
Carter,I,8,New_Grub_Street
Carter,A,21,New_Grub_Street
Carter,DC,17,New_Grub_Street
Carter,DN,3,New_Grub_Street
Davies,N,1,New_Grub_Street
Davies,C,0,New_Grub_Street
Davies,I,0,New_Grub_Street
Davies,A,2,New_Grub_Street
Davies,DC,5,New_Grub_Street
Davies,DN,0,New_Grub_Street
Dickens,N,3,New_Grub_Street
Dickens,C,0,New_Grub_Street
Dickens,I,1,New_Grub_Street
Dickens,A,2,New_Grub_Street
Dickens,DC,0,New_Grub_Street
Dickens,DN,0,New_Grub_Street
Diogenes Laertius,N,3,New_Grub_Street
Diogenes Laertius,C,0,New_Grub_Street
Diogenes Laertius,I,0,New_Grub_Street
Diogenes Laertius,A,0,New_Grub_Street
Diogenes Laertius,DC,0,New_Grub_Street
Diogenes Laertius,DN,1,New_Grub_Street
Dolomore,N,9,New_Grub_Street
Dolomore,C,0,New_Grub_Street
Dolomore,I,5,New_Grub_Street
Dolomore,A,6,New_Grub_Street
Dolomore,DC,15,New_Grub_Street
Dolomore,DN,2,New_Grub_Street
Dora,N,230,New_Grub_Street
Dora,C,177,New_Grub_Street
Dora,I,88,New_Grub_Street
Dora,A,120,New_Grub_Street
Dora,DC,91,New_Grub_Street
Dora,DN,19,New_Grub_Street
Edith,N,41,New_Grub_Street
Edith,C,59,New_Grub_Street
Edith,I,46,New_Grub_Street
Edith,A,51,New_Grub_Street
Edith,DC,23,New_Grub_Street
Edith,DN,2,New_Grub_Street
Fadge,N,80,New_Grub_Street
Fadge,C,2,New_Grub_Street
