character,tag,count,novel
ANON,N,1,North_and_South
ANON,C,2,North_and_South
ANON,I,3,North_and_South
ANON,A,0,North_and_South
ANON,DC,0,North_and_South
ANON,DN,0,North_and_South
Aunt Hale,N,4,North_and_South
Aunt Hale,C,0,North_and_South
Aunt Hale,I,0,North_and_South
Aunt Hale,A,0,North_and_South
Aunt Hale,DC,7,North_and_South
Aunt Hale,DN,0,North_and_South
Aunt Shaw,N,19,North_and_South
Aunt Shaw,C,0,North_and_South
Aunt Shaw,I,4,North_and_South
Aunt Shaw,A,6,North_and_South
Aunt Shaw,DC,20,North_and_South
Aunt Shaw,DN,1,North_and_South
Bess,N,3,North_and_South
Bess,C,0,North_and_South
Bess,I,0,North_and_South
Bess,A,2,North_and_South
Bess,DC,5,North_and_South
Bess,DN,0,North_and_South
Bessie,N,3,North_and_South
Bessie,C,4,North_and_South
Bessie,I,3,North_and_South
Bessie,A,1,North_and_South
Bessie,DC,0,North_and_South
Bessie,DN,0,North_and_South
Bessy,N,122,North_and_South
Bessy,C,67,North_and_South
Bessy,I,70,North_and_South
Bessy,A,86,North_and_South
Bessy,DC,73,North_and_South
Bessy,DN,8,North_and_South
Betsy,N,11,North_and_South
Betsy,C,8,North_and_South
Betsy,I,8,North_and_South
Betsy,A,4,North_and_South
Betsy,DC,10,North_and_South
Betsy,DN,1,North_and_South
Boucher,N,59,North_and_South
Boucher,C,0,North_and_South
Boucher,I,11,North_and_South
Boucher,A,39,North_and_South
Boucher,DC,83,North_and_South
Boucher,DN,1,North_and_South
Captain Lennox,N,49,North_and_South
Captain Lennox,C,9,North_and_South
Captain Lennox,I,15,North_and_South
Captain Lennox,A,29,North_and_South
Captain Lennox,DC,27,North_and_South
Captain Lennox,DN,5,North_and_South
Captain Reid,N,7,North_and_South
Captain Reid,C,0,North_and_South
Captain Reid,I,1,North_and_South
Captain Reid,A,3,North_and_South
Captain Reid,DC,2,North_and_South
Captain Reid,DN,0,North_and_South
Charlotte,N,12,North_and_South
Charlotte,C,0,North_and_South
Charlotte,I,2,North_and_South
Charlotte,A,4,North_and_South
Charlotte,DC,12,North_and_South
Charlotte,DN,1,North_and_South
DRAYTON,N,1,North_and_South
DRAYTON,C,1,North_and_South
DRAYTON,I,0,North_and_South
DRAYTON,A,1,North_and_South
DRAYTON,DC,0,North_and_South
DRAYTON,DN,0,North_and_South
Dixon,N,226,North_and_South
Dixon,C,61,North_and_South
Dixon,I,85,North_and_South
Dixon,A,128,North_and_South
Dixon,DC,92,North_and_South
Dixon,DN,16,North_and_South
Dolores,N,8,North_and_South
Dolores,C,0,North_and_South
Dolores,I,0,North_and_South
Dolores,A,0,North_and_South
Dolores,DC,4,North_and_South
Dolores,DN,1,North_and_South
Dr. Donaldson,N,32,North_and_South
Dr. Donaldson,C,8,North_and_South
Dr. Donaldson,I,6,North_and_South
Dr. Donaldson,A,12,North_and_South
Dr. Donaldson,DC,11,North_and_South
Dr. Donaldson,DN,1,North_and_South
ELLIOTT,N,2,North_and_South
ELLIOTT,C,11,North_and_South
