character,tag,count,novel
Ailie,N,36,Old_Mortality
Ailie,C,14,Old_Mortality
Ailie,I,9,Old_Mortality
Ailie,A,12,Old_Mortality
Ailie,DC,14,Old_Mortality
Ailie,DN,1,Old_Mortality
Allan,N,18,Old_Mortality
Allan,C,7,Old_Mortality
Allan,I,4,Old_Mortality
Allan,A,4,Old_Mortality
Allan,DC,6,Old_Mortality
Allan,DN,0,Old_Mortality
Archbishop Sharpe,N,9,Old_Mortality
Archbishop Sharpe,C,1,Old_Mortality
Archbishop Sharpe,I,0,Old_Mortality
Archbishop Sharpe,A,0,Old_Mortality
Archbishop Sharpe,DC,0,Old_Mortality
Archbishop Sharpe,DN,0,Old_Mortality
Aweel,N,10,Old_Mortality
Aweel,C,1,Old_Mortality
Aweel,I,0,Old_Mortality
Aweel,A,2,Old_Mortality
Aweel,DC,7,Old_Mortality
Aweel,DN,0,Old_Mortality
Balfour,N,4,Old_Mortality
Balfour,C,6,Old_Mortality
Balfour,I,1,Old_Mortality
Balfour,A,2,Old_Mortality
Balfour,DC,0,Old_Mortality
Balfour,DN,0,Old_Mortality
Basil Olifant,N,24,Old_Mortality
Basil Olifant,C,1,Old_Mortality
Basil Olifant,I,3,Old_Mortality
Basil Olifant,A,21,Old_Mortality
Basil Olifant,DC,14,Old_Mortality
Basil Olifant,DN,7,Old_Mortality
Bauldy,N,1,Old_Mortality
Bauldy,C,0,Old_Mortality
Bauldy,I,0,Old_Mortality
Bauldy,A,3,Old_Mortality
Bauldy,DC,2,Old_Mortality
Bauldy,DN,0,Old_Mortality
Bessie Maclure,N,7,Old_Mortality
Bessie Maclure,C,1,Old_Mortality
Bessie Maclure,I,1,Old_Mortality
Bessie Maclure,A,2,Old_Mortality
Bessie Maclure,DC,2,Old_Mortality
Bessie Maclure,DN,1,Old_Mortality
Bessie McLure,N,4,Old_Mortality
Bessie McLure,C,2,Old_Mortality
Bessie McLure,I,0,Old_Mortality
Bessie McLure,A,0,Old_Mortality
Bessie McLure,DC,0,Old_Mortality
Bessie McLure,DN,0,Old_Mortality
Bothwell,N,133,Old_Mortality
Bothwell,C,117,Old_Mortality
Bothwell,I,44,Old_Mortality
Bothwell,A,68,Old_Mortality
Bothwell,DC,29,Old_Mortality
Bothwell,DN,8,Old_Mortality
Brother,N,1,Old_Mortality
Brother,C,0,Old_Mortality
Brother,I,0,Old_Mortality
Brother,A,0,Old_Mortality
Brother,DC,3,Old_Mortality
Brother,DN,0,Old_Mortality
Burley,N,233,Old_Mortality
Burley,C,159,Old_Mortality
Burley,I,61,Old_Mortality
Burley,A,136,Old_Mortality
Burley,DC,36,Old_Mortality
Burley,DN,23,Old_Mortality
Cameron,N,7,Old_Mortality
Cameron,C,0,Old_Mortality
Cameron,I,1,Old_Mortality
Cameron,A,0,Old_Mortality
Cameron,DC,3,Old_Mortality
Cameron,DN,0,Old_Mortality
Captain Paton,N,2,Old_Mortality
Captain Paton,C,0,Old_Mortality
Captain Paton,I,1,Old_Mortality
Captain Paton,A,3,Old_Mortality
Captain Paton,DC,0,Old_Mortality
Captain Paton,DN,0,Old_Mortality
Chappins of Yell with Sandy the Keelman,N,1,Old_Mortality
Chappins of Yell with Sandy the Keelman,C,8,Old_Mortality
Chappins of Yell with Sandy the Keelman,I,2,Old_Mortality
Chappins of Yell with Sandy the Keelman,A,3,Old_Mortality
Chappins of Yell with Sandy the Keelman,DC,0,Old_Mortality
Chappins of Yell with Sandy the Keelman,DN,0,Old_Mortality
Charles I.,N,4,Old_Mortality
Charles I.,C,0,Old_Mortality
Charles I.,I,1,Old_Mortality
Charles I.,A,0,Old_Mortality
Charles I.,DC,0,Old_Mortality
Charles I.,DN,0,Old_Mortality
Charles II,N,25,Old_Mortality
Charles II,C,0,Old_Mortality
Charles II,I,1,Old_Mortality
Charles II,A,2,Old_Mortality
Charles II,DC,6,Old_Mortality
Charles II,DN,0,Old_Mortality
Charles Stewart,N,6,Old_Mortality
Charles Stewart,C,0,Old_Mortality
Charles Stewart,I,0,Old_Mortality
Charles Stewart,A,1,Old_Mortality
Charles Stewart,DC,1,Old_Mortality
Charles Stewart,DN,0,Old_Mortality
Claverhouse,N,253,Old_Mortality
Claverhouse,C,172,Old_Mortality
Claverhouse,I,73,Old_Mortality
Claverhouse,A,125,Old_Mortality
Claverhouse,DC,56,Old_Mortality
Claverhouse,DN,6,Old_Mortality
Claver’se,N,15,Old_Mortality
Claver’se,C,0,Old_Mortality
Claver’se,I,1,Old_Mortality
Claver’se,A,4,Old_Mortality
Claver’se,DC,6,Old_Mortality
Claver’se,DN,0,Old_Mortality
Cornet Grahame,N,25,Old_Mortality
Cornet Grahame,C,18,Old_Mortality
Cornet Grahame,I,2,Old_Mortality
Cornet Grahame,A,10,Old_Mortality
Cornet Grahame,DC,6,Old_Mortality
Cornet Grahame,DN,1,Old_Mortality
Cuddie,N,189,Old_Mortality
Cuddie,C,137,Old_Mortality
Cuddie,I,57,Old_Mortality
Cuddie,A,94,Old_Mortality
