character,tag,count,novel
Agnes,N,6,Oliver_Twist
Agnes,C,0,Oliver_Twist
Agnes,I,0,Oliver_Twist
Agnes,A,0,Oliver_Twist
Agnes,DC,2,Oliver_Twist
Agnes,DN,1,Oliver_Twist
Barney,N,33,Oliver_Twist
Barney,C,14,Oliver_Twist
Barney,I,0,Oliver_Twist
Barney,A,16,Oliver_Twist
Barney,DC,5,Oliver_Twist
Barney,DN,5,Oliver_Twist
Bet,N,11,Oliver_Twist
Bet,C,0,Oliver_Twist
Bet,I,0,Oliver_Twist
Bet,A,3,Oliver_Twist
Bet,DC,8,Oliver_Twist
Bet,DN,1,Oliver_Twist
Blathers,N,26,Oliver_Twist
Blathers,C,39,Oliver_Twist
Blathers,I,12,Oliver_Twist
Blathers,A,7,Oliver_Twist
Blathers,DC,3,Oliver_Twist
Blathers,DN,1,Oliver_Twist
Brittles,N,53,Oliver_Twist
Brittles,C,19,Oliver_Twist
Brittles,I,12,Oliver_Twist
Brittles,A,21,Oliver_Twist
Brittles,DC,14,Oliver_Twist
Brittles,DN,10,Oliver_Twist
Charlotte,N,51,Oliver_Twist
Charlotte,C,29,Oliver_Twist
Charlotte,I,15,Oliver_Twist
Charlotte,A,12,Oliver_Twist
Charlotte,DC,24,Oliver_Twist
Charlotte,DN,0,Oliver_Twist
Chickweed,N,23,Oliver_Twist
Chickweed,C,0,Oliver_Twist
Chickweed,I,1,Oliver_Twist
Chickweed,A,13,Oliver_Twist
Chickweed,DC,26,Oliver_Twist
Chickweed,DN,0,Oliver_Twist
Cod,N,1,Oliver_Twist
Cod,C,0,Oliver_Twist
Cod,I,2,Oliver_Twist
Cod,A,3,Oliver_Twist
Cod,DC,4,Oliver_Twist
Cod,DN,0,Oliver_Twist
Dick,N,13,Oliver_Twist
Dick,C,0,Oliver_Twist
Dick,I,3,Oliver_Twist
Dick,A,2,Oliver_Twist
Dick,DC,13,Oliver_Twist
Dick,DN,1,Oliver_Twist
Duff,N,20,Oliver_Twist
Duff,C,9,Oliver_Twist
Duff,I,0,Oliver_Twist
Duff,A,1,Oliver_Twist
Duff,DC,2,Oliver_Twist
Duff,DN,0,Oliver_Twist
Fagin,N,302,Oliver_Twist
Fagin,C,222,Oliver_Twist
Fagin,I,118,Oliver_Twist
Fagin,A,193,Oliver_Twist
Fagin,DC,90,Oliver_Twist
Fagin,DN,20,Oliver_Twist
Faguey,N,4,Oliver_Twist
Faguey,C,0,Oliver_Twist
Faguey,I,1,Oliver_Twist
Faguey,A,0,Oliver_Twist
Faguey,DC,1,Oliver_Twist
Faguey,DN,0,Oliver_Twist
God,N,19,Oliver_Twist
God,C,0,Oliver_Twist
God,I,2,Oliver_Twist
God,A,1,Oliver_Twist
God,DC,4,Oliver_Twist
God,DN,1,Oliver_Twist
Harry,N,57,Oliver_Twist
Harry,C,50,Oliver_Twist
Harry,I,19,Oliver_Twist
Harry,A,31,Oliver_Twist
Harry,DC,21,Oliver_Twist
Harry,DN,4,Oliver_Twist
Heaven,N,9,Oliver_Twist
Heaven,C,0,Oliver_Twist
Heaven,I,1,Oliver_Twist
Heaven,A,2,Oliver_Twist
