character,tag,count,novel
Alfred David,N,8,Our_Mutual_Friend
Alfred David,C,0,Our_Mutual_Friend
Alfred David,I,1,Our_Mutual_Friend
Alfred David,A,0,Our_Mutual_Friend
Alfred David,DC,4,Our_Mutual_Friend
Alfred David,DN,0,Our_Mutual_Friend
Alfred Lammle Esquire,N,3,Our_Mutual_Friend
Alfred Lammle Esquire,C,0,Our_Mutual_Friend
Alfred Lammle Esquire,I,0,Our_Mutual_Friend
Alfred Lammle Esquire,A,4,Our_Mutual_Friend
Alfred Lammle Esquire,DC,0,Our_Mutual_Friend
Alfred Lammle Esquire,DN,0,Our_Mutual_Friend
Analytical Chemist,N,6,Our_Mutual_Friend
Analytical Chemist,C,0,Our_Mutual_Friend
Analytical Chemist,I,1,Our_Mutual_Friend
Analytical Chemist,A,2,Our_Mutual_Friend
Analytical Chemist,DC,1,Our_Mutual_Friend
Analytical Chemist,DN,0,Our_Mutual_Friend
Aunt Jane,N,8,Our_Mutual_Friend
Aunt Jane,C,0,Our_Mutual_Friend
Aunt Jane,I,0,Our_Mutual_Friend
Aunt Jane,A,0,Our_Mutual_Friend
Aunt Jane,DC,4,Our_Mutual_Friend
Aunt Jane,DN,0,Our_Mutual_Friend
Baby,N,6,Our_Mutual_Friend
Baby,C,0,Our_Mutual_Friend
Baby,I,0,Our_Mutual_Friend
Baby,A,1,Our_Mutual_Friend
Baby,DC,2,Our_Mutual_Friend
Baby,DN,1,Our_Mutual_Friend
Bella,N,853,Our_Mutual_Friend
Bella,C,779,Our_Mutual_Friend
Bella,I,466,Our_Mutual_Friend
Bella,A,624,Our_Mutual_Friend
Bella,DC,231,Our_Mutual_Friend
Bella,DN,70,Our_Mutual_Friend
Betty,N,129,Our_Mutual_Friend
Betty,C,86,Our_Mutual_Friend
Betty,I,66,Our_Mutual_Friend
Betty,A,106,Our_Mutual_Friend
Betty,DC,53,Our_Mutual_Friend
Betty,DN,14,Our_Mutual_Friend
Bob Glamour,N,6,Our_Mutual_Friend
Bob Glamour,C,2,Our_Mutual_Friend
Bob Glamour,I,1,Our_Mutual_Friend
Bob Glamour,A,2,Our_Mutual_Friend
Bob Glamour,DC,1,Our_Mutual_Friend
Bob Glamour,DN,0,Our_Mutual_Friend
Bof,N,7,Our_Mutual_Friend
Bof,C,0,Our_Mutual_Friend
Bof,I,0,Our_Mutual_Friend
Bof,A,0,Our_Mutual_Friend
Bof,DC,5,Our_Mutual_Friend
Bof,DN,0,Our_Mutual_Friend
Boffin,N,8,Our_Mutual_Friend
Boffin,C,0,Our_Mutual_Friend
Boffin,I,0,Our_Mutual_Friend
Boffin,A,0,Our_Mutual_Friend
Boffin,DC,5,Our_Mutual_Friend
Boffin,DN,1,Our_Mutual_Friend
Boots,N,38,Our_Mutual_Friend
Boots,C,9,Our_Mutual_Friend
Boots,I,6,Our_Mutual_Friend
Boots,A,3,Our_Mutual_Friend
Boots,DC,2,Our_Mutual_Friend
Boots,DN,1,Our_Mutual_Friend
Bradley,N,324,Our_Mutual_Friend
Bradley,C,230,Our_Mutual_Friend
Bradley,I,158,Our_Mutual_Friend
Bradley,A,331,Our_Mutual_Friend
Bradley,DC,122,Our_Mutual_Friend
Bradley,DN,36,Our_Mutual_Friend
Brewer,N,46,Our_Mutual_Friend
Brewer,C,10,Our_Mutual_Friend
Brewer,I,2,Our_Mutual_Friend
Brewer,A,10,Our_Mutual_Friend
Brewer,DC,4,Our_Mutual_Friend
Brewer,DN,1,Our_Mutual_Friend
Brother,N,2,Our_Mutual_Friend
Brother,C,0,Our_Mutual_Friend
Brother,I,1,Our_Mutual_Friend
Brother,A,3,Our_Mutual_Friend
Brother,DC,8,Our_Mutual_Friend
Brother,DN,0,Our_Mutual_Friend
Buffer,N,15,Our_Mutual_Friend
Buffer,C,5,Our_Mutual_Friend
Buffer,I,2,Our_Mutual_Friend
Buffer,A,2,Our_Mutual_Friend
Buffer,DC,0,Our_Mutual_Friend
Buffer,DN,1,Our_Mutual_Friend
CUPID PROMPTED,N,2,Our_Mutual_Friend
CUPID PROMPTED,C,1,Our_Mutual_Friend
CUPID PROMPTED,I,0,Our_Mutual_Friend
CUPID PROMPTED,A,4,Our_Mutual_Friend
CUPID PROMPTED,DC,0,Our_Mutual_Friend
CUPID PROMPTED,DN,0,Our_Mutual_Friend
Captain Joey,N,3,Our_Mutual_Friend
Captain Joey,C,2,Our_Mutual_Friend
Captain Joey,I,0,Our_Mutual_Friend
Captain Joey,A,2,Our_Mutual_Friend
Captain Joey,DC,2,Our_Mutual_Friend
Captain Joey,DN,1,Our_Mutual_Friend
Cecilia,N,3,Our_Mutual_Friend
Cecilia,C,0,Our_Mutual_Friend
Cecilia,I,0,Our_Mutual_Friend
Cecilia,A,0,Our_Mutual_Friend
Cecilia,DC,0,Our_Mutual_Friend
Cecilia,DN,0,Our_Mutual_Friend
Charley,N,128,Our_Mutual_Friend
Charley,C,9,Our_Mutual_Friend
Charley,I,28,Our_Mutual_Friend
Charley,A,46,Our_Mutual_Friend
Charley,DC,49,Our_Mutual_Friend
Charley,DN,14,Our_Mutual_Friend
Christians,N,1,Our_Mutual_Friend
Christians,C,0,Our_Mutual_Friend
Christians,I,3,Our_Mutual_Friend
Christians,A,0,Our_Mutual_Friend
Christians,DC,5,Our_Mutual_Friend
Christians,DN,0,Our_Mutual_Friend
Co.,N,16,Our_Mutual_Friend
Co.,C,0,Our_Mutual_Friend
Co.,I,0,Our_Mutual_Friend
Co.,A,0,Our_Mutual_Friend
Co.,DC,9,Our_Mutual_Friend
Co.,DN,0,Our_Mutual_Friend
Cock Robin,N,3,Our_Mutual_Friend
Cock Robin,C,0,Our_Mutual_Friend
Cock Robin,I,0,Our_Mutual_Friend
Cock Robin,A,1,Our_Mutual_Friend
Cock Robin,DC,0,Our_Mutual_Friend
Cock Robin,DN,0,Our_Mutual_Friend
Comrade,N,2,Our_Mutual_Friend
Comrade,C,0,Our_Mutual_Friend
Comrade,I,3,Our_Mutual_Friend
Comrade,A,3,Our_Mutual_Friend
Comrade,DC,10,Our_Mutual_Friend
Comrade,DN,0,Our_Mutual_Friend
Conscience,N,2,Our_Mutual_Friend
Conscience,C,2,Our_Mutual_Friend
Conscience,I,0,Our_Mutual_Friend
Conscience,A,5,Our_Mutual_Friend
Conscience,DC,0,Our_Mutual_Friend
Conscience,DN,0,Our_Mutual_Friend
Cosy,N,6,Our_Mutual_Friend
Cosy,C,0,Our_Mutual_Friend
Cosy,I,0,Our_Mutual_Friend
Cosy,A,1,Our_Mutual_Friend
Cosy,DC,1,Our_Mutual_Friend
Cosy,DN,0,Our_Mutual_Friend
Daniel Dancer,N,5,Our_Mutual_Friend
Daniel Dancer,C,0,Our_Mutual_Friend
Daniel Dancer,I,0,Our_Mutual_Friend
Daniel Dancer,A,0,Our_Mutual_Friend
Daniel Dancer,DC,5,Our_Mutual_Friend
Daniel Dancer,DN,0,Our_Mutual_Friend
Dearest Lavinia,N,2,Our_Mutual_Friend
Dearest Lavinia,C,0,Our_Mutual_Friend
Dearest Lavinia,I,0,Our_Mutual_Friend
Dearest Lavinia,A,1,Our_Mutual_Friend
Dearest Lavinia,DC,4,Our_Mutual_Friend
Dearest Lavinia,DN,0,Our_Mutual_Friend
Death,N,6,Our_Mutual_Friend
Death,C,1,Our_Mutual_Friend
Death,I,0,Our_Mutual_Friend
Death,A,3,Our_Mutual_Friend
Death,DC,1,Our_Mutual_Friend
Death,DN,0,Our_Mutual_Friend
Deputy Lock,N,2,Our_Mutual_Friend
Deputy Lock,C,4,Our_Mutual_Friend
Deputy Lock,I,1,Our_Mutual_Friend
Deputy Lock,A,2,Our_Mutual_Friend
Deputy Lock,DC,0,Our_Mutual_Friend
Deputy Lock,DN,0,Our_Mutual_Friend
Dusty Boffin,N,4,Our_Mutual_Friend
Dusty Boffin,C,0,Our_Mutual_Friend
Dusty Boffin,I,0,Our_Mutual_Friend
Dusty Boffin,A,0,Our_Mutual_Friend
Dusty Boffin,DC,5,Our_Mutual_Friend
Dusty Boffin,DN,0,Our_Mutual_Friend
Eddard,N,7,Our_Mutual_Friend
Eddard,C,0,Our_Mutual_Friend
Eddard,I,1,Our_Mutual_Friend
Eddard,A,0,Our_Mutual_Friend
Eddard,DC,6,Our_Mutual_Friend
Eddard,DN,1,Our_Mutual_Friend
Edward,N,5,Our_Mutual_Friend
Edward,C,2,Our_Mutual_Friend
Edward,I,0,Our_Mutual_Friend
Edward,A,5,Our_Mutual_Friend
Edward,DC,0,Our_Mutual_Friend
Edward,DN,0,Our_Mutual_Friend
Eugene,N,907,Our_Mutual_Friend
Eugene,C,854,Our_Mutual_Friend
Eugene,I,447,Our_Mutual_Friend
Eugene,A,605,Our_Mutual_Friend
Eugene,DC,124,Our_Mutual_Friend
Eugene,DN,66,Our_Mutual_Friend
Everything,N,1,Our_Mutual_Friend
Everything,C,1,Our_Mutual_Friend
Everything,I,0,Our_Mutual_Friend
Everything,A,0,Our_Mutual_Friend
Everything,DC,0,Our_Mutual_Friend
Everything,DN,0,Our_Mutual_Friend
Father,N,18,Our_Mutual_Friend
Father,C,0,Our_Mutual_Friend
Father,I,2,Our_Mutual_Friend
Father,A,8,Our_Mutual_Friend
Father,DC,4,Our_Mutual_Friend
Father,DN,3,Our_Mutual_Friend
Fledgeby,N,468,Our_Mutual_Friend
Fledgeby,C,430,Our_Mutual_Friend
Fledgeby,I,195,Our_Mutual_Friend
Fledgeby,A,247,Our_Mutual_Friend
Fledgeby,DC,130,Our_Mutual_Friend
Fledgeby,DN,14,Our_Mutual_Friend
Gaffer,N,64,Our_Mutual_Friend
Gaffer,C,28,Our_Mutual_Friend
Gaffer,I,17,Our_Mutual_Friend
Gaffer,A,54,Our_Mutual_Friend
Gaffer,DC,62,Our_Mutual_Friend
Gaffer,DN,8,Our_Mutual_Friend
George Radfoot,N,8,Our_Mutual_Friend
George Radfoot,C,0,Our_Mutual_Friend
George Radfoot,I,0,Our_Mutual_Friend
George Radfoot,A,5,Our_Mutual_Friend
George Radfoot,DC,4,Our_Mutual_Friend
George Radfoot,DN,0,Our_Mutual_Friend
Georgiana,N,105,Our_Mutual_Friend
Georgiana,C,38,Our_Mutual_Friend
Georgiana,I,41,Our_Mutual_Friend
Georgiana,A,45,Our_Mutual_Friend
Georgiana,DC,53,Our_Mutual_Friend
Georgiana,DN,7,Our_Mutual_Friend
Georgy,N,4,Our_Mutual_Friend
Georgy,C,0,Our_Mutual_Friend
Georgy,I,1,Our_Mutual_Friend
Georgy,A,3,Our_Mutual_Friend
Georgy,DC,7,Our_Mutual_Friend
Georgy,DN,0,Our_Mutual_Friend
God,N,14,Our_Mutual_Friend
God,C,0,Our_Mutual_Friend
God,I,2,Our_Mutual_Friend
God,A,4,Our_Mutual_Friend
God,DC,4,Our_Mutual_Friend
God,DN,1,Our_Mutual_Friend
Gruff and Glum,N,17,Our_Mutual_Friend
Gruff and Glum,C,1,Our_Mutual_Friend
