character,tag,count,novel
Angel,N,1,Paul_Clifford
Angel,C,0,Paul_Clifford
Angel,I,0,Paul_Clifford
Angel,A,1,Paul_Clifford
Angel,DC,7,Paul_Clifford
Angel,DN,0,Paul_Clifford
Attie,N,29,Paul_Clifford
Attie,C,5,Paul_Clifford
Attie,I,8,Paul_Clifford
Attie,A,21,Paul_Clifford
Attie,DC,10,Paul_Clifford
Attie,DN,1,Paul_Clifford
BAILLIE,N,1,Paul_Clifford
BAILLIE,C,0,Paul_Clifford
BAILLIE,I,0,Paul_Clifford
BAILLIE,A,1,Paul_Clifford
BAILLIE,DC,0,Paul_Clifford
BAILLIE,DN,0,Paul_Clifford
Bachelor Bill,N,17,Paul_Clifford
Bachelor Bill,C,2,Paul_Clifford
Bachelor Bill,I,1,Paul_Clifford
Bachelor Bill,A,7,Paul_Clifford
Bachelor Bill,DC,1,Paul_Clifford
Bachelor Bill,DN,7,Paul_Clifford
Bacon,N,5,Paul_Clifford
Bacon,C,0,Paul_Clifford
Bacon,I,0,Paul_Clifford
Bacon,A,2,Paul_Clifford
Bacon,DC,1,Paul_Clifford
Bacon,DN,0,Paul_Clifford
Bagshot,N,3,Paul_Clifford
Bagshot,C,1,Paul_Clifford
Bagshot,I,0,Paul_Clifford
Bagshot,A,3,Paul_Clifford
Bagshot,DC,3,Paul_Clifford
Bagshot,DN,0,Paul_Clifford
Barlow,N,12,Paul_Clifford
Barlow,C,0,Paul_Clifford
Barlow,I,1,Paul_Clifford
Barlow,A,4,Paul_Clifford
Barlow,DC,3,Paul_Clifford
Barlow,DN,0,Paul_Clifford
Ben,N,5,Paul_Clifford
Ben,C,0,Paul_Clifford
Ben,I,1,Paul_Clifford
Ben,A,1,Paul_Clifford
Ben,DC,1,Paul_Clifford
Ben,DN,0,Paul_Clifford
Bill Fang,N,1,Paul_Clifford
Bill Fang,C,0,Paul_Clifford
Bill Fang,I,0,Paul_Clifford
Bill Fang,A,2,Paul_Clifford
Bill Fang,DC,0,Paul_Clifford
Bill Fang,DN,0,Paul_Clifford
Bill Troutling,N,7,Paul_Clifford
Bill Troutling,C,0,Paul_Clifford
Bill Troutling,I,2,Paul_Clifford
Bill Troutling,A,2,Paul_Clifford
Bill Troutling,DC,3,Paul_Clifford
Bill Troutling,DN,0,Paul_Clifford
Brandon,N,198,Paul_Clifford
Brandon,C,118,Paul_Clifford
Brandon,I,111,Paul_Clifford
Brandon,A,179,Paul_Clifford
Brandon,DC,33,Paul_Clifford
Brandon,DN,19,Paul_Clifford
Cardinal Richelieu,N,1,Paul_Clifford
Cardinal Richelieu,C,0,Paul_Clifford
Cardinal Richelieu,I,0,Paul_Clifford
Cardinal Richelieu,A,1,Paul_Clifford
Cardinal Richelieu,DC,0,Paul_Clifford
Cardinal Richelieu,DN,1,Paul_Clifford
Cassius,N,1,Paul_Clifford
Cassius,C,0,Paul_Clifford
Cassius,I,1,Paul_Clifford
Cassius,A,3,Paul_Clifford
Cassius,DC,0,Paul_Clifford
Cassius,DN,1,Paul_Clifford
Charley,N,5,Paul_Clifford
Charley,C,0,Paul_Clifford
Charley,I,0,Paul_Clifford
Charley,A,0,Paul_Clifford
Charley,DC,0,Paul_Clifford
Charley,DN,2,Paul_Clifford
Clifford,N,188,Paul_Clifford
Clifford,C,118,Paul_Clifford
Clifford,I,111,Paul_Clifford
Clifford,A,169,Paul_Clifford
Clifford,DC,51,Paul_Clifford
Clifford,DN,24,Paul_Clifford
Dame Lobkins,N,10,Paul_Clifford
Dame Lobkins,C,1,Paul_Clifford
Dame Lobkins,I,0,Paul_Clifford
Dame Lobkins,A,3,Paul_Clifford
Dame Lobkins,DC,2,Paul_Clifford
Dame Lobkins,DN,1,Paul_Clifford
Dareville,N,3,Paul_Clifford
Dareville,C,0,Paul_Clifford
Dareville,I,0,Paul_Clifford
Dareville,A,4,Paul_Clifford
Dareville,DC,7,Paul_Clifford
Dareville,DN,0,Paul_Clifford
Dr. Slopperton,N,6,Paul_Clifford
Dr. Slopperton,C,0,Paul_Clifford
Dr. Slopperton,I,0,Paul_Clifford
Dr. Slopperton,A,1,Paul_Clifford
Dr. Slopperton,DC,1,Paul_Clifford
