character,tag,count,novel
Alcides,N,2,Pendennis
Alcides,C,0,Pendennis
Alcides,I,0,Pendennis
Alcides,A,3,Pendennis
Alcides,DC,1,Pendennis
Alcides,DN,2,Pendennis
Alnaschar,N,4,Pendennis
Alnaschar,C,0,Pendennis
Alnaschar,I,1,Pendennis
Alnaschar,A,0,Pendennis
Alnaschar,DC,3,Pendennis
Alnaschar,DN,0,Pendennis
Altamont,N,137,Pendennis
Altamont,C,30,Pendennis
Altamont,I,38,Pendennis
Altamont,A,102,Pendennis
Altamont,DC,42,Pendennis
Altamont,DN,24,Pendennis
Ameliar - Ann,N,7,Pendennis
Ameliar - Ann,C,0,Pendennis
Ameliar - Ann,I,0,Pendennis
Ameliar - Ann,A,1,Pendennis
Ameliar - Ann,DC,0,Pendennis
Ameliar - Ann,DN,0,Pendennis
Anatole,N,6,Pendennis
Anatole,C,0,Pendennis
Anatole,I,1,Pendennis
Anatole,A,5,Pendennis
Anatole,DC,1,Pendennis
Anatole,DN,0,Pendennis
Archer,N,29,Pendennis
Archer,C,29,Pendennis
Archer,I,14,Pendennis
Archer,A,14,Pendennis
Archer,DC,12,Pendennis
Archer,DN,0,Pendennis
Ariadne,N,4,Pendennis
Ariadne,C,0,Pendennis
Ariadne,I,0,Pendennis
Ariadne,A,0,Pendennis
Ariadne,DC,2,Pendennis
Ariadne,DN,1,Pendennis
Arthur,N,749,Pendennis
Arthur,C,176,Pendennis
Arthur,I,268,Pendennis
Arthur,A,437,Pendennis
Arthur,DC,280,Pendennis
Arthur,DN,86,Pendennis
Arthur Pendennis of Crecy,N,2,Pendennis
Arthur Pendennis of Crecy,C,1,Pendennis
Arthur Pendennis of Crecy,I,1,Pendennis
Arthur Pendennis of Crecy,A,1,Pendennis
Arthur Pendennis of Crecy,DC,0,Pendennis
Arthur Pendennis of Crecy,DN,2,Pendennis
Bacon,N,55,Pendennis
Bacon,C,5,Pendennis
Bacon,I,10,Pendennis
Bacon,A,18,Pendennis
Bacon,DC,22,Pendennis
Bacon,DN,1,Pendennis
Bareacres,N,5,Pendennis
Bareacres,C,0,Pendennis
Bareacres,I,1,Pendennis
Bareacres,A,0,Pendennis
Bareacres,DC,0,Pendennis
Bareacres,DN,1,Pendennis
Beatrice,N,5,Pendennis
Beatrice,C,0,Pendennis
Beatrice,I,1,Pendennis
Beatrice,A,2,Pendennis
Beatrice,DC,0,Pendennis
Beatrice,DN,1,Pendennis
Bedad,N,4,Pendennis
Bedad,C,0,Pendennis
Bedad,I,0,Pendennis
Bedad,A,0,Pendennis
Bedad,DC,2,Pendennis
Bedad,DN,0,Pendennis
Begad,N,5,Pendennis
Begad,C,0,Pendennis
Begad,I,2,Pendennis
Begad,A,1,Pendennis
Begad,DC,1,Pendennis
Begad,DN,1,Pendennis
Bell,N,10,Pendennis
Bell,C,0,Pendennis
Bell,I,1,Pendennis
Bell,A,2,Pendennis
Bell,DC,2,Pendennis
Bell,DN,1,Pendennis
Betsy,N,9,Pendennis
Betsy,C,0,Pendennis
Betsy,I,1,Pendennis
Betsy,A,1,Pendennis
Betsy,DC,1,Pendennis
Betsy,DN,0,Pendennis
Betsy - Jane,N,15,Pendennis
Betsy - Jane,C,3,Pendennis
Betsy - Jane,I,0,Pendennis
Betsy - Jane,A,4,Pendennis
Betsy - Jane,DC,3,Pendennis
Betsy - Jane,DN,1,Pendennis
Betsy Amory,N,5,Pendennis
Betsy Amory,C,1,Pendennis
Betsy Amory,I,1,Pendennis
Betsy Amory,A,2,Pendennis
Betsy Amory,DC,0,Pendennis
Betsy Amory,DN,1,Pendennis
Bingley,N,40,Pendennis
Bingley,C,1,Pendennis
Bingley,I,3,Pendennis
Bingley,A,8,Pendennis
Bingley,DC,7,Pendennis
Bingley,DN,6,Pendennis
Black - Eyed Susan,N,4,Pendennis
Black - Eyed Susan,C,0,Pendennis
Black - Eyed Susan,I,0,Pendennis
Black - Eyed Susan,A,1,Pendennis
Black - Eyed Susan,DC,0,Pendennis
Black - Eyed Susan,DN,0,Pendennis
Blanche,N,538,Pendennis
Blanche,C,127,Pendennis
Blanche,I,167,Pendennis
Blanche,A,261,Pendennis
Blanche,DC,187,Pendennis
Blanche,DN,73,Pendennis
Bloundell,N,40,Pendennis
Bloundell,C,0,Pendennis
Bloundell,I,8,Pendennis
Bloundell,A,8,Pendennis
Bloundell,DC,3,Pendennis
Bloundell,DN,2,Pendennis
Bloundell - Bloundell,N,1,Pendennis
Bloundell - Bloundell,C,0,Pendennis
Bloundell - Bloundell,I,2,Pendennis
Bloundell - Bloundell,A,4,Pendennis
Bloundell - Bloundell,DC,3,Pendennis
Bloundell - Bloundell,DN,0,Pendennis
Bluebeard,N,9,Pendennis
Bluebeard,C,1,Pendennis
Bluebeard,I,0,Pendennis
Bluebeard,A,3,Pendennis
Bluebeard,DC,3,Pendennis
Bluebeard,DN,0,Pendennis
Bows,N,185,Pendennis
Bows,C,74,Pendennis
Bows,I,57,Pendennis
Bows,A,93,Pendennis
Bows,DC,37,Pendennis
Bows,DN,8,Pendennis
Broadbent,N,3,Pendennis
Broadbent,C,0,Pendennis
Broadbent,I,0,Pendennis
Broadbent,A,0,Pendennis
Broadbent,DC,0,Pendennis
Broadbent,DN,1,Pendennis
Bungay,N,138,Pendennis
Bungay,C,35,Pendennis
Bungay,I,23,Pendennis
Bungay,A,53,Pendennis
Bungay,DC,38,Pendennis
Bungay,DN,6,Pendennis
Byron,N,15,Pendennis
Byron,C,0,Pendennis
Byron,I,2,Pendennis
Byron,A,1,Pendennis
Byron,DC,4,Pendennis
Byron,DN,1,Pendennis
Calverley,N,13,Pendennis
Calverley,C,2,Pendennis
Calverley,I,2,Pendennis
Calverley,A,0,Pendennis
Calverley,DC,2,Pendennis
Calverley,DN,0,Pendennis
Captain Bragg,N,5,Pendennis
Captain Bragg,C,0,Pendennis
Captain Bragg,I,0,Pendennis
Captain Bragg,A,1,Pendennis
Captain Bragg,DC,0,Pendennis
Captain Bragg,DN,1,Pendennis
Captain Broadfoot,N,9,Pendennis
Captain Broadfoot,C,0,Pendennis
Captain Broadfoot,I,1,Pendennis
Captain Broadfoot,A,3,Pendennis
Captain Broadfoot,DC,2,Pendennis
Captain Broadfoot,DN,1,Pendennis
Captain Crackenbury,N,4,Pendennis
Captain Crackenbury,C,4,Pendennis
Captain Crackenbury,I,1,Pendennis
Captain Crackenbury,A,1,Pendennis
Captain Crackenbury,DC,1,Pendennis
Captain Crackenbury,DN,0,Pendennis
Captain Glanders,N,21,Pendennis
Captain Glanders,C,0,Pendennis
Captain Glanders,I,1,Pendennis
Captain Glanders,A,4,Pendennis
Captain Glanders,DC,1,Pendennis
Captain Glanders,DN,1,Pendennis
Captain Shandon,N,32,Pendennis
Captain Shandon,C,19,Pendennis
Captain Shandon,I,4,Pendennis
Captain Shandon,A,7,Pendennis
Captain Shandon,DC,11,Pendennis
Captain Shandon,DN,2,Pendennis
Captain Sumph,N,5,Pendennis
Captain Sumph,C,4,Pendennis
Captain Sumph,I,4,Pendennis
Captain Sumph,A,4,Pendennis
Captain Sumph,DC,6,Pendennis
Captain Sumph,DN,0,Pendennis
Charles,N,5,Pendennis
Charles,C,0,Pendennis
Charles,I,1,Pendennis
Charles,A,4,Pendennis
Charles,DC,6,Pendennis
Charles,DN,0,Pendennis
Chatteris,N,20,Pendennis
Chatteris,C,2,Pendennis
Chatteris,I,0,Pendennis
Chatteris,A,1,Pendennis
