character,tag,count,novel
Admiral Baldwin,N,4,Persuasion
Admiral Baldwin,C,0,Persuasion
Admiral Baldwin,I,0,Persuasion
Admiral Baldwin,A,0,Persuasion
Admiral Baldwin,DC,5,Persuasion
Admiral Baldwin,DN,0,Persuasion
Admiral Croft,N,20,Persuasion
Admiral Croft,C,0,Persuasion
Admiral Croft,I,5,Persuasion
Admiral Croft,A,8,Persuasion
Admiral Croft,DC,13,Persuasion
Admiral Croft,DN,3,Persuasion
Anne,N,545,Persuasion
Anne,C,203,Persuasion
Anne,I,568,Persuasion
Anne,A,528,Persuasion
Anne,DC,194,Persuasion
Anne,DN,141,Persuasion
Captain Benwick,N,65,Persuasion
Captain Benwick,C,7,Persuasion
Captain Benwick,I,26,Persuasion
Captain Benwick,A,48,Persuasion
Captain Benwick,DC,67,Persuasion
Captain Benwick,DN,9,Persuasion
Captain Harville,N,44,Persuasion
Captain Harville,C,20,Persuasion
Captain Harville,I,20,Persuasion
Captain Harville,A,39,Persuasion
Captain Harville,DC,24,Persuasion
Captain Harville,DN,5,Persuasion
Captain Wentworth,N,219,Persuasion
Captain Wentworth,C,69,Persuasion
Captain Wentworth,I,104,Persuasion
Captain Wentworth,A,163,Persuasion
Captain Wentworth,DC,60,Persuasion
Captain Wentworth,DN,47,Persuasion
Charles,N,192,Persuasion
Charles,C,48,Persuasion
Charles,I,76,Persuasion
Charles,A,101,Persuasion
Charles,DC,47,Persuasion
Charles,DN,22,Persuasion
Colonel Wallis,N,22,Persuasion
Colonel Wallis,C,0,Persuasion
Colonel Wallis,I,1,Persuasion
Colonel Wallis,A,9,Persuasion
Colonel Wallis,DC,8,Persuasion
Colonel Wallis,DN,0,Persuasion
Dear Smith,N,1,Persuasion
Dear Smith,C,0,Persuasion
Dear Smith,I,0,Persuasion
Dear Smith,A,0,Persuasion
Dear Smith,DC,5,Persuasion
Dear Smith,DN,0,Persuasion
Dick,N,7,Persuasion
Dick,C,0,Persuasion
Dick,I,1,Persuasion
Dick,A,1,Persuasion
Dick,DC,2,Persuasion
Dick,DN,0,Persuasion
Dr Shirley,N,10,Persuasion
Dr Shirley,C,0,Persuasion
Dr Shirley,I,2,Persuasion
Dr Shirley,A,7,Persuasion
Dr Shirley,DC,15,Persuasion
Dr Shirley,DN,0,Persuasion
Edward,N,5,Persuasion
Edward,C,0,Persuasion
Edward,I,0,Persuasion
Edward,A,1,Persuasion
Edward,DC,0,Persuasion
Edward,DN,0,Persuasion
Elizabeth,N,88,Persuasion
Elizabeth,C,25,Persuasion
Elizabeth,I,40,Persuasion
Elizabeth,A,39,Persuasion
Elizabeth,DC,5,Persuasion
Elizabeth,DN,20,Persuasion
Frederick,N,13,Persuasion
Frederick,C,0,Persuasion
Frederick,I,3,Persuasion
Frederick,A,13,Persuasion
Frederick,DC,17,Persuasion
Frederick,DN,1,Persuasion
God,N,7,Persuasion
God,C,0,Persuasion
God,I,1,Persuasion
God,A,0,Persuasion
God,DC,6,Persuasion
God,DN,0,Persuasion
Henrietta,N,74,Persuasion
Henrietta,C,3,Persuasion
Henrietta,I,25,Persuasion
Henrietta,A,27,Persuasion
Henrietta,DC,29,Persuasion
Henrietta,DN,7,Persuasion
Jemima,N,4,Persuasion
Jemima,C,0,Persuasion
Jemima,I,0,Persuasion
Jemima,A,0,Persuasion
Jemima,DC,2,Persuasion
Jemima,DN,1,Persuasion
Kellynch,N,12,Persuasion
Kellynch,C,1,Persuasion
Kellynch,I,0,Persuasion
Kellynch,A,2,Persuasion
Kellynch,DC,3,Persuasion
Kellynch,DN,1,Persuasion
Lady Dalrymple,N,25,Persuasion
Lady Dalrymple,C,3,Persuasion
Lady Dalrymple,I,4,Persuasion
Lady Dalrymple,A,5,Persuasion
Lady Dalrymple,DC,8,Persuasion
Lady Dalrymple,DN,3,Persuasion
Lady Elliot,N,11,Persuasion
Lady Elliot,C,0,Persuasion
Lady Elliot,I,3,Persuasion
Lady Elliot,A,2,Persuasion
Lady Elliot,DC,4,Persuasion
Lady Elliot,DN,1,Persuasion
Lady Russell,N,147,Persuasion
Lady Russell,C,20,Persuasion
Lady Russell,I,65,Persuasion
Lady Russell,A,62,Persuasion
Lady Russell,DC,32,Persuasion
Lady Russell,DN,21,Persuasion
Louisa,N,120,Persuasion
Louisa,C,14,Persuasion
Louisa,I,30,Persuasion
Louisa,A,65,Persuasion
Louisa,DC,22,Persuasion
Louisa,DN,15,Persuasion
Mary,N,137,Persuasion
Mary,C,56,Persuasion
Mary,I,84,Persuasion
Mary,A,93,Persuasion
Mary,DC,53,Persuasion
Mary,DN,27,Persuasion
Miss Atkinson,N,1,Persuasion
Miss Atkinson,C,0,Persuasion
Miss Atkinson,I,0,Persuasion
Miss Atkinson,A,0,Persuasion
Miss Atkinson,DC,2,Persuasion
Miss Atkinson,DN,1,Persuasion
Miss Carteret,N,12,Persuasion
Miss Carteret,C,0,Persuasion
Miss Carteret,I,1,Persuasion
Miss Carteret,A,0,Persuasion
Miss Carteret,DC,1,Persuasion
Miss Carteret,DN,3,Persuasion
Miss Hamilton,N,3,Persuasion
Miss Hamilton,C,0,Persuasion
Miss Hamilton,I,1,Persuasion
Miss Hamilton,A,3,Persuasion
Miss Hamilton,DC,0,Persuasion
Miss Hamilton,DN,1,Persuasion
Mr Elliot,N,179,Persuasion
Mr Elliot,C,19,Persuasion
Mr Elliot,I,69,Persuasion
Mr Elliot,A,150,Persuasion
Mr Elliot,DC,209,Persuasion
Mr Elliot,DN,34,Persuasion
Mr Shepherd,N,28,Persuasion
Mr Shepherd,C,13,Persuasion
Mr Shepherd,I,27,Persuasion
Mr Shepherd,A,10,Persuasion
Mr Shepherd,DC,6,Persuasion
Mr Shepherd,DN,3,Persuasion
Mr Smith,N,2,Persuasion
Mr Smith,C,0,Persuasion
Mr Smith,I,0,Persuasion
Mr Smith,A,1,Persuasion
Mr Smith,DC,0,Persuasion
Mr Smith,DN,0,Persuasion
Mr Wentworth,N,8,Persuasion
Mr Wentworth,C,0,Persuasion
Mr Wentworth,I,1,Persuasion
Mr Wentworth,A,1,Persuasion
Mr Wentworth,DC,8,Persuasion
Mr Wentworth,DN,0,Persuasion
Mrs Clay,N,65,Persuasion
Mrs Clay,C,11,Persuasion
Mrs Clay,I,21,Persuasion
Mrs Clay,A,18,Persuasion
Mrs Clay,DC,15,Persuasion
Mrs Clay,DN,12,Persuasion
Mrs Croft,N,42,Persuasion
Mrs Croft,C,18,Persuasion
Mrs Croft,I,17,Persuasion
Mrs Croft,A,11,Persuasion
Mrs Croft,DC,7,Persuasion
Mrs Croft,DN,2,Persuasion
Mrs Harville,N,25,Persuasion
Mrs Harville,C,1,Persuasion
Mrs Harville,I,2,Persuasion
Mrs Harville,A,11,Persuasion
Mrs Harville,DC,4,Persuasion
Mrs Harville,DN,3,Persuasion
Mrs Musgrove,N,62,Persuasion
Mrs Musgrove,C,14,Persuasion
Mrs Musgrove,I,7,Persuasion
Mrs Musgrove,A,16,Persuasion
Mrs Musgrove,DC,10,Persuasion
Mrs Musgrove,DN,5,Persuasion
Mrs Rooke,N,4,Persuasion
Mrs Rooke,C,0,Persuasion
Mrs Rooke,I,1,Persuasion
Mrs Rooke,A,0,Persuasion
Mrs Rooke,DC,5,Persuasion
Mrs Rooke,DN,0,Persuasion
Mrs Shirley,N,2,Persuasion
Mrs Shirley,C,0,Persuasion
Mrs Shirley,I,0,Persuasion
Mrs Shirley,A,2,Persuasion
Mrs Shirley,DC,3,Persuasion
Mrs Shirley,DN,0,Persuasion
Mrs Smith,N,63,Persuasion
Mrs Smith,C,66,Persuasion
Mrs Smith,I,70,Persuasion
Mrs Smith,A,52,Persuasion
Mrs Smith,DC,19,Persuasion
Mrs Smith,DN,5,Persuasion
Mrs Wallis,N,11,Persuasion
Mrs Wallis,C,2,Persuasion
Mrs Wallis,I,1,Persuasion
Mrs Wallis,A,5,Persuasion
Mrs Wallis,DC,8,Persuasion
Mrs Wallis,DN,1,Persuasion
Nurse Rooke,N,3,Persuasion
Nurse Rooke,C,0,Persuasion
Nurse Rooke,I,1,Persuasion
Nurse Rooke,A,2,Persuasion
Nurse Rooke,DC,6,Persuasion
Nurse Rooke,DN,0,Persuasion
Penelope,N,2,Persuasion
Penelope,C,0,Persuasion
Penelope,I,2,Persuasion
Penelope,A,2,Persuasion
Penelope,DC,4,Persuasion
Penelope,DN,0,Persuasion
Sir Walter,N,139,Persuasion
Sir Walter,C,37,Persuasion
Sir Walter,I,51,Persuasion
Sir Walter,A,72,Persuasion
Sir Walter,DC,39,Persuasion
