character,tag,count,novel
Amy,N,18,Phoebe_Junior
Amy,C,2,Phoebe_Junior
Amy,I,3,Phoebe_Junior
Amy,A,4,Phoebe_Junior
Amy,DC,7,Phoebe_Junior
Amy,DN,2,Phoebe_Junior
Anne,N,26,Phoebe_Junior
Anne,C,13,Phoebe_Junior
Anne,I,12,Phoebe_Junior
Anne,A,4,Phoebe_Junior
Anne,DC,12,Phoebe_Junior
Anne,DN,4,Phoebe_Junior
Betsy,N,40,Phoebe_Junior
Betsy,C,29,Phoebe_Junior
Betsy,I,16,Phoebe_Junior
Betsy,A,19,Phoebe_Junior
Betsy,DC,6,Phoebe_Junior
Betsy,DN,6,Phoebe_Junior
Carlingford,N,6,Phoebe_Junior
Carlingford,C,0,Phoebe_Junior
Carlingford,I,0,Phoebe_Junior
Carlingford,A,1,Phoebe_Junior
Carlingford,DC,6,Phoebe_Junior
Carlingford,DN,0,Phoebe_Junior
Christie,N,1,Phoebe_Junior
Christie,C,0,Phoebe_Junior
Christie,I,0,Phoebe_Junior
Christie,A,0,Phoebe_Junior
Christie,DC,4,Phoebe_Junior
Christie,DN,0,Phoebe_Junior
Clar,N,8,Phoebe_Junior
Clar,C,0,Phoebe_Junior
Clar,I,0,Phoebe_Junior
Clar,A,2,Phoebe_Junior
Clar,DC,8,Phoebe_Junior
Clar,DN,0,Phoebe_Junior
Clara,N,6,Phoebe_Junior
Clara,C,0,Phoebe_Junior
Clara,I,1,Phoebe_Junior
Clara,A,1,Phoebe_Junior
Clara,DC,11,Phoebe_Junior
Clara,DN,0,Phoebe_Junior
Cotsdean,N,107,Phoebe_Junior
Cotsdean,C,40,Phoebe_Junior
Cotsdean,I,73,Phoebe_Junior
Cotsdean,A,104,Phoebe_Junior
Cotsdean,DC,52,Phoebe_Junior
Cotsdean,DN,29,Phoebe_Junior
Cousin Anne,N,87,Phoebe_Junior
Cousin Anne,C,31,Phoebe_Junior
Cousin Anne,I,29,Phoebe_Junior
Cousin Anne,A,36,Phoebe_Junior
Cousin Anne,DC,61,Phoebe_Junior
Cousin Anne,DN,7,Phoebe_Junior
DEAR MAY,N,1,Phoebe_Junior
DEAR MAY,C,0,Phoebe_Junior
DEAR MAY,I,3,Phoebe_Junior
DEAR MAY,A,3,Phoebe_Junior
DEAR MAY,DC,11,Phoebe_Junior
DEAR MAY,DN,0,Phoebe_Junior
George,N,13,Phoebe_Junior
George,C,0,Phoebe_Junior
George,I,3,Phoebe_Junior
George,A,1,Phoebe_Junior
George,DC,11,Phoebe_Junior
George,DN,0,Phoebe_Junior
God,N,10,Phoebe_Junior
God,C,0,Phoebe_Junior
God,I,1,Phoebe_Junior
God,A,3,Phoebe_Junior
God,DC,6,Phoebe_Junior
God,DN,0,Phoebe_Junior
Grandmamma,N,8,Phoebe_Junior
Grandmamma,C,0,Phoebe_Junior
Grandmamma,I,2,Phoebe_Junior
Grandmamma,A,4,Phoebe_Junior
Grandmamma,DC,18,Phoebe_Junior
Grandmamma,DN,0,Phoebe_Junior
Grandpapa,N,18,Phoebe_Junior
Grandpapa,C,0,Phoebe_Junior
Grandpapa,I,8,Phoebe_Junior
Grandpapa,A,16,Phoebe_Junior
Grandpapa,DC,45,Phoebe_Junior
Grandpapa,DN,0,Phoebe_Junior
Heaven,N,13,Phoebe_Junior
Heaven,C,1,Phoebe_Junior
Heaven,I,2,Phoebe_Junior
Heaven,A,1,Phoebe_Junior
Heaven,DC,3,Phoebe_Junior
Heaven,DN,0,Phoebe_Junior
Henery,N,7,Phoebe_Junior
Henery,C,0,Phoebe_Junior
Henery,I,1,Phoebe_Junior
Henery,A,3,Phoebe_Junior
Henery,DC,8,Phoebe_Junior
Henery,DN,0,Phoebe_Junior
Holden,N,8,Phoebe_Junior
Holden,C,0,Phoebe_Junior
