character,tag,count,novel
Addison,N,5,Pride_and_Prejudice
Addison,C,0,Pride_and_Prejudice
Addison,I,0,Pride_and_Prejudice
Addison,A,1,Pride_and_Prejudice
Addison,DC,0,Pride_and_Prejudice
Addison,DN,0,Pride_and_Prejudice
Anne,N,7,Pride_and_Prejudice
Anne,C,0,Pride_and_Prejudice
Anne,I,1,Pride_and_Prejudice
Anne,A,3,Pride_and_Prejudice
Anne,DC,4,Pride_and_Prejudice
Anne,DN,0,Pride_and_Prejudice
Brother,N,1,Pride_and_Prejudice
Brother,C,0,Pride_and_Prejudice
Brother,I,3,Pride_and_Prejudice
Brother,A,3,Pride_and_Prejudice
Brother,DC,11,Pride_and_Prejudice
Brother,DN,0,Pride_and_Prejudice
Captain Carter,N,4,Pride_and_Prejudice
Captain Carter,C,0,Pride_and_Prejudice
Captain Carter,I,0,Pride_and_Prejudice
Captain Carter,A,2,Pride_and_Prejudice
Captain Carter,DC,3,Pride_and_Prejudice
Captain Carter,DN,0,Pride_and_Prejudice
Caroline,N,17,Pride_and_Prejudice
Caroline,C,1,Pride_and_Prejudice
Caroline,I,7,Pride_and_Prejudice
Caroline,A,7,Pride_and_Prejudice
Caroline,DC,14,Pride_and_Prejudice
Caroline,DN,0,Pride_and_Prejudice
Charles,N,7,Pride_and_Prejudice
Charles,C,0,Pride_and_Prejudice
Charles,I,5,Pride_and_Prejudice
Charles,A,3,Pride_and_Prejudice
Charles,DC,12,Pride_and_Prejudice
Charles,DN,1,Pride_and_Prejudice
Charlotte,N,87,Pride_and_Prejudice
Charlotte,C,27,Pride_and_Prejudice
Charlotte,I,31,Pride_and_Prejudice
Charlotte,A,36,Pride_and_Prejudice
Charlotte,DC,23,Pride_and_Prejudice
Charlotte,DN,15,Pride_and_Prejudice
Colonel F.,N,3,Pride_and_Prejudice
Colonel F.,C,0,Pride_and_Prejudice
Colonel F.,I,2,Pride_and_Prejudice
Colonel F.,A,5,Pride_and_Prejudice
Colonel F.,DC,0,Pride_and_Prejudice
Colonel F.,DN,0,Pride_and_Prejudice
Colonel Fitzwilliam,N,30,Pride_and_Prejudice
Colonel Fitzwilliam,C,13,Pride_and_Prejudice
Colonel Fitzwilliam,I,11,Pride_and_Prejudice
Colonel Fitzwilliam,A,22,Pride_and_Prejudice
Colonel Fitzwilliam,DC,8,Pride_and_Prejudice
Colonel Fitzwilliam,DN,3,Pride_and_Prejudice
Colonel Forster,N,28,Pride_and_Prejudice
Colonel Forster,C,0,Pride_and_Prejudice
Colonel Forster,I,8,Pride_and_Prejudice
Colonel Forster,A,18,Pride_and_Prejudice
Colonel Forster,DC,13,Pride_and_Prejudice
Colonel Forster,DN,2,Pride_and_Prejudice
Dear Lizzy,N,2,Pride_and_Prejudice
Dear Lizzy,C,0,Pride_and_Prejudice
Dear Lizzy,I,0,Pride_and_Prejudice
Dear Lizzy,A,1,Pride_and_Prejudice
Dear Lizzy,DC,0,Pride_and_Prejudice
Dear Lizzy,DN,1,Pride_and_Prejudice
Elizabeth,N,817,Pride_and_Prejudice
Elizabeth,C,493,Pride_and_Prejudice
Elizabeth,I,878,Pride_and_Prejudice
Elizabeth,A,769,Pride_and_Prejudice
Elizabeth,DC,311,Pride_and_Prejudice
Elizabeth,DN,172,Pride_and_Prejudice
"Elizabeth,--",N,4,Pride_and_Prejudice
"Elizabeth,--",C,1,Pride_and_Prejudice
"Elizabeth,--",I,0,Pride_and_Prejudice
"Elizabeth,--",A,1,Pride_and_Prejudice
"Elizabeth,--",DC,6,Pride_and_Prejudice
"Elizabeth,--",DN,0,Pride_and_Prejudice
George Allen,N,38,Pride_and_Prejudice
George Allen,C,48,Pride_and_Prejudice
George Allen,I,12,Pride_and_Prejudice
George Allen,A,11,Pride_and_Prejudice
George Allen,DC,1,Pride_and_Prejudice
George Allen,DN,0,Pride_and_Prejudice
George Wickham,N,12,Pride_and_Prejudice
George Wickham,C,0,Pride_and_Prejudice
George Wickham,I,2,Pride_and_Prejudice
George Wickham,A,0,Pride_and_Prejudice
George Wickham,DC,8,Pride_and_Prejudice
George Wickham,DN,0,Pride_and_Prejudice
Georgiana,N,23,Pride_and_Prejudice
Georgiana,C,1,Pride_and_Prejudice
Georgiana,I,6,Pride_and_Prejudice
Georgiana,A,12,Pride_and_Prejudice
Georgiana,DC,6,Pride_and_Prejudice
Georgiana,DN,4,Pride_and_Prejudice
Harriet,N,2,Pride_and_Prejudice
Harriet,C,0,Pride_and_Prejudice
Harriet,I,3,Pride_and_Prejudice
Harriet,A,2,Pride_and_Prejudice
Harriet,DC,1,Pride_and_Prejudice
Harriet,DN,0,Pride_and_Prejudice
Hill,N,8,Pride_and_Prejudice
Hill,C,2,Pride_and_Prejudice
Hill,I,2,Pride_and_Prejudice
Hill,A,3,Pride_and_Prejudice
Hill,DC,2,Pride_and_Prejudice
Hill,DN,0,Pride_and_Prejudice
Illustration,N,4,Pride_and_Prejudice
Illustration,C,9,Pride_and_Prejudice
Illustration,I,0,Pride_and_Prejudice
Illustration,A,3,Pride_and_Prejudice
Illustration,DC,0,Pride_and_Prejudice
Illustration,DN,0,Pride_and_Prejudice
Jane,N,301,Pride_and_Prejudice
Jane,C,108,Pride_and_Prejudice
Jane,I,147,Pride_and_Prejudice
Jane,A,143,Pride_and_Prejudice
Jane,DC,108,Pride_and_Prejudice
Jane,DN,33,Pride_and_Prejudice
Lady Catherine,N,202,Pride_and_Prejudice
Lady Catherine,C,51,Pride_and_Prejudice
Lady Catherine,I,50,Pride_and_Prejudice
Lady Catherine,A,98,Pride_and_Prejudice
Lady Catherine,DC,85,Pride_and_Prejudice
Lady Catherine,DN,22,Pride_and_Prejudice
Lady Lucas,N,18,Pride_and_Prejudice
Lady Lucas,C,1,Pride_and_Prejudice
Lady Lucas,I,1,Pride_and_Prejudice
Lady Lucas,A,4,Pride_and_Prejudice
Lady Lucas,DC,3,Pride_and_Prejudice
Lady Lucas,DN,5,Pride_and_Prejudice
Lizzy,N,5,Pride_and_Prejudice
Lizzy,C,2,Pride_and_Prejudice
Lizzy,I,0,Pride_and_Prejudice
Lizzy,A,0,Pride_and_Prejudice
Lizzy,DC,6,Pride_and_Prejudice
Lizzy,DN,0,Pride_and_Prejudice
Louisa,N,6,Pride_and_Prejudice
Louisa,C,0,Pride_and_Prejudice
Louisa,I,4,Pride_and_Prejudice
Louisa,A,0,Pride_and_Prejudice
Louisa,DC,10,Pride_and_Prejudice
Louisa,DN,0,Pride_and_Prejudice
Lydia,N,192,Pride_and_Prejudice
Lydia,C,42,Pride_and_Prejudice
Lydia,I,42,Pride_and_Prejudice
Lydia,A,72,Pride_and_Prejudice
Lydia,DC,58,Pride_and_Prejudice
Lydia,DN,17,Pride_and_Prejudice
Maria,N,20,Pride_and_Prejudice
Maria,C,8,Pride_and_Prejudice
Maria,I,3,Pride_and_Prejudice
Maria,A,2,Pride_and_Prejudice
Maria,DC,3,Pride_and_Prejudice
Maria,DN,0,Pride_and_Prejudice
Mary,N,43,Pride_and_Prejudice
Mary,C,9,Pride_and_Prejudice
Mary,I,15,Pride_and_Prejudice
Mary,A,13,Pride_and_Prejudice
Mary,DC,9,Pride_and_Prejudice
Mary,DN,8,Pride_and_Prejudice
Meryton,N,5,Pride_and_Prejudice
Meryton,C,0,Pride_and_Prejudice
Meryton,I,0,Pride_and_Prejudice
Meryton,A,2,Pride_and_Prejudice
Meryton,DC,1,Pride_and_Prejudice
Meryton,DN,1,Pride_and_Prejudice
Miss Austen,N,25,Pride_and_Prejudice
Miss Austen,C,6,Pride_and_Prejudice
Miss Austen,I,11,Pride_and_Prejudice
Miss Austen,A,8,Pride_and_Prejudice
Miss Austen,DC,0,Pride_and_Prejudice
Miss Austen,DN,9,Pride_and_Prejudice
Miss Bingley,N,107,Pride_and_Prejudice
Miss Bingley,C,72,Pride_and_Prejudice
Miss Bingley,I,61,Pride_and_Prejudice
Miss Bingley,A,48,Pride_and_Prejudice
Miss Bingley,DC,33,Pride_and_Prejudice
Miss Bingley,DN,11,Pride_and_Prejudice
Miss Darcy,N,68,Pride_and_Prejudice
Miss Darcy,C,10,Pride_and_Prejudice
Miss Darcy,I,6,Pride_and_Prejudice
Miss Darcy,A,17,Pride_and_Prejudice
Miss Darcy,DC,33,Pride_and_Prejudice
Miss Darcy,DN,12,Pride_and_Prejudice
Miss King,N,5,Pride_and_Prejudice
Miss King,C,0,Pride_and_Prejudice
Miss King,I,0,Pride_and_Prejudice
Miss King,A,0,Pride_and_Prejudice
Miss King,DC,10,Pride_and_Prejudice
Miss King,DN,0,Pride_and_Prejudice
Miss Lucas,N,25,Pride_and_Prejudice
Miss Lucas,C,12,Pride_and_Prejudice
Miss Lucas,I,8,Pride_and_Prejudice
Miss Lucas,A,9,Pride_and_Prejudice
Miss Lucas,DC,10,Pride_and_Prejudice
Miss Lucas,DN,1,Pride_and_Prejudice
Miss de Bourgh,N,23,Pride_and_Prejudice
Miss de Bourgh,C,1,Pride_and_Prejudice
Miss de Bourgh,I,1,Pride_and_Prejudice
Miss de Bourgh,A,6,Pride_and_Prejudice
Miss de Bourgh,DC,10,Pride_and_Prejudice
Miss de Bourgh,DN,1,Pride_and_Prejudice
Mr.,N,1,Pride_and_Prejudice
Mr.,C,1,Pride_and_Prejudice
Mr.,I,1,Pride_and_Prejudice
Mr.,A,3,Pride_and_Prejudice
Mr.,DC,10,Pride_and_Prejudice
Mr.,DN,0,Pride_and_Prejudice
Mr. Bennet,N,93,Pride_and_Prejudice
Mr. Bennet,C,43,Pride_and_Prejudice
Mr. Bennet,I,39,Pride_and_Prejudice
Mr. Bennet,A,84,Pride_and_Prejudice
Mr. Bennet,DC,39,Pride_and_Prejudice
Mr. Bennet,DN,24,Pride_and_Prejudice
Mr. Bingley,N,199,Pride_and_Prejudice
Mr. Bingley,C,30,Pride_and_Prejudice
Mr. Bingley,I,77,Pride_and_Prejudice
Mr. Bingley,A,119,Pride_and_Prejudice
Mr. Bingley,DC,136,Pride_and_Prejudice
Mr. Bingley,DN,32,Pride_and_Prejudice
Mr. Collins,N,160,Pride_and_Prejudice
Mr. Collins,C,46,Pride_and_Prejudice
Mr. Collins,I,93,Pride_and_Prejudice
Mr. Collins,A,127,Pride_and_Prejudice
Mr. Collins,DC,55,Pride_and_Prejudice
Mr. Collins,DN,31,Pride_and_Prejudice
Mr. Darcy,N,354,Pride_and_Prejudice
Mr. Darcy,C,111,Pride_and_Prejudice
Mr. Darcy,I,240,Pride_and_Prejudice
Mr. Darcy,A,348,Pride_and_Prejudice
Mr. Darcy,DC,323,Pride_and_Prejudice
Mr. Darcy,DN,69,Pride_and_Prejudice
Mr. Gardiner,N,36,Pride_and_Prejudice
Mr. Gardiner,C,15,Pride_and_Prejudice
Mr. Gardiner,I,13,Pride_and_Prejudice
Mr. Gardiner,A,21,Pride_and_Prejudice
Mr. Gardiner,DC,10,Pride_and_Prejudice
Mr. Gardiner,DN,1,Pride_and_Prejudice
Mr. Hurst,N,12,Pride_and_Prejudice
Mr. Hurst,C,9,Pride_and_Prejudice
Mr. Hurst,I,5,Pride_and_Prejudice
Mr. Hurst,A,15,Pride_and_Prejudice
Mr. Hurst,DC,6,Pride_and_Prejudice
Mr. Hurst,DN,2,Pride_and_Prejudice
Mr. Jones,N,5,Pride_and_Prejudice
Mr. Jones,C,0,Pride_and_Prejudice
Mr. Jones,I,0,Pride_and_Prejudice
Mr. Jones,A,2,Pride_and_Prejudice
Mr. Jones,DC,1,Pride_and_Prejudice
Mr. Jones,DN,1,Pride_and_Prejudice
Mr. Philips,N,11,Pride_and_Prejudice
Mr. Philips,C,0,Pride_and_Prejudice
Mr. Philips,I,1,Pride_and_Prejudice
Mr. Philips,A,2,Pride_and_Prejudice
Mr. Philips,DC,4,Pride_and_Prejudice
Mr. Philips,DN,0,Pride_and_Prejudice
Mrs. Annesley,N,3,Pride_and_Prejudice
Mrs. Annesley,C,0,Pride_and_Prejudice
Mrs. Annesley,I,0,Pride_and_Prejudice
Mrs. Annesley,A,0,Pride_and_Prejudice
Mrs. Annesley,DC,1,Pride_and_Prejudice
Mrs. Annesley,DN,1,Pride_and_Prejudice
Mrs. Bennet,N,161,Pride_and_Prejudice
Mrs. Bennet,C,196,Pride_and_Prejudice
Mrs. Bennet,I,116,Pride_and_Prejudice
Mrs. Bennet,A,126,Pride_and_Prejudice
Mrs. Bennet,DC,12,Pride_and_Prejudice
Mrs. Bennet,DN,30,Pride_and_Prejudice
Mrs. Collins,N,29,Pride_and_Prejudice
Mrs. Collins,C,0,Pride_and_Prejudice
Mrs. Collins,I,9,Pride_and_Prejudice
Mrs. Collins,A,10,Pride_and_Prejudice
Mrs. Collins,DC,17,Pride_and_Prejudice
Mrs. Collins,DN,0,Pride_and_Prejudice
Mrs. Forster,N,12,Pride_and_Prejudice
Mrs. Forster,C,0,Pride_and_Prejudice
Mrs. Forster,I,0,Pride_and_Prejudice
Mrs. Forster,A,2,Pride_and_Prejudice
Mrs. Forster,DC,12,Pride_and_Prejudice
Mrs. Forster,DN,0,Pride_and_Prejudice
Mrs. Gardiner,N,59,Pride_and_Prejudice
Mrs. Gardiner,C,39,Pride_and_Prejudice
Mrs. Gardiner,I,30,Pride_and_Prejudice
Mrs. Gardiner,A,28,Pride_and_Prejudice
Mrs. Gardiner,DC,3,Pride_and_Prejudice
Mrs. Gardiner,DN,4,Pride_and_Prejudice
Mrs. Hurst,N,21,Pride_and_Prejudice
Mrs. Hurst,C,5,Pride_and_Prejudice
Mrs. Hurst,I,6,Pride_and_Prejudice
Mrs. Hurst,A,4,Pride_and_Prejudice
Mrs. Hurst,DC,2,Pride_and_Prejudice
Mrs. Hurst,DN,2,Pride_and_Prejudice
Mrs. Jenkinson,N,9,Pride_and_Prejudice
Mrs. Jenkinson,C,0,Pride_and_Prejudice
Mrs. Jenkinson,I,0,Pride_and_Prejudice
Mrs. Jenkinson,A,3,Pride_and_Prejudice
Mrs. Jenkinson,DC,5,Pride_and_Prejudice
Mrs. Jenkinson,DN,0,Pride_and_Prejudice
Mrs. Long,N,16,Pride_and_Prejudice
Mrs. Long,C,0,Pride_and_Prejudice
Mrs. Long,I,3,Pride_and_Prejudice
Mrs. Long,A,6,Pride_and_Prejudice
Mrs. Long,DC,18,Pride_and_Prejudice
Mrs. Long,DN,1,Pride_and_Prejudice
Mrs. Nichols,N,1,Pride_and_Prejudice
Mrs. Nichols,C,0,Pride_and_Prejudice
Mrs. Nichols,I,0,Pride_and_Prejudice
Mrs. Nichols,A,3,Pride_and_Prejudice
Mrs. Nichols,DC,0,Pride_and_Prejudice
Mrs. Nichols,DN,1,Pride_and_Prejudice
Mrs. Philips,N,23,Pride_and_Prejudice
Mrs. Philips,C,0,Pride_and_Prejudice
Mrs. Philips,I,6,Pride_and_Prejudice
Mrs. Philips,A,15,Pride_and_Prejudice
Mrs. Philips,DC,1,Pride_and_Prejudice
Mrs. Philips,DN,4,Pride_and_Prejudice
Mrs. Reynolds,N,9,Pride_and_Prejudice
Mrs. Reynolds,C,8,Pride_and_Prejudice
Mrs. Reynolds,I,4,Pride_and_Prejudice
Mrs. Reynolds,A,3,Pride_and_Prejudice
Mrs. Reynolds,DC,2,Pride_and_Prejudice
Mrs. Reynolds,DN,0,Pride_and_Prejudice
Mrs. Wickham,N,6,Pride_and_Prejudice
Mrs. Wickham,C,0,Pride_and_Prejudice
Mrs. Wickham,I,1,Pride_and_Prejudice
Mrs. Wickham,A,0,Pride_and_Prejudice
Mrs. Wickham,DC,3,Pride_and_Prejudice
Mrs. Wickham,DN,0,Pride_and_Prejudice
Netherfield,N,5,Pride_and_Prejudice
Netherfield,C,0,Pride_and_Prejudice
Netherfield,I,0,Pride_and_Prejudice
Netherfield,A,0,Pride_and_Prejudice
Netherfield,DC,1,Pride_and_Prejudice
Netherfield,DN,0,Pride_and_Prejudice
Pemberley,N,12,Pride_and_Prejudice
Pemberley,C,0,Pride_and_Prejudice
Pemberley,I,0,Pride_and_Prejudice
Pemberley,A,0,Pride_and_Prejudice
Pemberley,DC,3,Pride_and_Prejudice
Pemberley,DN,1,Pride_and_Prejudice
Pratt,N,2,Pride_and_Prejudice
Pratt,C,0,Pride_and_Prejudice
Pratt,I,1,Pride_and_Prejudice
Pratt,A,0,Pride_and_Prejudice
Pratt,DC,1,Pride_and_Prejudice
Pratt,DN,0,Pride_and_Prejudice
Rosings,N,6,Pride_and_Prejudice
Rosings,C,0,Pride_and_Prejudice
Rosings,I,0,Pride_and_Prejudice
Rosings,A,0,Pride_and_Prejudice
Rosings,DC,2,Pride_and_Prejudice
Rosings,DN,0,Pride_and_Prejudice
Sir William,N,42,Pride_and_Prejudice
Sir William,C,22,Pride_and_Prejudice
Sir William,I,21,Pride_and_Prejudice
Sir William,A,31,Pride_and_Prejudice
Sir William,DC,18,Pride_and_Prejudice
Sir William,DN,9,Pride_and_Prejudice
"Sir William,--",N,1,Pride_and_Prejudice
"Sir William,--",C,9,Pride_and_Prejudice
"Sir William,--",I,5,Pride_and_Prejudice
"Sir William,--",A,4,Pride_and_Prejudice
"Sir William,--",DC,0,Pride_and_Prejudice
"Sir William,--",DN,0,Pride_and_Prejudice
Swift,N,4,Pride_and_Prejudice
Swift,C,0,Pride_and_Prejudice
Swift,I,0,Pride_and_Prejudice
Swift,A,0,Pride_and_Prejudice
Swift,DC,0,Pride_and_Prejudice
Swift,DN,0,Pride_and_Prejudice
Wickham,N,176,Pride_and_Prejudice
Wickham,C,54,Pride_and_Prejudice
Wickham,I,70,Pride_and_Prejudice
Wickham,A,102,Pride_and_Prejudice
Wickham,DC,129,Pride_and_Prejudice
Wickham,DN,21,Pride_and_Prejudice
William Goulding,N,1,Pride_and_Prejudice
William Goulding,C,0,Pride_and_Prejudice
William Goulding,I,2,Pride_and_Prejudice
William Goulding,A,0,Pride_and_Prejudice
William Goulding,DC,1,Pride_and_Prejudice
William Goulding,DN,0,Pride_and_Prejudice
the Bingleys,N,6,Pride_and_Prejudice
the Bingleys,C,0,Pride_and_Prejudice
the Bingleys,I,0,Pride_and_Prejudice
the Bingleys,A,0,Pride_and_Prejudice
the Bingleys,DC,0,Pride_and_Prejudice
the Bingleys,DN,1,Pride_and_Prejudice
the Collinses,N,3,Pride_and_Prejudice
the Collinses,C,0,Pride_and_Prejudice
the Collinses,I,2,Pride_and_Prejudice
the Collinses,A,3,Pride_and_Prejudice
the Collinses,DC,2,Pride_and_Prejudice
the Collinses,DN,2,Pride_and_Prejudice
the Gardiners,N,8,Pride_and_Prejudice
the Gardiners,C,0,Pride_and_Prejudice
the Gardiners,I,0,Pride_and_Prejudice
the Gardiners,A,0,Pride_and_Prejudice
the Gardiners,DC,1,Pride_and_Prejudice
the Gardiners,DN,0,Pride_and_Prejudice
the Lucases,N,10,Pride_and_Prejudice
the Lucases,C,0,Pride_and_Prejudice
the Lucases,I,0,Pride_and_Prejudice
the Lucases,A,2,Pride_and_Prejudice
the Lucases,DC,1,Pride_and_Prejudice
the Lucases,DN,1,Pride_and_Prejudice
the Miss Bennets,N,10,Pride_and_Prejudice
