character,tag,count,novel
Addio,N,8,Romola
Addio,C,0,Romola
Addio,I,0,Romola
Addio,A,0,Romola
Addio,DC,8,Romola
Addio,DN,0,Romola
Antonio,N,4,Romola
Antonio,C,1,Romola
Antonio,I,0,Romola
Antonio,A,1,Romola
Antonio,DC,3,Romola
Antonio,DN,0,Romola
Ariadne,N,13,Romola
Ariadne,C,0,Romola
Ariadne,I,1,Romola
Ariadne,A,4,Romola
Ariadne,DC,11,Romola
Ariadne,DN,0,Romola
Babbo,N,8,Romola
Babbo,C,0,Romola
Babbo,I,1,Romola
Babbo,A,3,Romola
Babbo,DC,5,Romola
Babbo,DN,1,Romola
Baldassarre,N,202,Romola
Baldassarre,C,78,Romola
Baldassarre,I,206,Romola
Baldassarre,A,389,Romola
Baldassarre,DC,81,Romola
Baldassarre,DN,64,Romola
Bardo,N,139,Romola
Bardo,C,94,Romola
Bardo,I,69,Romola
Bardo,A,87,Romola
Bardo,DC,28,Romola
Bardo,DN,7,Romola
Benedetto,N,6,Romola
Benedetto,C,0,Romola
Benedetto,I,0,Romola
Benedetto,A,2,Romola
Benedetto,DC,0,Romola
Benedetto,DN,0,Romola
Bernardo,N,99,Romola
Bernardo,C,53,Romola
Bernardo,I,31,Romola
Bernardo,A,45,Romola
Bernardo,DC,32,Romola
Bernardo,DN,12,Romola
Bernardo Dovizi,N,5,Romola
Bernardo Dovizi,C,0,Romola
Bernardo Dovizi,I,0,Romola
Bernardo Dovizi,A,1,Romola
Bernardo Dovizi,DC,2,Romola
Bernardo Dovizi,DN,1,Romola
Bernardo Rucellai,N,38,Romola
Bernardo Rucellai,C,19,Romola
Bernardo Rucellai,I,19,Romola
Bernardo Rucellai,A,15,Romola
Bernardo Rucellai,DC,13,Romola
Bernardo Rucellai,DN,6,Romola
Bratti,N,73,Romola
Bratti,C,69,Romola
Bratti,I,31,Romola
Bratti,A,77,Romola
Bratti,DC,20,Romola
Bratti,DN,5,Romola
Burchiello,N,2,Romola
Burchiello,C,0,Romola
Burchiello,I,0,Romola
Burchiello,A,0,Romola
Burchiello,DC,1,Romola
Burchiello,DN,1,Romola
Camilla,N,17,Romola
Camilla,C,2,Romola
Camilla,I,1,Romola
Camilla,A,9,Romola
Camilla,DC,5,Romola
Camilla,DN,0,Romola
Cecco,N,6,Romola
Cecco,C,2,Romola
Cecco,I,1,Romola
Cecco,A,2,Romola
Cecco,DC,2,Romola
Cecco,DN,1,Romola
Cennini,N,53,Romola
Cennini,C,46,Romola
Cennini,I,18,Romola
Cennini,A,15,Romola
Cennini,DC,25,Romola
Cennini,DN,0,Romola
Charlemagne,N,2,Romola
Charlemagne,C,0,Romola
Charlemagne,I,0,Romola
Charlemagne,A,5,Romola
Charlemagne,DC,0,Romola
Charlemagne,DN,4,Romola
Christ,N,6,Romola
Christ,C,0,Romola
Christ,I,0,Romola
Christ,A,1,Romola
Christ,DC,2,Romola
Christ,DN,1,Romola
Columbus,N,2,Romola
Columbus,C,2,Romola
Columbus,I,8,Romola
Columbus,A,5,Romola
Columbus,DC,0,Romola
Columbus,DN,1,Romola
Cronaca,N,14,Romola
Cronaca,C,11,Romola
Cronaca,I,3,Romola
Cronaca,A,6,Romola
Cronaca,DC,7,Romola
Cronaca,DN,0,Romola
Dante,N,7,Romola
Dante,C,0,Romola
Dante,I,0,Romola
Dante,A,0,Romola
Dante,DC,3,Romola
Dante,DN,0,Romola
Demetrio Calcondila,N,6,Romola
Demetrio Calcondila,C,0,Romola
Demetrio Calcondila,I,1,Romola
Demetrio Calcondila,A,2,Romola
Demetrio Calcondila,DC,2,Romola
Demetrio Calcondila,DN,1,Romola
Dino,N,26,Romola
Dino,C,0,Romola
Dino,I,5,Romola
Dino,A,11,Romola
Dino,DC,23,Romola
Dino,DN,0,Romola
Florence,N,38,Romola
Florence,C,0,Romola
Florence,I,7,Romola
Florence,A,20,Romola
Florence,DC,17,Romola
Florence,DN,5,Romola
Florentines,N,22,Romola
Florentines,C,0,Romola
Florentines,I,3,Romola
Florentines,A,4,Romola
Florentines,DC,12,Romola
Florentines,DN,1,Romola
Fra Domenico,N,34,Romola
Fra Domenico,C,1,Romola
Fra Domenico,I,4,Romola
Fra Domenico,A,15,Romola
Fra Domenico,DC,10,Romola
Fra Domenico,DN,0,Romola
Fra Francesco,N,5,Romola
Fra Francesco,C,0,Romola
Fra Francesco,I,0,Romola
Fra Francesco,A,4,Romola
Fra Francesco,DC,3,Romola
Fra Francesco,DN,2,Romola
Fra Luca,N,21,Romola
Fra Luca,C,4,Romola
Fra Luca,I,4,Romola
Fra Luca,A,9,Romola
Fra Luca,DC,5,Romola
Fra Luca,DN,1,Romola
Fra Salvestro,N,16,Romola
Fra Salvestro,C,0,Romola
Fra Salvestro,I,2,Romola
Fra Salvestro,A,6,Romola
Fra Salvestro,DC,4,Romola
Fra Salvestro,DN,1,Romola
Francesco Cei,N,28,Romola
Francesco Cei,C,22,Romola
Francesco Cei,I,8,Romola
Francesco Cei,A,3,Romola
Francesco Cei,DC,18,Romola
Francesco Cei,DN,0,Romola
Francesco Valori,N,24,Romola
Francesco Valori,C,0,Romola
Francesco Valori,I,6,Romola
Francesco Valori,A,6,Romola
Francesco Valori,DC,13,Romola
Francesco Valori,DN,5,Romola
Gaddi,N,5,Romola
Gaddi,C,0,Romola
Gaddi,I,0,Romola
Gaddi,A,2,Romola
Gaddi,DC,2,Romola
