character,tag,count,novel
Agnes,N,24,Rookwood
Agnes,C,22,Rookwood
Agnes,I,14,Rookwood
Agnes,A,19,Rookwood
Agnes,DC,21,Rookwood
Agnes,DN,2,Rookwood
Ainsworth,N,14,Rookwood
Ainsworth,C,15,Rookwood
Ainsworth,I,4,Rookwood
Ainsworth,A,25,Rookwood
Ainsworth,DC,0,Rookwood
Ainsworth,DN,2,Rookwood
Alan,N,112,Rookwood
Alan,C,112,Rookwood
Alan,I,38,Rookwood
Alan,A,101,Rookwood
Alan,DC,23,Rookwood
Alan,DN,4,Rookwood
Balthazar,N,23,Rookwood
Balthazar,C,19,Rookwood
Balthazar,I,7,Rookwood
Balthazar,A,7,Rookwood
Balthazar,DC,8,Rookwood
Balthazar,DN,1,Rookwood
Barbara,N,116,Rookwood
Barbara,C,140,Rookwood
Barbara,I,42,Rookwood
Barbara,A,77,Rookwood
Barbara,DC,30,Rookwood
Barbara,DN,1,Rookwood
Burtenshaw,N,8,Rookwood
Burtenshaw,C,14,Rookwood
Burtenshaw,I,5,Rookwood
Burtenshaw,A,7,Rookwood
Burtenshaw,DC,0,Rookwood
Burtenshaw,DN,0,Rookwood
Checkley,N,17,Rookwood
Checkley,C,4,Rookwood
Checkley,I,4,Rookwood
Checkley,A,8,Rookwood
Checkley,DC,11,Rookwood
Checkley,DN,3,Rookwood
Claude Du - Val,N,4,Rookwood
Claude Du - Val,C,0,Rookwood
Claude Du - Val,I,2,Rookwood
Claude Du - Val,A,3,Rookwood
Claude Du - Val,DC,13,Rookwood
Claude Du - Val,DN,0,Rookwood
Coates,N,203,Rookwood
Coates,C,189,Rookwood
Coates,I,77,Rookwood
Coates,A,104,Rookwood
Coates,DC,97,Rookwood
Coates,DN,5,Rookwood
Cyprian,N,6,Rookwood
Cyprian,C,0,Rookwood
Cyprian,I,3,Rookwood
Cyprian,A,6,Rookwood
Cyprian,DC,0,Rookwood
Cyprian,DN,1,Rookwood
Cyprian de Mulverton,N,1,Rookwood
Cyprian de Mulverton,C,1,Rookwood
Cyprian de Mulverton,I,1,Rookwood
Cyprian de Mulverton,A,2,Rookwood
Cyprian de Mulverton,DC,0,Rookwood
Cyprian de Mulverton,DN,0,Rookwood
Delany,N,3,Rookwood
Delany,C,0,Rookwood
Delany,I,0,Rookwood
Delany,A,6,Rookwood
Delany,DC,0,Rookwood
Delany,DN,1,Rookwood
Devil,N,9,Rookwood
Devil,C,0,Rookwood
Devil,I,3,Rookwood
Devil,A,4,Rookwood
Devil,DC,6,Rookwood
Devil,DN,0,Rookwood
Dick,N,4,Rookwood
Dick,C,1,Rookwood
Dick,I,0,Rookwood
Dick,A,1,Rookwood
Dick,DC,1,Rookwood
Dick,DN,0,Rookwood
Dick Turpin,N,5,Rookwood
Dick Turpin,C,4,Rookwood
Dick Turpin,I,4,Rookwood
Dick Turpin,A,4,Rookwood
Dick Turpin,DC,2,Rookwood
Dick Turpin,DN,0,Rookwood
Eleanor,N,110,Rookwood
Eleanor,C,50,Rookwood
Eleanor,I,53,Rookwood
Eleanor,A,69,Rookwood
Eleanor,DC,76,Rookwood
Eleanor,DN,14,Rookwood
Farmer Toft,N,2,Rookwood
Farmer Toft,C,0,Rookwood
Farmer Toft,I,0,Rookwood
Farmer Toft,A,3,Rookwood
Farmer Toft,DC,3,Rookwood
Farmer Toft,DN,1,Rookwood
Fate,N,5,Rookwood
Fate,C,0,Rookwood
Fate,I,0,Rookwood
Fate,A,1,Rookwood
Fate,DC,2,Rookwood
Fate,DN,0,Rookwood
Father Ambrose,N,8,Rookwood
Father Ambrose,C,0,Rookwood
Father Ambrose,I,0,Rookwood
Father Ambrose,A,1,Rookwood
Father Ambrose,DC,2,Rookwood
Father Ambrose,DN,3,Rookwood
Fulford,N,1,Rookwood
Fulford,C,0,Rookwood
Fulford,I,0,Rookwood
Fulford,A,0,Rookwood
Fulford,DC,0,Rookwood
Fulford,DN,1,Rookwood
God,N,21,Rookwood
God,C,0,Rookwood
God,I,1,Rookwood
God,A,4,Rookwood
God,DC,16,Rookwood
God,DN,1,Rookwood
Grasshopper,N,4,Rookwood
Grasshopper,C,2,Rookwood
Grasshopper,I,0,Rookwood
Grasshopper,A,2,Rookwood
Grasshopper,DC,6,Rookwood
Grasshopper,DN,0,Rookwood
Handassah,N,36,Rookwood
Handassah,C,11,Rookwood
Handassah,I,11,Rookwood
Handassah,A,15,Rookwood
Handassah,DC,20,Rookwood
Handassah,DN,3,Rookwood
Heaven,N,12,Rookwood
Heaven,C,0,Rookwood
Heaven,I,2,Rookwood
Heaven,A,2,Rookwood
Heaven,DC,7,Rookwood
Heaven,DN,1,Rookwood
Holloway,N,1,Rookwood
Holloway,C,0,Rookwood
Holloway,I,1,Rookwood
Holloway,A,1,Rookwood
Holloway,DC,0,Rookwood
Holloway,DN,0,Rookwood
Hugh,N,27,Rookwood
Hugh,C,9,Rookwood
Hugh,I,7,Rookwood
Hugh,A,21,Rookwood
Hugh,DC,2,Rookwood
Hugh,DN,5,Rookwood
Jack,N,148,Rookwood
Jack,C,158,Rookwood
Jack,I,54,Rookwood
Jack,A,61,Rookwood
Jack,DC,34,Rookwood
Jack,DN,12,Rookwood
Jack Hall,N,2,Rookwood
Jack Hall,C,3,Rookwood
Jack Hall,I,0,Rookwood
Jack Hall,A,9,Rookwood
Jack Hall,DC,0,Rookwood
Jack Hall,DN,0,Rookwood
Jack Sheppard,N,8,Rookwood
Jack Sheppard,C,4,Rookwood
Jack Sheppard,I,0,Rookwood
Jack Sheppard,A,2,Rookwood
Jack Sheppard,DC,0,Rookwood
Jack Sheppard,DN,0,Rookwood
Jem,N,41,Rookwood
Jem,C,29,Rookwood
Jem,I,14,Rookwood
Jem,A,36,Rookwood
Jem,DC,16,Rookwood
Jem,DN,4,Rookwood
Jerry,N,63,Rookwood
Jerry,C,40,Rookwood
Jerry,I,13,Rookwood
Jerry,A,26,Rookwood
Jerry,DC,6,Rookwood
Jerry,DN,14,Rookwood
John Hall,N,1,Rookwood
John Hall,C,0,Rookwood
John Hall,I,0,Rookwood
John Hall,A,1,Rookwood
John Hall,DC,0,Rookwood
John Hall,DN,0,Rookwood
King,N,72,Rookwood
King,C,40,Rookwood
King,I,28,Rookwood
King,A,43,Rookwood
King,DC,20,Rookwood
King,DN,13,Rookwood
Lady Rookwood,N,268,Rookwood
Lady Rookwood,C,179,Rookwood
Lady Rookwood,I,84,Rookwood
Lady Rookwood,A,145,Rookwood
Lady Rookwood,DC,159,Rookwood
Lady Rookwood,DN,14,Rookwood
Larry,N,5,Rookwood
Larry,C,1,Rookwood
Larry,I,0,Rookwood
Larry,A,3,Rookwood
Larry,DC,0,Rookwood
Larry,DN,1,Rookwood
Lord Viscount William Courtenay,N,2,Rookwood
Lord Viscount William Courtenay,C,0,Rookwood
Lord Viscount William Courtenay,I,0,Rookwood
Lord Viscount William Courtenay,A,8,Rookwood
Lord Viscount William Courtenay,DC,0,Rookwood
Lord Viscount William Courtenay,DN,2,Rookwood
Luke,N,603,Rookwood
Luke,C,447,Rookwood
Luke,I,248,Rookwood
Luke,A,529,Rookwood
Luke,DC,372,Rookwood
Luke,DN,46,Rookwood
Major Mowbray,N,44,Rookwood
Major Mowbray,C,15,Rookwood
Major Mowbray,I,5,Rookwood
Major Mowbray,A,13,Rookwood
Major Mowbray,DC,26,Rookwood
Major Mowbray,DN,2,Rookwood
Master Peter,N,6,Rookwood
Master Peter,C,2,Rookwood
Master Peter,I,0,Rookwood
Master Peter,A,1,Rookwood
Master Peter,DC,6,Rookwood
Master Peter,DN,0,Rookwood
Miss Mowbray,N,20,Rookwood
Miss Mowbray,C,0,Rookwood
Miss Mowbray,I,5,Rookwood
Miss Mowbray,A,3,Rookwood
Miss Mowbray,DC,24,Rookwood
Miss Mowbray,DN,0,Rookwood
Mole,N,5,Rookwood
Mole,C,0,Rookwood
Mole,I,2,Rookwood
Mole,A,1,Rookwood
Mole,DC,1,Rookwood
Mole,DN,0,Rookwood
Mother,N,4,Rookwood
Mother,C,0,Rookwood
Mother,I,0,Rookwood
Mother,A,1,Rookwood
Mother,DC,16,Rookwood
Mother,DN,0,Rookwood
Mr. Ainsworth,N,2,Rookwood
Mr. Ainsworth,C,1,Rookwood
Mr. Ainsworth,I,0,Rookwood
Mr. Ainsworth,A,4,Rookwood
Mr. Ainsworth,DC,0,Rookwood
Mr. Ainsworth,DN,1,Rookwood
Mr. Constable,N,2,Rookwood
Mr. Constable,C,0,Rookwood
Mr. Constable,I,2,Rookwood
Mr. Constable,A,1,Rookwood
Mr. Constable,DC,0,Rookwood
Mr. Constable,DN,1,Rookwood
Mr. Palmer,N,6,Rookwood
Mr. Palmer,C,3,Rookwood
Mr. Palmer,I,3,Rookwood
Mr. Palmer,A,1,Rookwood
Mr. Palmer,DC,3,Rookwood
Mr. Palmer,DN,0,Rookwood
Mrs. Mowbray,N,101,Rookwood
Mrs. Mowbray,C,80,Rookwood
Mrs. Mowbray,I,37,Rookwood
Mrs. Mowbray,A,25,Rookwood
Mrs. Mowbray,DC,31,Rookwood
Mrs. Mowbray,DN,2,Rookwood
"Mrs. Mowbray--""are",N,1,Rookwood
"Mrs. Mowbray--""are",C,2,Rookwood
"Mrs. Mowbray--""are",I,0,Rookwood
"Mrs. Mowbray--""are",A,0,Rookwood
"Mrs. Mowbray--""are",DC,2,Rookwood
"Mrs. Mowbray--""are",DN,0,Rookwood
Nix,N,7,Rookwood
Nix,C,0,Rookwood
Nix,I,0,Rookwood
Nix,A,4,Rookwood
Nix,DC,0,Rookwood
Nix,DN,0,Rookwood
Oliver,N,6,Rookwood
Oliver,C,0,Rookwood
Oliver,I,1,Rookwood
Oliver,A,1,Rookwood
Oliver,DC,0,Rookwood
Oliver,DN,1,Rookwood
Oliver[78,N,1,Rookwood
Oliver[78,C,1,Rookwood
Oliver[78,I,2,Rookwood
Oliver[78,A,6,Rookwood
Oliver[78,DC,0,Rookwood
Oliver[78,DN,0,Rookwood
Paterson,N,53,Rookwood
Paterson,C,40,Rookwood
Paterson,I,12,Rookwood
Paterson,A,30,Rookwood
Paterson,DC,14,Rookwood
Paterson,DN,4,Rookwood
Peter,N,175,Rookwood
Peter,C,190,Rookwood
Peter,I,82,Rookwood
Peter,A,140,Rookwood
Peter,DC,50,Rookwood
Peter,DN,14,Rookwood
Plant,N,14,Rookwood
Plant,C,20,Rookwood
Plant,I,5,Rookwood
Plant,A,7,Rookwood
Plant,DC,7,Rookwood
Plant,DN,1,Rookwood
Pshaw,N,8,Rookwood
Pshaw,C,0,Rookwood
Pshaw,I,0,Rookwood
Pshaw,A,2,Rookwood
Pshaw,DC,9,Rookwood
Pshaw,DN,0,Rookwood
REDMOND O'HANLON,N,8,Rookwood
REDMOND O'HANLON,C,0,Rookwood
REDMOND O'HANLON,I,0,Rookwood
REDMOND O'HANLON,A,4,Rookwood
REDMOND O'HANLON,DC,2,Rookwood
REDMOND O'HANLON,DN,4,Rookwood
Ralph,N,14,Rookwood
Ralph,C,11,Rookwood
Ralph,I,3,Rookwood
Ralph,A,9,Rookwood
Ralph,DC,4,Rookwood
Ralph,DN,1,Rookwood
Ranulph,N,285,Rookwood
Ranulph,C,204,Rookwood
Ranulph,I,132,Rookwood
Ranulph,A,206,Rookwood
Ranulph,DC,158,Rookwood
Ranulph,DN,18,Rookwood
Richard Checkley,N,5,Rookwood
Richard Checkley,C,0,Rookwood
Richard Checkley,I,0,Rookwood
Richard Checkley,A,1,Rookwood
Richard Checkley,DC,5,Rookwood
Richard Checkley,DN,0,Rookwood
Rook,N,7,Rookwood
Rook,C,0,Rookwood
Rook,I,1,Rookwood
Rook,A,1,Rookwood
Rook,DC,4,Rookwood
Rook,DN,0,Rookwood
Rust,N,25,Rookwood
Rust,C,12,Rookwood
Rust,I,2,Rookwood
Rust,A,9,Rookwood
Rust,DC,8,Rookwood
Rust,DN,1,Rookwood
SCHILLER,N,5,Rookwood
SCHILLER,C,2,Rookwood
SCHILLER,I,0,Rookwood
SCHILLER,A,0,Rookwood
SCHILLER,DC,0,Rookwood
SCHILLER,DN,0,Rookwood
Simon Toft,N,10,Rookwood
Simon Toft,C,5,Rookwood
Simon Toft,I,0,Rookwood
Simon Toft,A,3,Rookwood
Simon Toft,DC,7,Rookwood
Simon Toft,DN,0,Rookwood
Sir Piers,N,107,Rookwood
Sir Piers,C,3,Rookwood
Sir Piers,I,15,Rookwood
Sir Piers,A,51,Rookwood
Sir Piers,DC,104,Rookwood
Sir Piers,DN,11,Rookwood
Sir Reginald,N,64,Rookwood
Sir Reginald,C,19,Rookwood
Sir Reginald,I,15,Rookwood
Sir Reginald,A,42,Rookwood
Sir Reginald,DC,27,Rookwood
Sir Reginald,DN,2,Rookwood
Sir Walter Scott,N,4,Rookwood
Sir Walter Scott,C,0,Rookwood
Sir Walter Scott,I,2,Rookwood
Sir Walter Scott,A,0,Rookwood
Sir Walter Scott,DC,0,Rookwood
Sir Walter Scott,DN,0,Rookwood
Small,N,57,Rookwood
Small,C,36,Rookwood
Small,I,22,Rookwood
Small,A,29,Rookwood
Small,DC,8,Rookwood
Small,DN,3,Rookwood
Susan Bradley,N,20,Rookwood
Susan Bradley,C,0,Rookwood
Susan Bradley,I,1,Rookwood
Susan Bradley,A,4,Rookwood
Susan Bradley,DC,17,Rookwood
Susan Bradley,DN,2,Rookwood
Susan Rookwood,N,2,Rookwood
Susan Rookwood,C,0,Rookwood
Susan Rookwood,I,0,Rookwood
Susan Rookwood,A,0,Rookwood
Susan Rookwood,DC,5,Rookwood
Susan Rookwood,DN,1,Rookwood
Sybil,N,144,Rookwood
Sybil,C,160,Rookwood
Sybil,I,69,Rookwood
Sybil,A,127,Rookwood
Sybil,DC,86,Rookwood
Sybil,DN,10,Rookwood
THE CARRION CROW The Carrion Crow,N,2,Rookwood
THE CARRION CROW The Carrion Crow,C,0,Rookwood
THE CARRION CROW The Carrion Crow,I,1,Rookwood
THE CARRION CROW The Carrion Crow,A,4,Rookwood
THE CARRION CROW The Carrion Crow,DC,0,Rookwood
THE CARRION CROW The Carrion Crow,DN,0,Rookwood
Thomas Simpson,N,2,Rookwood
Thomas Simpson,C,0,Rookwood
Thomas Simpson,I,0,Rookwood
Thomas Simpson,A,2,Rookwood
Thomas Simpson,DC,0,Rookwood
Thomas Simpson,DN,1,Rookwood
Tim,N,14,Rookwood
Tim,C,6,Rookwood
Tim,I,3,Rookwood
Tim,A,8,Rookwood
Tim,DC,10,Rookwood
Tim,DN,0,Rookwood
Titus,N,110,Rookwood
Titus,C,127,Rookwood
Titus,I,76,Rookwood
Titus,A,67,Rookwood
Titus,DC,24,Rookwood
Titus,DN,5,Rookwood
Toft,N,13,Rookwood
Toft,C,11,Rookwood
Toft,I,5,Rookwood
Toft,A,13,Rookwood
Toft,DC,6,Rookwood
Toft,DN,2,Rookwood
Tom Kings,N,2,Rookwood
Tom Kings,C,0,Rookwood
Tom Kings,I,0,Rookwood
Tom Kings,A,2,Rookwood
Tom Kings,DC,0,Rookwood
Tom Kings,DN,1,Rookwood
Turpin,N,603,Rookwood
Turpin,C,397,Rookwood
Turpin,I,247,Rookwood
Turpin,A,436,Rookwood
Turpin,DC,126,Rookwood
Turpin,DN,74,Rookwood
Vavasour,N,5,Rookwood
Vavasour,C,0,Rookwood
Vavasour,I,0,Rookwood
Vavasour,A,5,Rookwood
Vavasour,DC,13,Rookwood
Vavasour,DN,1,Rookwood
Villain,N,2,Rookwood
Villain,C,0,Rookwood
Villain,I,2,Rookwood
Villain,A,2,Rookwood
Villain,DC,8,Rookwood
Villain,DN,0,Rookwood
WEBSTER,N,5,Rookwood
WEBSTER,C,0,Rookwood
WEBSTER,I,0,Rookwood
WEBSTER,A,1,Rookwood
WEBSTER,DC,0,Rookwood
WEBSTER,DN,1,Rookwood
Wilder,N,21,Rookwood
Wilder,C,15,Rookwood
Wilder,I,6,Rookwood
Wilder,A,10,Rookwood
Wilder,DC,6,Rookwood
Wilder,DN,2,Rookwood
Will Davies,N,9,Rookwood
Will Davies,C,1,Rookwood
Will Davies,I,0,Rookwood
Will Davies,A,5,Rookwood
Will Davies,DC,0,Rookwood
Will Davies,DN,1,Rookwood
William,N,9,Rookwood
William,C,0,Rookwood
William,I,1,Rookwood
William,A,0,Rookwood
William,DC,1,Rookwood
William,DN,1,Rookwood
Zoroaster,N,27,Rookwood
Zoroaster,C,2,Rookwood
Zoroaster,I,3,Rookwood
Zoroaster,A,4,Rookwood
Zoroaster,DC,2,Rookwood
Zoroaster,DN,4,Rookwood
_ Ri,N,5,Rookwood
_ Ri,C,0,Rookwood
_ Ri,I,0,Rookwood
_ Ri,A,1,Rookwood
_ Ri,DC,0,Rookwood
_ Ri,DN,0,Rookwood
the Rapparees,N,5,Rookwood
the Rapparees,C,0,Rookwood
the Rapparees,I,0,Rookwood
the Rapparees,A,1,Rookwood
the Rapparees,DC,0,Rookwood
the Rapparees,DN,0,Rookwood
the Rookwoods,N,10,Rookwood
the Rookwoods,C,1,Rookwood
the Rookwoods,I,1,Rookwood
the Rookwoods,A,2,Rookwood
the Rookwoods,DC,3,Rookwood
the Rookwoods,DN,2,Rookwood
