character,tag,count,novel
Aunt Faith,N,6,Ruth
Aunt Faith,C,0,Ruth
Aunt Faith,I,0,Ruth
Aunt Faith,A,2,Ruth
Aunt Faith,DC,7,Ruth
Aunt Faith,DN,0,Ruth
Christ,N,5,Ruth
Christ,C,0,Ruth
Christ,I,0,Ruth
Christ,A,2,Ruth
Christ,DC,3,Ruth
Christ,DN,0,Ruth
"DEAR FAITH,--You",N,1,Ruth
"DEAR FAITH,--You",C,0,Ruth
"DEAR FAITH,--You",I,1,Ruth
"DEAR FAITH,--You",A,2,Ruth
"DEAR FAITH,--You",DC,0,Ruth
"DEAR FAITH,--You",DN,0,Ruth
Dick,N,28,Ruth
Dick,C,2,Ruth
Dick,I,8,Ruth
Dick,A,14,Ruth
Dick,DC,31,Ruth
Dick,DN,1,Ruth
Eagle,N,5,Ruth
Eagle,C,0,Ruth
Eagle,I,0,Ruth
Eagle,A,0,Ruth
Eagle,DC,0,Ruth
Eagle,DN,0,Ruth
Eccleston,N,7,Ruth
Eccleston,C,0,Ruth
Eccleston,I,0,Ruth
Eccleston,A,1,Ruth
Eccleston,DC,1,Ruth
Eccleston,DN,0,Ruth
Elizabeth,N,71,Ruth
Elizabeth,C,37,Ruth
Elizabeth,I,24,Ruth
Elizabeth,A,25,Ruth
Elizabeth,DC,18,Ruth
Elizabeth,DN,3,Ruth
Faith,N,17,Ruth
Faith,C,0,Ruth
Faith,I,5,Ruth
Faith,A,2,Ruth
Faith,DC,7,Ruth
Faith,DN,0,Ruth
Father,N,4,Ruth
Father,C,0,Ruth
Father,I,1,Ruth
Father,A,0,Ruth
Father,DC,1,Ruth
Father,DN,0,Ruth
Harry,N,3,Ruth
Harry,C,2,Ruth
Harry,I,1,Ruth
Harry,A,3,Ruth
Harry,DC,0,Ruth
Harry,DN,0,Ruth
Helmsby,N,6,Ruth
Helmsby,C,0,Ruth
Helmsby,I,0,Ruth
Helmsby,A,1,Ruth
Helmsby,DC,5,Ruth
Helmsby,DN,0,Ruth
Henry,N,6,Ruth
Henry,C,0,Ruth
Henry,I,5,Ruth
Henry,A,0,Ruth
Henry,DC,4,Ruth
Henry,DN,2,Ruth
Jemima,N,352,Ruth
Jemima,C,186,Ruth
Jemima,I,302,Ruth
Jemima,A,303,Ruth
Jemima,DC,76,Ruth
Jemima,DN,63,Ruth
Jenny,N,36,Ruth
Jenny,C,17,Ruth
Jenny,I,16,Ruth
Jenny,A,18,Ruth
Jenny,DC,15,Ruth
Jenny,DN,4,Ruth
Jerry Dixon,N,7,Ruth
Jerry Dixon,C,0,Ruth
Jerry Dixon,I,3,Ruth
Jerry Dixon,A,16,Ruth
Jerry Dixon,DC,22,Ruth
Jerry Dixon,DN,0,Ruth
John Rawson,N,3,Ruth
John Rawson,C,0,Ruth
John Rawson,I,0,Ruth
John Rawson,A,0,Ruth
John Rawson,DC,4,Ruth
John Rawson,DN,0,Ruth
Leonard,N,418,Ruth
Leonard,C,38,Ruth
Leonard,I,87,Ruth
Leonard,A,184,Ruth
Leonard,DC,203,Ruth
Leonard,DN,46,Ruth
Mamma,N,8,Ruth
Mamma,C,0,Ruth
Mamma,I,2,Ruth
Mamma,A,5,Ruth
Mamma,DC,10,Ruth
Mamma,DN,1,Ruth
