character,tag,count,novel
Barton,N,11,Sense_and_Sensibility
Barton,C,0,Sense_and_Sensibility
Barton,I,0,Sense_and_Sensibility
Barton,A,1,Sense_and_Sensibility
Barton,DC,2,Sense_and_Sensibility
Barton,DN,0,Sense_and_Sensibility
Charlotte,N,22,Sense_and_Sensibility
Charlotte,C,7,Sense_and_Sensibility
Charlotte,I,4,Sense_and_Sensibility
Charlotte,A,10,Sense_and_Sensibility
Charlotte,DC,13,Sense_and_Sensibility
Charlotte,DN,1,Sense_and_Sensibility
Colonel Brandon,N,146,Sense_and_Sensibility
Colonel Brandon,C,33,Sense_and_Sensibility
Colonel Brandon,I,61,Sense_and_Sensibility
Colonel Brandon,A,112,Sense_and_Sensibility
Colonel Brandon,DC,111,Sense_and_Sensibility
Colonel Brandon,DN,22,Sense_and_Sensibility
Colonel Brandon;—he,N,1,Sense_and_Sensibility
Colonel Brandon;—he,C,0,Sense_and_Sensibility
Colonel Brandon;—he,I,0,Sense_and_Sensibility
Colonel Brandon;—he,A,2,Sense_and_Sensibility
Colonel Brandon;—he,DC,5,Sense_and_Sensibility
Colonel Brandon;—he,DN,0,Sense_and_Sensibility
Dr. Davies,N,2,Sense_and_Sensibility
Dr. Davies,C,0,Sense_and_Sensibility
Dr. Davies,I,0,Sense_and_Sensibility
Dr. Davies,A,2,Sense_and_Sensibility
Dr. Davies,DC,2,Sense_and_Sensibility
Dr. Davies,DN,0,Sense_and_Sensibility
Edward,N,351,Sense_and_Sensibility
Edward,C,31,Sense_and_Sensibility
Edward,I,89,Sense_and_Sensibility
Edward,A,180,Sense_and_Sensibility
Edward,DC,229,Sense_and_Sensibility
Edward,DN,38,Sense_and_Sensibility
Elinor,N,679,Sense_and_Sensibility
Elinor,C,424,Sense_and_Sensibility
Elinor,I,645,Sense_and_Sensibility
Elinor,A,512,Sense_and_Sensibility
Elinor,DC,143,Sense_and_Sensibility
Elinor,DN,94,Sense_and_Sensibility
Eliza,N,10,Sense_and_Sensibility
Eliza,C,0,Sense_and_Sensibility
Eliza,I,7,Sense_and_Sensibility
Eliza,A,12,Sense_and_Sensibility
Eliza,DC,17,Sense_and_Sensibility
Eliza,DN,4,Sense_and_Sensibility
Fanny,N,48,Sense_and_Sensibility
Fanny,C,9,Sense_and_Sensibility
Fanny,I,15,Sense_and_Sensibility
Fanny,A,12,Sense_and_Sensibility
Fanny,DC,15,Sense_and_Sensibility
Fanny,DN,8,Sense_and_Sensibility
God,N,7,Sense_and_Sensibility
God,C,1,Sense_and_Sensibility
God,I,1,Sense_and_Sensibility
God,A,0,Sense_and_Sensibility
God,DC,6,Sense_and_Sensibility
God,DN,1,Sense_and_Sensibility
Lady Elliott,N,4,Sense_and_Sensibility
Lady Elliott,C,0,Sense_and_Sensibility
Lady Elliott,I,1,Sense_and_Sensibility
Lady Elliott,A,1,Sense_and_Sensibility
Lady Elliott,DC,5,Sense_and_Sensibility
Lady Elliott,DN,0,Sense_and_Sensibility
Lady Middleton,N,96,Sense_and_Sensibility
Lady Middleton,C,22,Sense_and_Sensibility
Lady Middleton,I,26,Sense_and_Sensibility
Lady Middleton,A,33,Sense_and_Sensibility
Lady Middleton,DC,22,Sense_and_Sensibility
Lady Middleton,DN,12,Sense_and_Sensibility
Lord,N,1,Sense_and_Sensibility
Lord,C,0,Sense_and_Sensibility
Lord,I,1,Sense_and_Sensibility
Lord,A,4,Sense_and_Sensibility
Lord,DC,9,Sense_and_Sensibility
Lord,DN,0,Sense_and_Sensibility
Lucy,N,211,Sense_and_Sensibility
Lucy,C,100,Sense_and_Sensibility
Lucy,I,147,Sense_and_Sensibility
Lucy,A,120,Sense_and_Sensibility
Lucy,DC,92,Sense_and_Sensibility
Lucy,DN,28,Sense_and_Sensibility
Mama,N,12,Sense_and_Sensibility
Mama,C,0,Sense_and_Sensibility
Mama,I,4,Sense_and_Sensibility
Mama,A,2,Sense_and_Sensibility
Mama,DC,12,Sense_and_Sensibility
Mama,DN,0,Sense_and_Sensibility
Margaret,N,35,Sense_and_Sensibility
Margaret,C,11,Sense_and_Sensibility
Margaret,I,11,Sense_and_Sensibility
Margaret,A,15,Sense_and_Sensibility
Margaret,DC,8,Sense_and_Sensibility
Margaret,DN,4,Sense_and_Sensibility
Marianne,N,563,Sense_and_Sensibility
Marianne,C,218,Sense_and_Sensibility
Marianne,I,279,Sense_and_Sensibility
Marianne,A,368,Sense_and_Sensibility
Marianne,DC,201,Sense_and_Sensibility
Marianne,DN,83,Sense_and_Sensibility
Marianne?—she,N,1,Sense_and_Sensibility
Marianne?—she,C,0,Sense_and_Sensibility
Marianne?—she,I,0,Sense_and_Sensibility
Marianne?—she,A,2,Sense_and_Sensibility
Marianne?—she,DC,0,Sense_and_Sensibility
Marianne?—she,DN,4,Sense_and_Sensibility
Ma’am,N,4,Sense_and_Sensibility
Ma’am,C,0,Sense_and_Sensibility
Ma’am,I,2,Sense_and_Sensibility
Ma’am,A,2,Sense_and_Sensibility
Ma’am,DC,7,Sense_and_Sensibility
Ma’am,DN,0,Sense_and_Sensibility
Miss Dashwood,N,69,Sense_and_Sensibility
Miss Dashwood,C,6,Sense_and_Sensibility
Miss Dashwood,I,23,Sense_and_Sensibility
Miss Dashwood,A,19,Sense_and_Sensibility
Miss Dashwood,DC,49,Sense_and_Sensibility
Miss Dashwood,DN,11,Sense_and_Sensibility
Miss Grey,N,10,Sense_and_Sensibility
Miss Grey,C,0,Sense_and_Sensibility
Miss Grey,I,0,Sense_and_Sensibility
Miss Grey,A,2,Sense_and_Sensibility
Miss Grey,DC,8,Sense_and_Sensibility
Miss Grey,DN,0,Sense_and_Sensibility
Miss Morton,N,15,Sense_and_Sensibility
Miss Morton,C,0,Sense_and_Sensibility
Miss Morton,I,1,Sense_and_Sensibility
Miss Morton,A,2,Sense_and_Sensibility
Miss Morton,DC,8,Sense_and_Sensibility
Miss Morton,DN,1,Sense_and_Sensibility
Miss Williams,N,6,Sense_and_Sensibility
Miss Williams,C,0,Sense_and_Sensibility
Miss Williams,I,0,Sense_and_Sensibility
Miss Williams,A,1,Sense_and_Sensibility
Miss Williams,DC,11,Sense_and_Sensibility
Miss Williams,DN,0,Sense_and_Sensibility
Mr. Dashwood,N,24,Sense_and_Sensibility
Mr. Dashwood,C,9,Sense_and_Sensibility
Mr. Dashwood,I,12,Sense_and_Sensibility
Mr. Dashwood,A,17,Sense_and_Sensibility
Mr. Dashwood,DC,6,Sense_and_Sensibility
Mr. Dashwood,DN,2,Sense_and_Sensibility
Mr. Donavan,N,5,Sense_and_Sensibility
Mr. Donavan,C,0,Sense_and_Sensibility
Mr. Donavan,I,2,Sense_and_Sensibility
Mr. Donavan,A,5,Sense_and_Sensibility
Mr. Donavan,DC,5,Sense_and_Sensibility
Mr. Donavan,DN,0,Sense_and_Sensibility
Mr. Harris,N,10,Sense_and_Sensibility
Mr. Harris,C,0,Sense_and_Sensibility
Mr. Harris,I,3,Sense_and_Sensibility
Mr. Harris,A,5,Sense_and_Sensibility
Mr. Harris,DC,0,Sense_and_Sensibility
Mr. Harris,DN,2,Sense_and_Sensibility
