character,tag,count,novel
Abraham,N,2,Shirley
Abraham,C,1,Shirley
Abraham,I,1,Shirley
Abraham,A,1,Shirley
Abraham,DC,1,Shirley
Abraham,DN,0,Shirley
Adam,N,8,Shirley
Adam,C,0,Shirley
Adam,I,2,Shirley
Adam,A,1,Shirley
Adam,DC,8,Shirley
Adam,DN,0,Shirley
Bob,N,10,Shirley
Bob,C,0,Shirley
Bob,I,6,Shirley
Bob,A,20,Shirley
Bob,DC,52,Shirley
Bob,DN,0,Shirley
Bonaparte,N,7,Shirley
Bonaparte,C,0,Shirley
Bonaparte,I,2,Shirley
Bonaparte,A,3,Shirley
Bonaparte,DC,1,Shirley
Bonaparte,DN,1,Shirley
Boultby,N,8,Shirley
Boultby,C,0,Shirley
Boultby,I,0,Shirley
Boultby,A,4,Shirley
Boultby,DC,6,Shirley
Boultby,DN,1,Shirley
Briarmains,N,11,Shirley
Briarmains,C,0,Shirley
Briarmains,I,0,Shirley
Briarmains,A,1,Shirley
Briarmains,DC,3,Shirley
Briarmains,DN,1,Shirley
CHARLES DICKENS,N,5,Shirley
CHARLES DICKENS,C,1,Shirley
CHARLES DICKENS,I,1,Shirley
CHARLES DICKENS,A,0,Shirley
CHARLES DICKENS,DC,0,Shirley
CHARLES DICKENS,DN,0,Shirley
Captain Keeldar,N,5,Shirley
Captain Keeldar,C,0,Shirley
Captain Keeldar,I,1,Shirley
Captain Keeldar,A,6,Shirley
Captain Keeldar,DC,4,Shirley
Captain Keeldar,DN,1,Shirley
Caroline,N,699,Shirley
Caroline,C,535,Shirley
Caroline,I,553,Shirley
Caroline,A,783,Shirley
Caroline,DC,293,Shirley
Caroline,DN,110,Shirley
"Caroline--""She",N,1,Shirley
"Caroline--""She",C,1,Shirley
"Caroline--""She",I,0,Shirley
"Caroline--""She",A,2,Shirley
"Caroline--""She",DC,0,Shirley
"Caroline--""She",DN,0,Shirley
Cary,N,39,Shirley
Cary,C,0,Shirley
Cary,I,20,Shirley
Cary,A,29,Shirley
Cary,DC,52,Shirley
Cary,DN,8,Shirley
Castlereagh,N,4,Shirley
Castlereagh,C,0,Shirley
Castlereagh,I,0,Shirley
Castlereagh,A,0,Shirley
Castlereagh,DC,1,Shirley
Castlereagh,DN,0,Shirley
Chénier,N,3,Shirley
Chénier,C,9,Shirley
Chénier,I,0,Shirley
Chénier,A,2,Shirley
Chénier,DC,0,Shirley
Chénier,DN,0,Shirley
Coriolanus,N,6,Shirley
Coriolanus,C,0,Shirley
Coriolanus,I,1,Shirley
Coriolanus,A,4,Shirley
Coriolanus,DC,6,Shirley
Coriolanus,DN,0,Shirley
Cowper,N,9,Shirley
Cowper,C,0,Shirley
Cowper,I,3,Shirley
Cowper,A,3,Shirley
Cowper,DC,15,Shirley
Cowper,DN,0,Shirley
Cyril Hall,N,8,Shirley
Cyril Hall,C,4,Shirley
Cyril Hall,I,5,Shirley
Cyril Hall,A,6,Shirley
Cyril Hall,DC,2,Shirley
Cyril Hall,DN,3,Shirley
Daniel,N,4,Shirley
Daniel,C,0,Shirley
Daniel,I,0,Shirley
Daniel,A,1,Shirley
Daniel,DC,1,Shirley
Daniel,DN,0,Shirley
Davy,N,7,Shirley
Davy,C,1,Shirley
Davy,I,3,Shirley
Davy,A,0,Shirley
Davy,DC,6,Shirley
Davy,DN,1,Shirley
Donne,N,72,Shirley
Donne,C,32,Shirley
Donne,I,28,Shirley
Donne,A,61,Shirley
Donne,DC,23,Shirley
Donne,DN,19,Shirley
Dora,N,13,Shirley
Dora,C,0,Shirley
Dora,I,0,Shirley
Dora,A,2,Shirley
Dora,DC,8,Shirley
Dora,DN,3,Shirley
Dr. Boultby,N,19,Shirley
Dr. Boultby,C,1,Shirley
Dr. Boultby,I,10,Shirley
Dr. Boultby,A,7,Shirley
Dr. Boultby,DC,9,Shirley
Dr. Boultby,DN,2,Shirley
Eliza,N,14,Shirley
Eliza,C,2,Shirley
Eliza,I,2,Shirley
Eliza,A,2,Shirley
Eliza,DC,3,Shirley
Eliza,DN,0,Shirley
Eva,N,7,Shirley
Eva,C,0,Shirley
Eva,I,0,Shirley
Eva,A,1,Shirley
Eva,DC,0,Shirley
Eva,DN,2,Shirley
Eve,N,5,Shirley
Eve,C,0,Shirley
Eve,I,1,Shirley
Eve,A,0,Shirley
Eve,DC,5,Shirley
Eve,DN,0,Shirley
Fanny,N,57,Shirley
Fanny,C,13,Shirley
Fanny,I,4,Shirley
Fanny,A,37,Shirley
Fanny,DC,20,Shirley
Fanny,DN,3,Shirley
Farrens,N,1,Shirley
Farrens,C,0,Shirley
Farrens,I,0,Shirley
Farrens,A,3,Shirley
Farrens,DC,5,Shirley
Farrens,DN,0,Shirley
Fieldhead,N,6,Shirley
Fieldhead,C,0,Shirley
Fieldhead,I,1,Shirley
Fieldhead,A,1,Shirley
Fieldhead,DC,3,Shirley
Fieldhead,DN,0,Shirley
Fortune,N,6,Shirley
Fortune,C,0,Shirley
Fortune,I,1,Shirley
Fortune,A,1,Shirley
Fortune,DC,3,Shirley
Fortune,DN,1,Shirley
God,N,65,Shirley
God,C,3,Shirley
God,I,6,Shirley
God,A,21,Shirley
God,DC,32,Shirley
God,DN,1,Shirley
Grace,N,7,Shirley
Grace,C,3,Shirley
Grace,I,3,Shirley
Grace,A,4,Shirley
Grace,DC,3,Shirley
Grace,DN,0,Shirley
Hannah,N,10,Shirley
Hannah,C,0,Shirley
Hannah,I,0,Shirley
Hannah,A,3,Shirley
Hannah,DC,1,Shirley
Hannah,DN,2,Shirley
Harriet,N,7,Shirley
Harriet,C,2,Shirley
Harriet,I,2,Shirley
Harriet,A,6,Shirley
Harriet,DC,2,Shirley
Harriet,DN,1,Shirley
Helstone,N,15,Shirley
Helstone,C,8,Shirley
Helstone,I,5,Shirley
Helstone,A,10,Shirley
Helstone,DC,0,Shirley
Helstone,DN,2,Shirley
Henry,N,108,Shirley
Henry,C,33,Shirley
Henry,I,21,Shirley
Henry,A,43,Shirley
Henry,DC,68,Shirley
Henry,DN,5,Shirley
Hiram Yorke,N,8,Shirley
Hiram Yorke,C,0,Shirley
Hiram Yorke,I,0,Shirley
Hiram Yorke,A,0,Shirley
Hiram Yorke,DC,5,Shirley
Hiram Yorke,DN,0,Shirley
Hollow,N,13,Shirley
Hollow,C,0,Shirley
Hollow,I,2,Shirley
Hollow,A,8,Shirley
Hollow,DC,10,Shirley
Hollow,DN,0,Shirley
Hortense,N,115,Shirley
Hortense,C,16,Shirley
Hortense,I,41,Shirley
Hortense,A,64,Shirley
Hortense,DC,49,Shirley
Hortense,DN,10,Shirley
Isabella,N,5,Shirley
Isabella,C,2,Shirley
Isabella,I,0,Shirley
Isabella,A,1,Shirley
Isabella,DC,2,Shirley
Isabella,DN,0,Shirley
James,N,11,Shirley
James,C,0,Shirley
James,I,1,Shirley
James,A,2,Shirley
James,DC,4,Shirley
James,DN,2,Shirley
Jessy,N,43,Shirley
Jessy,C,17,Shirley
Jessy,I,15,Shirley
Jessy,A,30,Shirley
Jessy,DC,7,Shirley
Jessy,DN,6,Shirley
Joe,N,96,Shirley
Joe,C,50,Shirley
Joe,I,35,Shirley
Joe,A,36,Shirley
Joe,DC,42,Shirley
Joe,DN,9,Shirley
John,N,19,Shirley
John,C,3,Shirley
John,I,4,Shirley
John,A,3,Shirley
John,DC,15,Shirley
John,DN,1,Shirley
John Wesley,N,3,Shirley
John Wesley,C,1,Shirley
John Wesley,I,0,Shirley
John Wesley,A,2,Shirley
John Wesley,DC,1,Shirley
John Wesley,DN,0,Shirley
Lamb,N,4,Shirley
Lamb,C,1,Shirley
Lamb,I,0,Shirley
Lamb,A,0,Shirley
Lamb,DC,0,Shirley
Lamb,DN,0,Shirley
Lina,N,38,Shirley
Lina,C,1,Shirley
Lina,I,3,Shirley
Lina,A,6,Shirley
Lina,DC,38,Shirley
Lina,DN,0,Shirley
Lord Wellington,N,11,Shirley
Lord Wellington,C,0,Shirley
Lord Wellington,I,1,Shirley
Lord Wellington,A,7,Shirley
Lord Wellington,DC,1,Shirley
Lord Wellington,DN,3,Shirley
Louis,N,9,Shirley
Louis,C,4,Shirley
Louis,I,1,Shirley
Louis,A,1,Shirley
Louis,DC,1,Shirley
Louis,DN,0,Shirley
Lucretia,N,3,Shirley
Lucretia,C,0,Shirley
Lucretia,I,0,Shirley
Lucretia,A,1,Shirley
Lucretia,DC,0,Shirley
Lucretia,DN,1,Shirley
MATTERS,N,1,Shirley
MATTERS,C,17,Shirley
MATTERS,I,14,Shirley
MATTERS,A,15,Shirley
MATTERS,DC,5,Shirley
MATTERS,DN,0,Shirley
MacTurk,N,11,Shirley
MacTurk,C,0,Shirley
MacTurk,I,3,Shirley
MacTurk,A,3,Shirley
MacTurk,DC,3,Shirley
MacTurk,DN,2,Shirley
Malone,N,82,Shirley
Malone,C,26,Shirley
Malone,I,29,Shirley
Malone,A,90,Shirley
Malone,DC,33,Shirley
Malone,DN,15,Shirley
Malone.--I,N,1,Shirley
Malone.--I,C,0,Shirley
Malone.--I,I,0,Shirley
Malone.--I,A,4,Shirley
Malone.--I,DC,4,Shirley
Malone.--I,DN,0,Shirley
Mamma,N,16,Shirley
Mamma,C,0,Shirley
Mamma,I,4,Shirley
Mamma,A,8,Shirley
Mamma,DC,18,Shirley
Mamma,DN,2,Shirley
Margaret,N,15,Shirley
Margaret,C,0,Shirley
Margaret,I,0,Shirley
Margaret,A,3,Shirley
Margaret,DC,5,Shirley
Margaret,DN,0,Shirley
Mark,N,13,Shirley
Mark,C,2,Shirley
Mark,I,1,Shirley
Mark,A,6,Shirley
Mark,DC,2,Shirley
Mark,DN,5,Shirley
Martin,N,107,Shirley
Martin,C,98,Shirley
Martin,I,110,Shirley
Martin,A,125,Shirley
Martin,DC,21,Shirley
Martin,DN,24,Shirley
Mary,N,15,Shirley
Mary,C,0,Shirley
Mary,I,2,Shirley
Mary,A,3,Shirley
Mary,DC,11,Shirley
Mary,DN,1,Shirley
Mary Ann Ainley,N,5,Shirley
Mary Ann Ainley,C,0,Shirley
Mary Ann Ainley,I,0,Shirley
Mary Ann Ainley,A,0,Shirley
Mary Ann Ainley,DC,2,Shirley
Mary Ann Ainley,DN,0,Shirley
Matthew,N,22,Shirley
Matthew,C,5,Shirley
Matthew,I,2,Shirley
Matthew,A,18,Shirley
Matthew,DC,9,Shirley
Matthew,DN,3,Shirley
Matthewson Helstone,N,6,Shirley
Matthewson Helstone,C,0,Shirley
Matthewson Helstone,I,0,Shirley
Matthewson Helstone,A,4,Shirley
Matthewson Helstone,DC,5,Shirley
Matthewson Helstone,DN,0,Shirley
Mike,N,17,Shirley
Mike,C,0,Shirley
Mike,I,13,Shirley
Mike,A,19,Shirley
Mike,DC,61,Shirley
Mike,DN,0,Shirley
Miss Ainley,N,37,Shirley
Miss Ainley,C,2,Shirley
Miss Ainley,I,9,Shirley
Miss Ainley,A,22,Shirley
Miss Ainley,DC,15,Shirley
Miss Ainley,DN,3,Shirley
Miss Austen,N,1,Shirley
Miss Austen,C,0,Shirley
Miss Austen,I,0,Shirley
Miss Austen,A,0,Shirley
Miss Austen,DC,0,Shirley
Miss Austen,DN,1,Shirley
Miss Cave,N,2,Shirley
Miss Cave,C,0,Shirley
Miss Cave,I,5,Shirley
Miss Cave,A,4,Shirley
Miss Cave,DC,6,Shirley
Miss Cave,DN,0,Shirley
Miss Grey,N,1,Shirley
Miss Grey,C,0,Shirley
Miss Grey,I,1,Shirley
Miss Grey,A,3,Shirley
Miss Grey,DC,4,Shirley
Miss Grey,DN,0,Shirley
Miss Hardman,N,4,Shirley
Miss Hardman,C,0,Shirley
Miss Hardman,I,2,Shirley
Miss Hardman,A,3,Shirley
Miss Hardman,DC,11,Shirley
Miss Hardman,DN,0,Shirley
Miss Mann,N,33,Shirley
Miss Mann,C,0,Shirley
Miss Mann,I,10,Shirley
Miss Mann,A,21,Shirley
Miss Mann,DC,10,Shirley
Miss Mann,DN,10,Shirley
Miss Mary,N,8,Shirley
Miss Mary,C,1,Shirley
Miss Mary,I,0,Shirley
Miss Mary,A,1,Shirley
Miss Mary,DC,0,Shirley
Miss Mary,DN,1,Shirley
Miss Moore,N,17,Shirley
Miss Moore,C,6,Shirley
Miss Moore,I,5,Shirley
Miss Moore,A,14,Shirley
Miss Moore,DC,4,Shirley
Miss Moore,DN,1,Shirley
Miss Pearson,N,2,Shirley
Miss Pearson,C,0,Shirley
Miss Pearson,I,2,Shirley
Miss Pearson,A,1,Shirley
Miss Pearson,DC,4,Shirley
Miss Pearson,DN,0,Shirley
Moore,N,3,Shirley
Moore,C,2,Shirley
Moore,I,6,Shirley
Moore,A,2,Shirley
Moore,DC,0,Shirley
Moore,DN,0,Shirley
Moses,N,24,Shirley
Moses,C,7,Shirley
Moses,I,5,Shirley
Moses,A,13,Shirley
Moses,DC,21,Shirley
Moses,DN,1,Shirley
Mother,N,3,Shirley
Mother,C,0,Shirley
Mother,I,1,Shirley
Mother,A,3,Shirley
Mother,DC,3,Shirley
Mother,DN,0,Shirley
Mr. Barraclough,N,9,Shirley
Mr. Barraclough,C,10,Shirley
Mr. Barraclough,I,5,Shirley
Mr. Barraclough,A,11,Shirley
Mr. Barraclough,DC,5,Shirley
Mr. Barraclough,DN,0,Shirley
Mr. Gale,N,2,Shirley
Mr. Gale,C,10,Shirley
Mr. Gale,I,3,Shirley
Mr. Gale,A,6,Shirley
Mr. Gale,DC,0,Shirley
Mr. Gale,DN,1,Shirley
Mr. Hall,N,65,Shirley
Mr. Hall,C,24,Shirley
Mr. Hall,I,25,Shirley
Mr. Hall,A,39,Shirley
Mr. Hall,DC,13,Shirley
Mr. Hall,DN,9,Shirley
Mr. Helstone,N,131,Shirley
Mr. Helstone,C,104,Shirley
Mr. Helstone,I,86,Shirley
Mr. Helstone,A,99,Shirley
Mr. Helstone,DC,63,Shirley
Mr. Helstone,DN,18,Shirley
Mr. Moore,N,414,Shirley
Mr. Moore,C,481,Shirley
Mr. Moore,I,386,Shirley
Mr. Moore,A,503,Shirley
Mr. Moore,DC,291,Shirley
Mr. Moore,DN,54,Shirley
Mr. Moore----,N,1,Shirley
Mr. Moore----,C,0,Shirley
Mr. Moore----,I,1,Shirley
Mr. Moore----,A,1,Shirley
Mr. Moore----,DC,1,Shirley
Mr. Moore----,DN,0,Shirley
Mr. Ramsden,N,3,Shirley
Mr. Ramsden,C,1,Shirley
Mr. Ramsden,I,1,Shirley
Mr. Ramsden,A,1,Shirley
Mr. Ramsden,DC,0,Shirley
Mr. Ramsden,DN,1,Shirley
Mr. Sykes,N,19,Shirley
Mr. Sykes,C,4,Shirley
Mr. Sykes,I,8,Shirley
Mr. Sykes,A,17,Shirley
Mr. Sykes,DC,8,Shirley
Mr. Sykes,DN,4,Shirley
Mr. Sympson,N,42,Shirley
Mr. Sympson,C,36,Shirley
Mr. Sympson,I,26,Shirley
Mr. Sympson,A,38,Shirley
Mr. Sympson,DC,8,Shirley
Mr. Sympson,DN,4,Shirley
Mr. Wynne,N,30,Shirley
Mr. Wynne,C,0,Shirley
Mr. Wynne,I,2,Shirley
Mr. Wynne,A,7,Shirley
Mr. Wynne,DC,14,Shirley
Mr. Wynne,DN,1,Shirley
Mr. Yorke,N,148,Shirley
Mr. Yorke,C,150,Shirley
Mr. Yorke,I,180,Shirley
Mr. Yorke,A,165,Shirley
Mr. Yorke,DC,33,Shirley
Mr. Yorke,DN,20,Shirley
Mrs. Gale,N,8,Shirley
Mrs. Gale,C,9,Shirley
Mrs. Gale,I,5,Shirley
Mrs. Gale,A,4,Shirley
Mrs. Gale,DC,0,Shirley
Mrs. Gale,DN,1,Shirley
Mrs. Gill,N,30,Shirley
Mrs. Gill,C,3,Shirley
Mrs. Gill,I,9,Shirley
Mrs. Gill,A,28,Shirley
Mrs. Gill,DC,19,Shirley
Mrs. Gill,DN,5,Shirley
Mrs. Hardman,N,1,Shirley
Mrs. Hardman,C,0,Shirley
Mrs. Hardman,I,3,Shirley
Mrs. Hardman,A,0,Shirley
Mrs. Hardman,DC,0,Shirley
Mrs. Hardman,DN,0,Shirley
Mrs. Horsfall,N,13,Shirley
Mrs. Horsfall,C,4,Shirley
Mrs. Horsfall,I,3,Shirley
Mrs. Horsfall,A,12,Shirley
Mrs. Horsfall,DC,2,Shirley
Mrs. Horsfall,DN,0,Shirley
Mrs. Louis,N,2,Shirley
Mrs. Louis,C,0,Shirley
Mrs. Louis,I,0,Shirley
Mrs. Louis,A,3,Shirley
Mrs. Louis,DC,0,Shirley
Mrs. Louis,DN,1,Shirley
Mrs. Pryor,N,159,Shirley
Mrs. Pryor,C,128,Shirley
Mrs. Pryor,I,123,Shirley
Mrs. Pryor,A,138,Shirley
Mrs. Pryor,DC,69,Shirley
Mrs. Pryor,DN,11,Shirley
Mrs. Sykes,N,19,Shirley
Mrs. Sykes,C,5,Shirley
Mrs. Sykes,I,5,Shirley
Mrs. Sykes,A,7,Shirley
Mrs. Sykes,DC,5,Shirley
Mrs. Sykes,DN,3,Shirley
Mrs. Yorke,N,56,Shirley
Mrs. Yorke,C,37,Shirley
Mrs. Yorke,I,28,Shirley
Mrs. Yorke,A,53,Shirley
Mrs. Yorke,DC,21,Shirley
Mrs. Yorke,DN,7,Shirley
Murgatroyd,N,13,Shirley
Murgatroyd,C,0,Shirley
Murgatroyd,I,2,Shirley
Murgatroyd,A,8,Shirley
Murgatroyd,DC,6,Shirley
Murgatroyd,DN,1,Shirley
Napoleon,N,3,Shirley
Napoleon,C,1,Shirley
Napoleon,I,0,Shirley
Napoleon,A,0,Shirley
Napoleon,DC,0,Shirley
Napoleon,DN,3,Shirley
Nature,N,6,Shirley
Nature,C,0,Shirley
Nature,I,3,Shirley
Nature,A,3,Shirley
Nature,DC,3,Shirley
Nature,DN,1,Shirley
Pearson,N,9,Shirley
Pearson,C,0,Shirley
Pearson,I,2,Shirley
Pearson,A,2,Shirley
Pearson,DC,13,Shirley
Pearson,DN,0,Shirley
Peg Woffington.= CHARLES READE,N,5,Shirley
Peg Woffington.= CHARLES READE,C,2,Shirley
Peg Woffington.= CHARLES READE,I,0,Shirley
Peg Woffington.= CHARLES READE,A,0,Shirley
Peg Woffington.= CHARLES READE,DC,0,Shirley
Peg Woffington.= CHARLES READE,DN,0,Shirley
Peter,N,33,Shirley
Peter,C,8,Shirley
Peter,I,19,Shirley
Peter,A,42,Shirley
Peter,DC,4,Shirley
Peter,DN,7,Shirley
Phœbe,N,6,Shirley
Phœbe,C,0,Shirley
Phœbe,I,0,Shirley
Phœbe,A,1,Shirley
Phœbe,DC,5,Shirley
Phœbe,DN,0,Shirley
Providence,N,6,Shirley
Providence,C,0,Shirley
Providence,I,1,Shirley
Providence,A,1,Shirley
Providence,DC,3,Shirley
Providence,DN,0,Shirley
Robert,N,407,Shirley
Robert,C,251,Shirley
Robert,I,271,Shirley
Robert,A,400,Shirley
Robert,DC,288,Shirley
Robert,DN,60,Shirley
Rose,N,57,Shirley
Rose,C,49,Shirley
Rose,I,43,Shirley
Rose,A,35,Shirley
Rose,DC,20,Shirley
Rose,DN,8,Shirley
Sarah,N,36,Shirley
Sarah,C,3,Shirley
Sarah,I,6,Shirley
Sarah,A,22,Shirley
Sarah,DC,10,Shirley
Sarah,DN,5,Shirley
Saturnia,N,1,Shirley
Saturnia,C,0,Shirley
Saturnia,I,0,Shirley
Saturnia,A,3,Shirley
Saturnia,DC,6,Shirley
Saturnia,DN,0,Shirley
Shakespeare,N,8,Shirley
Shakespeare,C,0,Shirley
Shakespeare,I,0,Shirley
Shakespeare,A,1,Shirley
Shakespeare,DC,5,Shirley
Shakespeare,DN,0,Shirley
Shirley,N,686,Shirley
Shirley,C,974,Shirley
Shirley,I,637,Shirley
Shirley,A,779,Shirley
Shirley,DC,274,Shirley
Shirley,DN,105,Shirley
Sir Philip,N,45,Shirley
Sir Philip,C,5,Shirley
Sir Philip,I,11,Shirley
Sir Philip,A,43,Shirley
