character,tag,count,novel
Amelia,N,5,Sybil
Amelia,C,1,Sybil
Amelia,I,2,Sybil
Amelia,A,5,Sybil
Amelia,DC,0,Sybil
Amelia,DN,0,Sybil
Arabella,N,24,Sybil
Arabella,C,0,Sybil
Arabella,I,8,Sybil
Arabella,A,7,Sybil
Arabella,DC,17,Sybil
Arabella,DN,7,Sybil
Aubrey St Lys,N,4,Sybil
Aubrey St Lys,C,1,Sybil
Aubrey St Lys,I,1,Sybil
Aubrey St Lys,A,3,Sybil
Aubrey St Lys,DC,1,Sybil
Aubrey St Lys,DN,3,Sybil
Augustus,N,5,Sybil
Augustus,C,0,Sybil
Augustus,I,0,Sybil
Augustus,A,3,Sybil
Augustus,DC,3,Sybil
Augustus,DN,1,Sybil
BOMBASTES RIP,N,3,Sybil
BOMBASTES RIP,C,1,Sybil
BOMBASTES RIP,I,1,Sybil
BOMBASTES RIP,A,1,Sybil
BOMBASTES RIP,DC,0,Sybil
BOMBASTES RIP,DN,1,Sybil
Bamford,N,2,Sybil
Bamford,C,0,Sybil
Bamford,I,0,Sybil
Bamford,A,5,Sybil
Bamford,DC,8,Sybil
Bamford,DN,0,Sybil
Barber,N,5,Sybil
Barber,C,0,Sybil
Barber,I,0,Sybil
Barber,A,1,Sybil
Barber,DC,2,Sybil
Barber,DN,0,Sybil
Brookes,N,5,Sybil
Brookes,C,0,Sybil
Brookes,I,0,Sybil
Brookes,A,0,Sybil
Brookes,DC,2,Sybil
Brookes,DN,0,Sybil
Burke,N,13,Sybil
Burke,C,0,Sybil
Burke,I,4,Sybil
Burke,A,12,Sybil
Burke,DC,0,Sybil
Burke,DN,4,Sybil
Captain Grouse,N,30,Sybil
Captain Grouse,C,2,Sybil
Captain Grouse,I,5,Sybil
Captain Grouse,A,10,Sybil
Captain Grouse,DC,13,Sybil
Captain Grouse,DN,5,Sybil
Captain Spruce,N,2,Sybil
Captain Spruce,C,1,Sybil
Captain Spruce,I,0,Sybil
Captain Spruce,A,1,Sybil
Captain Spruce,DC,0,Sybil
Captain Spruce,DN,0,Sybil
Caravan,N,8,Sybil
Caravan,C,0,Sybil
Caravan,I,0,Sybil
Caravan,A,3,Sybil
Caravan,DC,2,Sybil
Caravan,DN,0,Sybil
Caroline,N,52,Sybil
Caroline,C,65,Sybil
Caroline,I,22,Sybil
Caroline,A,12,Sybil
Caroline,DC,10,Sybil
Caroline,DN,4,Sybil
Carteret,N,2,Sybil
Carteret,C,0,Sybil
Carteret,I,0,Sybil
Carteret,A,2,Sybil
Carteret,DC,0,Sybil
Carteret,DN,1,Sybil
Chaffing Jack,N,29,Sybil
Chaffing Jack,C,31,Sybil
Chaffing Jack,I,11,Sybil
Chaffing Jack,A,0,Sybil
Chaffing Jack,DC,12,Sybil
Chaffing Jack,DN,0,Sybil
Charles,N,28,Sybil
Charles,C,0,Sybil
Charles,I,4,Sybil
Charles,A,6,Sybil
Charles,DC,35,Sybil
Charles,DN,0,Sybil
Charles Gardner,N,1,Sybil
Charles Gardner,C,2,Sybil
Charles Gardner,I,1,Sybil
Charles Gardner,A,1,Sybil
Charles Gardner,DC,0,Sybil
Charles Gardner,DN,0,Sybil
Cockie Graves,N,3,Sybil
Cockie Graves,C,0,Sybil
Cockie Graves,I,0,Sybil
Cockie Graves,A,3,Sybil
Cockie Graves,DC,7,Sybil
Cockie Graves,DN,0,Sybil
Devilsdust,N,87,Sybil
Devilsdust,C,85,Sybil
Devilsdust,I,24,Sybil
Devilsdust,A,16,Sybil
Devilsdust,DC,15,Sybil
Devilsdust,DN,4,Sybil
Dusty,N,14,Sybil
Dusty,C,2,Sybil
Dusty,I,3,Sybil
Dusty,A,3,Sybil
Dusty,DC,13,Sybil
Dusty,DN,0,Sybil
Egremont,N,400,Sybil
Egremont,C,336,Sybil
Egremont,I,230,Sybil
Egremont,A,311,Sybil
Egremont,DC,89,Sybil
Egremont,DN,43,Sybil
Fiddle,N,1,Sybil
Fiddle,C,3,Sybil
Fiddle,I,4,Sybil
Fiddle,A,5,Sybil
Fiddle,DC,0,Sybil
Fiddle,DN,0,Sybil
Field,N,24,Sybil
Field,C,29,Sybil
Field,I,11,Sybil
Field,A,10,Sybil
Field,DC,3,Sybil
Field,DN,0,Sybil
Fitz - Aquitaine,N,11,Sybil
Fitz - Aquitaine,C,2,Sybil
Fitz - Aquitaine,I,2,Sybil
Fitz - Aquitaine,A,0,Sybil
Fitz - Aquitaine,DC,2,Sybil
Fitz - Aquitaine,DN,1,Sybil
Floatwell,N,5,Sybil
Floatwell,C,0,Sybil
Floatwell,I,2,Sybil
Floatwell,A,6,Sybil
Floatwell,DC,0,Sybil
Floatwell,DN,3,Sybil
Gaffer Diggs,N,3,Sybil
Gaffer Diggs,C,0,Sybil
Gaffer Diggs,I,0,Sybil
Gaffer Diggs,A,2,Sybil
Gaffer Diggs,DC,1,Sybil
Gaffer Diggs,DN,0,Sybil
George,N,20,Sybil
George,C,0,Sybil
George,I,4,Sybil
George,A,16,Sybil
George,DC,26,Sybil
George,DN,2,Sybil
Gerard,N,95,Sybil
Gerard,C,41,Sybil
Gerard,I,17,Sybil
Gerard,A,35,Sybil
Gerard,DC,58,Sybil
Gerard,DN,4,Sybil
God,N,14,Sybil
God,C,0,Sybil
God,I,1,Sybil
God,A,3,Sybil
God,DC,9,Sybil
God,DN,0,Sybil
Harold,N,29,Sybil
Harold,C,1,Sybil
Harold,I,0,Sybil
Harold,A,14,Sybil
Harold,DC,6,Sybil
Harold,DN,3,Sybil
Harriet,N,19,Sybil
Harriet,C,1,Sybil
Harriet,I,2,Sybil
Harriet,A,9,Sybil
Harriet,DC,8,Sybil
Harriet,DN,3,Sybil
Hatton,N,157,Sybil
Hatton,C,175,Sybil
Hatton,I,96,Sybil
Hatton,A,150,Sybil
Hatton,DC,49,Sybil
Hatton,DN,22,Sybil
Hem,N,5,Sybil
Hem,C,0,Sybil
Hem,I,1,Sybil
Hem,A,1,Sybil
Hem,DC,6,Sybil
Hem,DN,0,Sybil
Hump Chippendale,N,3,Sybil
Hump Chippendale,C,2,Sybil
Hump Chippendale,I,0,Sybil
Hump Chippendale,A,0,Sybil
Hump Chippendale,DC,0,Sybil
Hump Chippendale,DN,1,Sybil
Hybiscus,N,5,Sybil
Hybiscus,C,0,Sybil
Hybiscus,I,0,Sybil
Hybiscus,A,0,Sybil
Hybiscus,DC,0,Sybil
Hybiscus,DN,0,Sybil
James the Second,N,2,Sybil
James the Second,C,1,Sybil
James the Second,I,0,Sybil
James the Second,A,1,Sybil
James the Second,DC,0,Sybil
James the Second,DN,0,Sybil
Jim,N,3,Sybil
Jim,C,0,Sybil
Jim,I,0,Sybil
Jim,A,1,Sybil
Jim,DC,1,Sybil
Jim,DN,0,Sybil
John Briars,N,4,Sybil
John Briars,C,0,Sybil
John Briars,I,0,Sybil
John Briars,A,2,Sybil
John Briars,DC,0,Sybil
John Briars,DN,0,Sybil
Juggins,N,8,Sybil
Juggins,C,7,Sybil
Juggins,I,3,Sybil
Juggins,A,3,Sybil
Juggins,DC,3,Sybil
Juggins,DN,0,Sybil
Julia,N,36,Sybil
Julia,C,37,Sybil
Julia,I,22,Sybil
Julia,A,13,Sybil
Julia,DC,19,Sybil
Julia,DN,1,Sybil
Lady Bardolf,N,13,Sybil
Lady Bardolf,C,11,Sybil
Lady Bardolf,I,5,Sybil
Lady Bardolf,A,4,Sybil
Lady Bardolf,DC,3,Sybil
Lady Bardolf,DN,0,Sybil
Lady Deloraine,N,29,Sybil
Lady Deloraine,C,31,Sybil
Lady Deloraine,I,19,Sybil
Lady Deloraine,A,10,Sybil
Lady Deloraine,DC,13,Sybil
Lady Deloraine,DN,1,Sybil
Lady Firebrace,N,60,Sybil
Lady Firebrace,C,51,Sybil
Lady Firebrace,I,13,Sybil
Lady Firebrace,A,24,Sybil
Lady Firebrace,DC,20,Sybil
Lady Firebrace,DN,5,Sybil
Lady Gramshawe,N,1,Sybil
Lady Gramshawe,C,0,Sybil
Lady Gramshawe,I,0,Sybil
Lady Gramshawe,A,2,Sybil
Lady Gramshawe,DC,1,Sybil
Lady Gramshawe,DN,0,Sybil
Lady Joan,N,78,Sybil
Lady Joan,C,30,Sybil
Lady Joan,I,20,Sybil
Lady Joan,A,34,Sybil
Lady Joan,DC,40,Sybil
Lady Joan,DN,9,Sybil
Lady Marney,N,19,Sybil
Lady Marney,C,29,Sybil
Lady Marney,I,36,Sybil
Lady Marney,A,34,Sybil
Lady Marney,DC,24,Sybil
Lady Marney,DN,7,Sybil
Lady Maud,N,56,Sybil
Lady Maud,C,33,Sybil
Lady Maud,I,14,Sybil
Lady Maud,A,23,Sybil
Lady Maud,DC,32,Sybil
Lady Maud,DN,4,Sybil
Lady St Julians,N,63,Sybil
Lady St Julians,C,59,Sybil
Lady St Julians,I,37,Sybil
Lady St Julians,A,26,Sybil
Lady St Julians,DC,22,Sybil
Lady St Julians,DN,3,Sybil
Lady Vanilla,N,2,Sybil
Lady Vanilla,C,0,Sybil
Lady Vanilla,I,0,Sybil
Lady Vanilla,A,1,Sybil
Lady Vanilla,DC,3,Sybil
Lady Vanilla,DN,0,Sybil
Langley,N,3,Sybil
Langley,C,0,Sybil
Langley,I,0,Sybil
Langley,A,1,Sybil
Langley,DC,5,Sybil
Langley,DN,0,Sybil
Liza Gray,N,11,Sybil
Liza Gray,C,11,Sybil
Liza Gray,I,6,Sybil
Liza Gray,A,1,Sybil
Liza Gray,DC,2,Sybil
Liza Gray,DN,0,Sybil
Lord,N,1,Sybil
Lord,C,0,Sybil
Lord,I,1,Sybil
Lord,A,0,Sybil
Lord,DC,0,Sybil
Lord,DN,1,Sybil
Lord Bardolf,N,4,Sybil
Lord Bardolf,C,5,Sybil
Lord Bardolf,I,1,Sybil
Lord Bardolf,A,0,Sybil
Lord Bardolf,DC,2,Sybil
Lord Bardolf,DN,0,Sybil
Lord Deloraine,N,10,Sybil
Lord Deloraine,C,6,Sybil
Lord Deloraine,I,4,Sybil
Lord Deloraine,A,7,Sybil
Lord Deloraine,DC,0,Sybil
Lord Deloraine,DN,2,Sybil
Lord Durham,N,4,Sybil
Lord Durham,C,0,Sybil
Lord Durham,I,0,Sybil
Lord Durham,A,3,Sybil
Lord Durham,DC,3,Sybil
Lord Durham,DN,0,Sybil
Lord Eugene,N,13,Sybil
Lord Eugene,C,11,Sybil
Lord Eugene,I,9,Sybil
Lord Eugene,A,8,Sybil
Lord Eugene,DC,10,Sybil
Lord Eugene,DN,0,Sybil
Lord Fitz - Warene,N,11,Sybil
Lord Fitz - Warene,C,0,Sybil
Lord Fitz - Warene,I,1,Sybil
Lord Fitz - Warene,A,3,Sybil
Lord Fitz - Warene,DC,5,Sybil
Lord Fitz - Warene,DN,2,Sybil
Lord Fitzheron,N,6,Sybil
Lord Fitzheron,C,6,Sybil
Lord Fitzheron,I,3,Sybil
Lord Fitzheron,A,3,Sybil
Lord Fitzheron,DC,0,Sybil
Lord Fitzheron,DN,0,Sybil
Lord Grey,N,5,Sybil
Lord Grey,C,0,Sybil
Lord Grey,I,2,Sybil
Lord Grey,A,2,Sybil
Lord Grey,DC,0,Sybil
Lord Grey,DN,0,Sybil
Lord Grubminster,N,2,Sybil
Lord Grubminster,C,0,Sybil
Lord Grubminster,I,0,Sybil
Lord Grubminster,A,2,Sybil
Lord Grubminster,DC,1,Sybil
Lord Grubminster,DN,1,Sybil
Lord John,N,6,Sybil
Lord John,C,0,Sybil
Lord John,I,0,Sybil
Lord John,A,2,Sybil
Lord John,DC,6,Sybil
Lord John,DN,1,Sybil
Lord Loraine,N,4,Sybil
Lord Loraine,C,7,Sybil
Lord Loraine,I,1,Sybil
Lord Loraine,A,0,Sybil
Lord Loraine,DC,0,Sybil
Lord Loraine,DN,0,Sybil
Lord Marney,N,298,Sybil
Lord Marney,C,199,Sybil
Lord Marney,I,107,Sybil
Lord Marney,A,113,Sybil
Lord Marney,DC,80,Sybil
Lord Marney,DN,16,Sybil
Lord Masque,N,7,Sybil
Lord Masque,C,0,Sybil
Lord Masque,I,0,Sybil
Lord Masque,A,1,Sybil
Lord Masque,DC,2,Sybil
Lord Masque,DN,1,Sybil
Lord Milford,N,37,Sybil
Lord Milford,C,33,Sybil
Lord Milford,I,14,Sybil
Lord Milford,A,14,Sybil
Lord Milford,DC,6,Sybil
Lord Milford,DN,4,Sybil
Lord Muddlebrains,N,2,Sybil
Lord Muddlebrains,C,0,Sybil
Lord Muddlebrains,I,0,Sybil
Lord Muddlebrains,A,2,Sybil
Lord Muddlebrains,DC,3,Sybil
Lord Muddlebrains,DN,0,Sybil
Lord Shelburne,N,16,Sybil
Lord Shelburne,C,2,Sybil
Lord Shelburne,I,2,Sybil
Lord Shelburne,A,7,Sybil
Lord Shelburne,DC,0,Sybil
Lord Shelburne,DN,7,Sybil
Lord Stanley,N,6,Sybil
Lord Stanley,C,0,Sybil
Lord Stanley,I,0,Sybil
Lord Stanley,A,0,Sybil
Lord Stanley,DC,2,Sybil
Lord Stanley,DN,1,Sybil
Lord Valentine,N,36,Sybil
Lord Valentine,C,33,Sybil
Lord Valentine,I,5,Sybil
Lord Valentine,A,24,Sybil
Lord Valentine,DC,14,Sybil
Lord Valentine,DN,2,Sybil
Maclast,N,8,Sybil
Maclast,C,8,Sybil
Maclast,I,3,Sybil
Maclast,A,1,Sybil
Maclast,DC,1,Sybil
Maclast,DN,0,Sybil
Madam Carey,N,2,Sybil
Madam Carey,C,0,Sybil
Madam Carey,I,0,Sybil
Madam Carey,A,1,Sybil
Madam Carey,DC,2,Sybil
Madam Carey,DN,0,Sybil
Mango,N,6,Sybil
Mango,C,0,Sybil
Mango,I,0,Sybil
Mango,A,0,Sybil
Mango,DC,1,Sybil
Mango,DN,0,Sybil
Maria,N,5,Sybil
Maria,C,3,Sybil
Maria,I,0,Sybil
Maria,A,1,Sybil
Maria,DC,0,Sybil
Maria,DN,0,Sybil
Master Joseph,N,46,Sybil
Master Joseph,C,15,Sybil
Master Joseph,I,10,Sybil
Master Joseph,A,17,Sybil
Master Joseph,DC,11,Sybil
Master Joseph,DN,2,Sybil
Master Nixon,N,28,Sybil
Master Nixon,C,42,Sybil
Master Nixon,I,11,Sybil
Master Nixon,A,7,Sybil
Master Nixon,DC,1,Sybil
Master Nixon,DN,3,Sybil
Ma’am,N,6,Sybil
Ma’am,C,0,Sybil
Ma’am,I,1,Sybil
Ma’am,A,0,Sybil
Ma’am,DC,0,Sybil
Ma’am,DN,0,Sybil
Mick,N,133,Sybil
Mick,C,129,Sybil
Mick,I,34,Sybil
