character,tag,count,novel
Abraham,N,26,Tess_of_the_d'Urbervilles
Abraham,C,13,Tess_of_the_d'Urbervilles
Abraham,I,6,Tess_of_the_d'Urbervilles
Abraham,A,19,Tess_of_the_d'Urbervilles
Abraham,DC,6,Tess_of_the_d'Urbervilles
Abraham,DN,1,Tess_of_the_d'Urbervilles
Alec,N,36,Tess_of_the_d'Urbervilles
Alec,C,7,Tess_of_the_d'Urbervilles
Alec,I,4,Tess_of_the_d'Urbervilles
Alec,A,11,Tess_of_the_d'Urbervilles
Alec,DC,2,Tess_of_the_d'Urbervilles
Alec,DN,3,Tess_of_the_d'Urbervilles
Beck Knibbs,N,2,Tess_of_the_d'Urbervilles
Beck Knibbs,C,2,Tess_of_the_d'Urbervilles
Beck Knibbs,I,1,Tess_of_the_d'Urbervilles
Beck Knibbs,A,2,Tess_of_the_d'Urbervilles
Beck Knibbs,DC,0,Tess_of_the_d'Urbervilles
Beck Knibbs,DN,0,Tess_of_the_d'Urbervilles
Car,N,8,Tess_of_the_d'Urbervilles
Car,C,0,Tess_of_the_d'Urbervilles
Car,I,0,Tess_of_the_d'Urbervilles
Car,A,2,Tess_of_the_d'Urbervilles
Car,DC,0,Tess_of_the_d'Urbervilles
Car,DN,1,Tess_of_the_d'Urbervilles
Clare,N,510,Tess_of_the_d'Urbervilles
Clare,C,311,Tess_of_the_d'Urbervilles
Clare,I,397,Tess_of_the_d'Urbervilles
Clare,A,562,Tess_of_the_d'Urbervilles
Clare,DC,86,Tess_of_the_d'Urbervilles
Clare,DN,83,Tess_of_the_d'Urbervilles
Cuthbert,N,7,Tess_of_the_d'Urbervilles
Cuthbert,C,1,Tess_of_the_d'Urbervilles
Cuthbert,I,0,Tess_of_the_d'Urbervilles
Cuthbert,A,1,Tess_of_the_d'Urbervilles
Cuthbert,DC,1,Tess_of_the_d'Urbervilles
Cuthbert,DN,1,Tess_of_the_d'Urbervilles
Dairyman Crick,N,22,Tess_of_the_d'Urbervilles
Dairyman Crick,C,19,Tess_of_the_d'Urbervilles
Dairyman Crick,I,9,Tess_of_the_d'Urbervilles
Dairyman Crick,A,13,Tess_of_the_d'Urbervilles
Dairyman Crick,DC,1,Tess_of_the_d'Urbervilles
Dairyman Crick,DN,0,Tess_of_the_d'Urbervilles
Durbeyfield,N,24,Tess_of_the_d'Urbervilles
Durbeyfield,C,19,Tess_of_the_d'Urbervilles
Durbeyfield,I,8,Tess_of_the_d'Urbervilles
Durbeyfield,A,23,Tess_of_the_d'Urbervilles
Durbeyfield,DC,2,Tess_of_the_d'Urbervilles
Durbeyfield,DN,6,Tess_of_the_d'Urbervilles
D’Urberville,N,32,Tess_of_the_d'Urbervilles
D’Urberville,C,54,Tess_of_the_d'Urbervilles
D’Urberville,I,28,Tess_of_the_d'Urbervilles
D’Urberville,A,49,Tess_of_the_d'Urbervilles
