character,tag,count,novel
Ailie Muschat,N,5,The_Heart_of_Midlothian1
Ailie Muschat,C,0,The_Heart_of_Midlothian1
Ailie Muschat,I,0,The_Heart_of_Midlothian1
Ailie Muschat,A,1,The_Heart_of_Midlothian1
Ailie Muschat,DC,2,The_Heart_of_Midlothian1
Ailie Muschat,DN,0,The_Heart_of_Midlothian1
Alexander Peden,N,1,The_Heart_of_Midlothian1
Alexander Peden,C,0,The_Heart_of_Midlothian1
Alexander Peden,I,0,The_Heart_of_Midlothian1
Alexander Peden,A,4,The_Heart_of_Midlothian1
Alexander Peden,DC,4,The_Heart_of_Midlothian1
Alexander Peden,DN,0,The_Heart_of_Midlothian1
Arthur,N,5,The_Heart_of_Midlothian1
Arthur,C,0,The_Heart_of_Midlothian1
Arthur,I,0,The_Heart_of_Midlothian1
Arthur,A,0,The_Heart_of_Midlothian1
Arthur,DC,0,The_Heart_of_Midlothian1
Arthur,DN,0,The_Heart_of_Midlothian1
Aweel,N,4,The_Heart_of_Midlothian1
Aweel,C,0,The_Heart_of_Midlothian1
Aweel,I,0,The_Heart_of_Midlothian1
Aweel,A,0,The_Heart_of_Midlothian1
Aweel,DC,4,The_Heart_of_Midlothian1
Aweel,DN,0,The_Heart_of_Midlothian1
Bailie Middleburgh,N,5,The_Heart_of_Midlothian1
Bailie Middleburgh,C,3,The_Heart_of_Midlothian1
Bailie Middleburgh,I,0,The_Heart_of_Midlothian1
Bailie Middleburgh,A,2,The_Heart_of_Midlothian1
Bailie Middleburgh,DC,5,The_Heart_of_Midlothian1
Bailie Middleburgh,DN,0,The_Heart_of_Midlothian1
Blood,N,4,The_Heart_of_Midlothian1
Blood,C,0,The_Heart_of_Midlothian1
Blood,I,0,The_Heart_of_Midlothian1
Blood,A,1,The_Heart_of_Midlothian1
Blood,DC,2,The_Heart_of_Midlothian1
Blood,DN,0,The_Heart_of_Midlothian1
Butler,N,209,The_Heart_of_Midlothian1
Butler,C,146,The_Heart_of_Midlothian1
Butler,I,95,The_Heart_of_Midlothian1
Butler,A,160,The_Heart_of_Midlothian1
Butler,DC,40,The_Heart_of_Midlothian1
Butler,DN,26,The_Heart_of_Midlothian1
Colonel Moyle,N,4,The_Heart_of_Midlothian1
Colonel Moyle,C,1,The_Heart_of_Midlothian1
Colonel Moyle,I,0,The_Heart_of_Midlothian1
Colonel Moyle,A,2,The_Heart_of_Midlothian1
Colonel Moyle,DC,0,The_Heart_of_Midlothian1
Colonel Moyle,DN,1,The_Heart_of_Midlothian1
David Deans,N,82,The_Heart_of_Midlothian1
David Deans,C,43,The_Heart_of_Midlothian1
David Deans,I,43,The_Heart_of_Midlothian1
David Deans,A,47,The_Heart_of_Midlothian1
David Deans,DC,8,The_Heart_of_Midlothian1
David Deans,DN,15,The_Heart_of_Midlothian1
Deanses,N,2,The_Heart_of_Midlothian1
Deanses,C,0,The_Heart_of_Midlothian1
Deanses,I,0,The_Heart_of_Midlothian1
Deanses,A,5,The_Heart_of_Midlothian1
Deanses,DC,3,The_Heart_of_Midlothian1
Deanses,DN,1,The_Heart_of_Midlothian1
Dickens,N,1,The_Heart_of_Midlothian1
Dickens,C,4,The_Heart_of_Midlothian1
Dickens,I,1,The_Heart_of_Midlothian1
Dickens,A,1,The_Heart_of_Midlothian1
Dickens,DC,0,The_Heart_of_Midlothian1
Dickens,DN,0,The_Heart_of_Midlothian1
Dumbiedikes,N,53,The_Heart_of_Midlothian1
Dumbiedikes,C,32,The_Heart_of_Midlothian1
Dumbiedikes,I,16,The_Heart_of_Midlothian1
Dumbiedikes,A,34,The_Heart_of_Midlothian1
Dumbiedikes,DC,8,The_Heart_of_Midlothian1
Dumbiedikes,DN,6,The_Heart_of_Midlothian1
Effie,N,160,The_Heart_of_Midlothian1
