character,tag,count,novel
A.,N,3,The_Heir_of_Redclyffe
A.,C,2,The_Heir_of_Redclyffe
A.,I,0,The_Heir_of_Redclyffe
A.,A,0,The_Heir_of_Redclyffe
A.,DC,2,The_Heir_of_Redclyffe
A.,DN,0,The_Heir_of_Redclyffe
Alice Lamsden,N,3,The_Heir_of_Redclyffe
Alice Lamsden,C,1,The_Heir_of_Redclyffe
Alice Lamsden,I,2,The_Heir_of_Redclyffe
Alice Lamsden,A,1,The_Heir_of_Redclyffe
Alice Lamsden,DC,4,The_Heir_of_Redclyffe
Alice Lamsden,DN,0,The_Heir_of_Redclyffe
Amabel,N,356,The_Heir_of_Redclyffe
Amabel,C,236,The_Heir_of_Redclyffe
Amabel,I,291,The_Heir_of_Redclyffe
Amabel,A,364,The_Heir_of_Redclyffe
Amabel,DC,95,The_Heir_of_Redclyffe
Amabel,DN,79,The_Heir_of_Redclyffe
Amy,N,995,The_Heir_of_Redclyffe
Amy,C,609,The_Heir_of_Redclyffe
Amy,I,495,The_Heir_of_Redclyffe
Amy,A,533,The_Heir_of_Redclyffe
Amy,DC,496,The_Heir_of_Redclyffe
Amy,DN,98,The_Heir_of_Redclyffe
"Amy,--You",N,1,The_Heir_of_Redclyffe
"Amy,--You",C,0,The_Heir_of_Redclyffe
"Amy,--You",I,2,The_Heir_of_Redclyffe
"Amy,--You",A,0,The_Heir_of_Redclyffe
"Amy,--You",DC,3,The_Heir_of_Redclyffe
"Amy,--You",DN,0,The_Heir_of_Redclyffe
"Amy,--‘Do",N,1,The_Heir_of_Redclyffe
"Amy,--‘Do",C,1,The_Heir_of_Redclyffe
"Amy,--‘Do",I,2,The_Heir_of_Redclyffe
"Amy,--‘Do",A,2,The_Heir_of_Redclyffe
"Amy,--‘Do",DC,2,The_Heir_of_Redclyffe
"Amy,--‘Do",DN,0,The_Heir_of_Redclyffe
Anne,N,30,The_Heir_of_Redclyffe
Anne,C,1,The_Heir_of_Redclyffe
Anne,I,4,The_Heir_of_Redclyffe
Anne,A,9,The_Heir_of_Redclyffe
Anne,DC,10,The_Heir_of_Redclyffe
Anne,DN,2,The_Heir_of_Redclyffe
Archdeacon Morville,N,7,The_Heir_of_Redclyffe
Archdeacon Morville,C,0,The_Heir_of_Redclyffe
Archdeacon Morville,I,4,The_Heir_of_Redclyffe
Archdeacon Morville,A,6,The_Heir_of_Redclyffe
Archdeacon Morville,DC,11,The_Heir_of_Redclyffe
Archdeacon Morville,DN,2,The_Heir_of_Redclyffe
Arnaud,N,69,The_Heir_of_Redclyffe
Arnaud,C,13,The_Heir_of_Redclyffe
Arnaud,I,10,The_Heir_of_Redclyffe
Arnaud,A,28,The_Heir_of_Redclyffe
Arnaud,DC,39,The_Heir_of_Redclyffe
Arnaud,DN,4,The_Heir_of_Redclyffe
Ben,N,19,The_Heir_of_Redclyffe
Ben,C,0,The_Heir_of_Redclyffe
Ben,I,4,The_Heir_of_Redclyffe
Ben,A,6,The_Heir_of_Redclyffe
Ben,DC,14,The_Heir_of_Redclyffe
Ben,DN,0,The_Heir_of_Redclyffe
Bolton,N,5,The_Heir_of_Redclyffe
Bolton,C,0,The_Heir_of_Redclyffe
Bolton,I,1,The_Heir_of_Redclyffe
Bolton,A,0,The_Heir_of_Redclyffe
Bolton,DC,3,The_Heir_of_Redclyffe
Bolton,DN,0,The_Heir_of_Redclyffe
Bustle,N,53,The_Heir_of_Redclyffe
Bustle,C,2,The_Heir_of_Redclyffe
Bustle,I,6,The_Heir_of_Redclyffe
Bustle,A,25,The_Heir_of_Redclyffe
Bustle,DC,21,The_Heir_of_Redclyffe
Bustle,DN,4,The_Heir_of_Redclyffe
Captain Morville,N,56,The_Heir_of_Redclyffe
Captain Morville,C,30,The_Heir_of_Redclyffe
Captain Morville,I,31,The_Heir_of_Redclyffe
Captain Morville,A,31,The_Heir_of_Redclyffe
Captain Morville,DC,39,The_Heir_of_Redclyffe
Captain Morville,DN,7,The_Heir_of_Redclyffe
Charles,N,1132,The_Heir_of_Redclyffe
Charles,C,830,The_Heir_of_Redclyffe
Charles,I,529,The_Heir_of_Redclyffe
Charles,A,565,The_Heir_of_Redclyffe
Charles,DC,350,The_Heir_of_Redclyffe
Charles,DN,130,The_Heir_of_Redclyffe
Charles Ray,N,2,The_Heir_of_Redclyffe
Charles Ray,C,0,The_Heir_of_Redclyffe
Charles Ray,I,3,The_Heir_of_Redclyffe
Charles Ray,A,11,The_Heir_of_Redclyffe
Charles Ray,DC,10,The_Heir_of_Redclyffe
Charles Ray,DN,2,The_Heir_of_Redclyffe
Charlotte,N,322,The_Heir_of_Redclyffe
Charlotte,C,175,The_Heir_of_Redclyffe
Charlotte,I,114,The_Heir_of_Redclyffe
Charlotte,A,160,The_Heir_of_Redclyffe
Charlotte,DC,116,The_Heir_of_Redclyffe
Charlotte,DN,25,The_Heir_of_Redclyffe
Colonel Deane,N,5,The_Heir_of_Redclyffe
Colonel Deane,C,0,The_Heir_of_Redclyffe
Colonel Deane,I,0,The_Heir_of_Redclyffe
Colonel Deane,A,1,The_Heir_of_Redclyffe
Colonel Deane,DC,1,The_Heir_of_Redclyffe
Colonel Deane,DN,1,The_Heir_of_Redclyffe
Colonel Harewood,N,8,The_Heir_of_Redclyffe
Colonel Harewood,C,0,The_Heir_of_Redclyffe
Colonel Harewood,I,1,The_Heir_of_Redclyffe
Colonel Harewood,A,0,The_Heir_of_Redclyffe
Colonel Harewood,DC,4,The_Heir_of_Redclyffe
Colonel Harewood,DN,1,The_Heir_of_Redclyffe
