character,tag,count,novel
Adye,N,56,The_Invisible_Man
Adye,C,40,The_Invisible_Man
Adye,I,16,The_Invisible_Man
Adye,A,39,The_Invisible_Man
Adye,DC,14,The_Invisible_Man
Adye,DN,2,The_Invisible_Man
Cuss,N,31,The_Invisible_Man
Cuss,C,46,The_Invisible_Man
Cuss,I,23,The_Invisible_Man
Cuss,A,41,The_Invisible_Man
Cuss,DC,4,The_Invisible_Man
Cuss,DN,4,The_Invisible_Man
DR . KEMP,N,1,The_Invisible_Man
DR . KEMP,C,0,The_Invisible_Man
DR . KEMP,I,0,The_Invisible_Man
DR . KEMP,A,0,The_Invisible_Man
DR . KEMP,DC,0,The_Invisible_Man
DR . KEMP,DN,0,The_Invisible_Man
Death,N,5,The_Invisible_Man
Death,C,0,The_Invisible_Man
Death,I,1,The_Invisible_Man
Death,A,4,The_Invisible_Man
Death,DC,5,The_Invisible_Man
Death,DN,0,The_Invisible_Man
Doctor Kemp,N,8,The_Invisible_Man
Doctor Kemp,C,0,The_Invisible_Man
Doctor Kemp,I,1,The_Invisible_Man
Doctor Kemp,A,2,The_Invisible_Man
Doctor Kemp,DC,0,The_Invisible_Man
Doctor Kemp,DN,1,The_Invisible_Man
Fearenside,N,11,The_Invisible_Man
Fearenside,C,7,The_Invisible_Man
Fearenside,I,3,The_Invisible_Man
Fearenside,A,3,The_Invisible_Man
Fearenside,DC,3,The_Invisible_Man
Fearenside,DN,0,The_Invisible_Man
Gibbons,N,2,The_Invisible_Man
Gibbons,C,0,The_Invisible_Man
Gibbons,I,3,The_Invisible_Man
Gibbons,A,2,The_Invisible_Man
Gibbons,DC,0,The_Invisible_Man
Gibbons,DN,0,The_Invisible_Man
God,N,7,The_Invisible_Man
God,C,0,The_Invisible_Man
God,I,0,The_Invisible_Man
God,A,0,The_Invisible_Man
God,DC,5,The_Invisible_Man
God,DN,0,The_Invisible_Man
Griffin,N,27,The_Invisible_Man
Griffin,C,32,The_Invisible_Man
Griffin,I,31,The_Invisible_Man
Griffin,A,39,The_Invisible_Man
Griffin,DC,15,The_Invisible_Man
Griffin,DN,1,The_Invisible_Man
Henfrey,N,55,The_Invisible_Man
Henfrey,C,44,The_Invisible_Man
Henfrey,I,14,The_Invisible_Man
