character,tag,count,novel
Augustus,N,4,The_Life_and_Adventures_of_Michael_Armstrong
Augustus,C,0,The_Life_and_Adventures_of_Michael_Armstrong
Augustus,I,3,The_Life_and_Adventures_of_Michael_Armstrong
Augustus,A,3,The_Life_and_Adventures_of_Michael_Armstrong
Augustus,DC,0,The_Life_and_Adventures_of_Michael_Armstrong
Augustus,DN,1,The_Life_and_Adventures_of_Michael_Armstrong
Betty Parker,N,14,The_Life_and_Adventures_of_Michael_Armstrong
Betty Parker,C,4,The_Life_and_Adventures_of_Michael_Armstrong
Betty Parker,I,6,The_Life_and_Adventures_of_Michael_Armstrong
Betty Parker,A,4,The_Life_and_Adventures_of_Michael_Armstrong
Betty Parker,DC,5,The_Life_and_Adventures_of_Michael_Armstrong
Betty Parker,DN,1,The_Life_and_Adventures_of_Michael_Armstrong
Br . Crockley,N,3,The_Life_and_Adventures_of_Michael_Armstrong
Br . Crockley,C,1,The_Life_and_Adventures_of_Michael_Armstrong
Br . Crockley,I,0,The_Life_and_Adventures_of_Michael_Armstrong
Br . Crockley,A,3,The_Life_and_Adventures_of_Michael_Armstrong
Br . Crockley,DC,0,The_Life_and_Adventures_of_Michael_Armstrong
Br . Crockley,DN,2,The_Life_and_Adventures_of_Michael_Armstrong
Charley Ford,N,3,The_Life_and_Adventures_of_Michael_Armstrong
Charley Ford,C,3,The_Life_and_Adventures_of_Michael_Armstrong
Charley Ford,I,1,The_Life_and_Adventures_of_Michael_Armstrong
Charley Ford,A,2,The_Life_and_Adventures_of_Michael_Armstrong
Charley Ford,DC,0,The_Life_and_Adventures_of_Michael_Armstrong
Charley Ford,DN,1,The_Life_and_Adventures_of_Michael_Armstrong
Doctor Crockley,N,8,The_Life_and_Adventures_of_Michael_Armstrong
Doctor Crockley,C,3,The_Life_and_Adventures_of_Michael_Armstrong
Doctor Crockley,I,0,The_Life_and_Adventures_of_Michael_Armstrong
Doctor Crockley,A,2,The_Life_and_Adventures_of_Michael_Armstrong
Doctor Crockley,DC,1,The_Life_and_Adventures_of_Michael_Armstrong
Doctor Crockley,DN,0,The_Life_and_Adventures_of_Michael_Armstrong
Dowling Lodge,N,2,The_Life_and_Adventures_of_Michael_Armstrong
Dowling Lodge,C,0,The_Life_and_Adventures_of_Michael_Armstrong
Dowling Lodge,I,0,The_Life_and_Adventures_of_Michael_Armstrong
Dowling Lodge,A,0,The_Life_and_Adventures_of_Michael_Armstrong
Dowling Lodge,DC,0,The_Life_and_Adventures_of_Michael_Armstrong
Dowling Lodge,DN,0,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crock-,N,3,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crock-,C,0,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crock-,I,1,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crock-,A,0,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crock-,DC,0,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crock-,DN,0,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crockley,N,102,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crockley,C,35,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crockley,I,51,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crockley,A,52,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crockley,DC,42,The_Life_and_Adventures_of_Michael_Armstrong
Dr. Crockley,DN,8,The_Life_and_Adventures_of_Michael_Armstrong
Ed- ward,N,4,The_Life_and_Adventures_of_Michael_Armstrong
Ed- ward,C,2,The_Life_and_Adventures_of_Michael_Armstrong
Ed- ward,I,6,The_Life_and_Adventures_of_Michael_Armstrong
Ed- ward,A,3,The_Life_and_Adventures_of_Michael_Armstrong
Ed- ward,DC,1,The_Life_and_Adventures_of_Michael_Armstrong
Ed- ward,DN,2,The_Life_and_Adventures_of_Michael_Armstrong
Edward,N,208,The_Life_and_Adventures_of_Michael_Armstrong
Edward,C,35,The_Life_and_Adventures_of_Michael_Armstrong
Edward,I,56,The_Life_and_Adventures_of_Michael_Armstrong
Edward,A,73,The_Life_and_Adventures_of_Michael_Armstrong
Edward,DC,111,The_Life_and_Adventures_of_Michael_Armstrong
Edward,DN,18,The_Life_and_Adventures_of_Michael_Armstrong
Fairly,N,6,The_Life_and_Adventures_of_Michael_Armstrong
Fairly,C,0,The_Life_and_Adventures_of_Michael_Armstrong
Fairly,I,0,The_Life_and_Adventures_of_Michael_Armstrong
Fairly,A,0,The_Life_and_Adventures_of_Michael_Armstrong
Fairly,DC,4,The_Life_and_Adventures_of_Michael_Armstrong
Fairly,DN,0,The_Life_and_Adventures_of_Michael_Armstrong
Fanny,N,117,The_Life_and_Adventures_of_Michael_Armstrong
Fanny,C,29,The_Life_and_Adventures_of_Michael_Armstrong
Fanny,I,40,The_Life_and_Adventures_of_Michael_Armstrong
Fanny,A,67,The_Life_and_Adventures_of_Michael_Armstrong
Fanny,DC,52,The_Life_and_Adventures_of_Michael_Armstrong
Fanny,DN,11,The_Life_and_Adventures_of_Michael_Armstrong
Father,N,2,The_Life_and_Adventures_of_Michael_Armstrong
Father,C,0,The_Life_and_Adventures_of_Michael_Armstrong
Father,I,3,The_Life_and_Adventures_of_Michael_Armstrong
Father,A,4,The_Life_and_Adventures_of_Michael_Armstrong
Father,DC,3,The_Life_and_Adventures_of_Michael_Armstrong
Father,DN,0,The_Life_and_Adventures_of_Michael_Armstrong
God,N,84,The_Life_and_Adventures_of_Michael_Armstrong
God,C,5,The_Life_and_Adventures_of_Michael_Armstrong
God,I,9,The_Life_and_Adventures_of_Michael_Armstrong
God,A,13,The_Life_and_Adventures_of_Michael_Armstrong
God,DC,36,The_Life_and_Adventures_of_Michael_Armstrong
God,DN,1,The_Life_and_Adventures_of_Michael_Armstrong
Grace,N,6,The_Life_and_Adventures_of_Michael_Armstrong
Grace,C,1,The_Life_and_Adventures_of_Michael_Armstrong
Grace,I,0,The_Life_and_Adventures_of_Michael_Armstrong
Grace,A,0,The_Life_and_Adventures_of_Michael_Armstrong
Grace,DC,1,The_Life_and_Adventures_of_Michael_Armstrong
Grace,DN,0,The_Life_and_Adventures_of_Michael_Armstrong
Heaven,N,17,The_Life_and_Adventures_of_Michael_Armstrong
Heaven,C,0,The_Life_and_Adventures_of_Michael_Armstrong
Heaven,I,3,The_Life_and_Adventures_of_Michael_Armstrong
Heaven,A,0,The_Life_and_Adventures_of_Michael_Armstrong
Heaven,DC,9,The_Life_and_Adventures_of_Michael_Armstrong
Heaven,DN,0,The_Life_and_Adventures_of_Michael_Armstrong
James,N,4,The_Life_and_Adventures_of_Michael_Armstrong
James,C,1,The_Life_and_Adventures_of_Michael_Armstrong
James,I,2,The_Life_and_Adventures_of_Michael_Armstrong
James,A,1,The_Life_and_Adventures_of_Michael_Armstrong
James,DC,1,The_Life_and_Adventures_of_Michael_Armstrong
James,DN,0,The_Life_and_Adventures_of_Michael_Armstrong
Kitty,N,18,The_Life_and_Adventures_of_Michael_Armstrong
Kitty,C,5,The_Life_and_Adventures_of_Michael_Armstrong
Kitty,I,4,The_Life_and_Adventures_of_Michael_Armstrong
Kitty,A,11,The_Life_and_Adventures_of_Michael_Armstrong
Kitty,DC,5,The_Life_and_Adventures_of_Michael_Armstrong
Kitty,DN,2,The_Life_and_Adventures_of_Michael_Armstrong
Lady Bowling,N,10,The_Life_and_Adventures_of_Michael_Armstrong
Lady Bowling,C,2,The_Life_and_Adventures_of_Michael_Armstrong
Lady Bowling,I,0,The_Life_and_Adventures_of_Michael_Armstrong
Lady Bowling,A,3,The_Life_and_Adventures_of_Michael_Armstrong
Lady Bowling,DC,1,The_Life_and_Adventures_of_Michael_Armstrong
Lady Bowling,DN,3,The_Life_and_Adventures_of_Michael_Armstrong
Lady Cla- rissa,N,1,The_Life_and_Adventures_of_Michael_Armstrong
Lady Cla- rissa,C,2,The_Life_and_Adventures_of_Michael_Armstrong
Lady Cla- rissa,I,9,The_Life_and_Adventures_of_Michael_Armstrong
Lady Cla- rissa,A,8,The_Life_and_Adventures_of_Michael_Armstrong
Lady Cla- rissa,DC,0,The_Life_and_Adventures_of_Michael_Armstrong
Lady Cla- rissa,DN,4,The_Life_and_Adventures_of_Michael_Armstrong
Lady Clarissa,N,197,The_Life_and_Adventures_of_Michael_Armstrong
Lady Clarissa,C,84,The_Life_and_Adventures_of_Michael_Armstrong
Lady Clarissa,I,49,The_Life_and_Adventures_of_Michael_Armstrong
Lady Clarissa,A,91,The_Life_and_Adventures_of_Michael_Armstrong
Lady Clarissa,DC,50,The_Life_and_Adventures_of_Michael_Armstrong
Lady Clarissa,DN,25,The_Life_and_Adventures_of_Michael_Armstrong
Larkins,N,5,The_Life_and_Adventures_of_Michael_Armstrong
Larkins,C,6,The_Life_and_Adventures_of_Michael_Armstrong
Larkins,I,2,The_Life_and_Adventures_of_Michael_Armstrong
Larkins,A,1,The_Life_and_Adventures_of_Michael_Armstrong
Larkins,DC,2,The_Life_and_Adventures_of_Michael_Armstrong
Larkins,DN,0,The_Life_and_Adventures_of_Michael_Armstrong
MISS BROTHER - TON PUSHES,N,2,The_Life_and_Adventures_of_Michael_Armstrong
MISS BROTHER - TON PUSHES,C,4,The_Life_and_Adventures_of_Michael_Armstrong
MISS BROTHER - TON PUSHES,I,18,The_Life_and_Adventures_of_Michael_Armstrong
MISS BROTHER - TON PUSHES,A,11,The_Life_and_Adventures_of_Michael_Armstrong
MISS BROTHER - TON PUSHES,DC,0,The_Life_and_Adventures_of_Michael_Armstrong
MISS BROTHER - TON PUSHES,DN,1,The_Life_and_Adventures_of_Michael_Armstrong
MISS BROTIIERTON,N,1,The_Life_and_Adventures_of_Michael_Armstrong
MISS BROTIIERTON,C,1,The_Life_and_Adventures_of_Michael_Armstrong
MISS BROTIIERTON,I,2,The_Life_and_Adventures_of_Michael_Armstrong
MISS BROTIIERTON,A,5,The_Life_and_Adventures_of_Michael_Armstrong
MISS BROTIIERTON,DC,0,The_Life_and_Adventures_of_Michael_Armstrong
MISS BROTIIERTON,DN,1,The_Life_and_Adventures_of_Michael_Armstrong
Macnab,N,24,The_Life_and_Adventures_of_Michael_Armstrong
Macnab,C,6,The_Life_and_Adventures_of_Michael_Armstrong
Macnab,I,9,The_Life_and_Adventures_of_Michael_Armstrong
Macnab,A,6,The_Life_and_Adventures_of_Michael_Armstrong
Macnab,DC,4,The_Life_and_Adventures_of_Michael_Armstrong
Macnab,DN,2,The_Life_and_Adventures_of_Michael_Armstrong
Mademoiselle Beaujoie,N,6,The_Life_and_Adventures_of_Michael_Armstrong
Mademoiselle Beaujoie,C,1,The_Life_and_Adventures_of_Michael_Armstrong
Mademoiselle Beaujoie,I,1,The_Life_and_Adventures_of_Michael_Armstrong
Mademoiselle Beaujoie,A,0,The_Life_and_Adventures_of_Michael_Armstrong
Mademoiselle Beaujoie,DC,0,The_Life_and_Adventures_of_Michael_Armstrong
Mademoiselle Beaujoie,DN,0,The_Life_and_Adventures_of_Michael_Armstrong
Martha,N,457,The_Life_and_Adventures_of_Michael_Armstrong
Martha,C,225,The_Life_and_Adventures_of_Michael_Armstrong
Martha,I,236,The_Life_and_Adventures_of_Michael_Armstrong
Martha,A,304,The_Life_and_Adventures_of_Michael_Armstrong
Martha,DC,189,The_Life_and_Adventures_of_Michael_Armstrong
Martha,DN,55,The_Life_and_Adventures_of_Michael_Armstrong
Mary,N,436,The_Life_and_Adventures_of_Michael_Armstrong
Mary,C,320,The_Life_and_Adventures_of_Michael_Armstrong
Mary,I,327,The_Life_and_Adventures_of_Michael_Armstrong
Mary,A,374,The_Life_and_Adventures_of_Michael_Armstrong
Mary,DC,77,The_Life_and_Adventures_of_Michael_Armstrong
Mary,DN,41,The_Life_and_Adventures_of_Michael_Armstrong
Master Fleming,N,1,The_Life_and_Adventures_of_Michael_Armstrong
Master Fleming,C,0,The_Life_and_Adventures_of_Michael_Armstrong
Master Fleming,I,0,The_Life_and_Adventures_of_Michael_Armstrong
Master Fleming,A,1,The_Life_and_Adventures_of_Michael_Armstrong
Master Fleming,DC,0,The_Life_and_Adventures_of_Michael_Armstrong
Master Fleming,DN,2,The_Life_and_Adventures_of_Michael_Armstrong
Mi- chael,N,5,The_Life_and_Adventures_of_Michael_Armstrong
Mi- chael,C,5,The_Life_and_Adventures_of_Michael_Armstrong
