character,tag,count,novel
Alf,N,16,The_Light_that_Failed
Alf,C,4,The_Light_that_Failed
Alf,I,13,The_Light_that_Failed
Alf,A,11,The_Light_that_Failed
Alf,DC,12,The_Light_that_Failed
Alf,DN,1,The_Light_that_Failed
Amomma,N,19,The_Light_that_Failed
Amomma,C,1,The_Light_that_Failed
Amomma,I,2,The_Light_that_Failed
Amomma,A,10,The_Light_that_Failed
Amomma,DC,8,The_Light_that_Failed
Amomma,DN,2,The_Light_that_Failed
Bess,N,22,The_Light_that_Failed
Bess,C,6,The_Light_that_Failed
Bess,I,8,The_Light_that_Failed
Bess,A,16,The_Light_that_Failed
Bess,DC,20,The_Light_that_Failed
Bess,DN,2,The_Light_that_Failed
Bessie,N,69,The_Light_that_Failed
Bessie,C,64,The_Light_that_Failed
Bessie,I,52,The_Light_that_Failed
Bessie,A,102,The_Light_that_Failed
Bessie,DC,40,The_Light_that_Failed
Bessie,DN,6,The_Light_that_Failed
Binkie,N,41,The_Light_that_Failed
Binkie,C,16,The_Light_that_Failed
Binkie,I,17,The_Light_that_Failed
Binkie,A,36,The_Light_that_Failed
Binkie,DC,39,The_Light_that_Failed
Binkie,DN,0,The_Light_that_Failed
Cassavetti,N,5,The_Light_that_Failed
Cassavetti,C,3,The_Light_that_Failed
Cassavetti,I,3,The_Light_that_Failed
Cassavetti,A,4,The_Light_that_Failed
Cassavetti,DC,4,The_Light_that_Failed
Cassavetti,DN,0,The_Light_that_Failed
Dick,N,675,The_Light_that_Failed
Dick,C,675,The_Light_that_Failed
Dick,I,537,The_Light_that_Failed
Dick,A,910,The_Light_that_Failed
Dick,DC,368,The_Light_that_Failed
Dick,DN,63,The_Light_that_Failed
Dickie,N,16,The_Light_that_Failed
Dickie,C,1,The_Light_that_Failed
Dickie,I,3,The_Light_that_Failed
Dickie,A,12,The_Light_that_Failed
Dickie,DC,15,The_Light_that_Failed
Dickie,DN,0,The_Light_that_Failed
George,N,24,The_Light_that_Failed
George,C,9,The_Light_that_Failed
George,I,2,The_Light_that_Failed
George,A,13,The_Light_that_Failed
