character,tag,count,novel
Blowbody,N,5,The_Mayor_of_Casterbridge
Blowbody,C,4,The_Mayor_of_Casterbridge
Blowbody,I,0,The_Mayor_of_Casterbridge
Blowbody,A,3,The_Mayor_of_Casterbridge
Blowbody,DC,1,The_Mayor_of_Casterbridge
Blowbody,DN,1,The_Mayor_of_Casterbridge
Buzzford,N,10,The_Mayor_of_Casterbridge
Buzzford,C,7,The_Mayor_of_Casterbridge
Buzzford,I,3,The_Mayor_of_Casterbridge
Buzzford,A,0,The_Mayor_of_Casterbridge
Buzzford,DC,0,The_Mayor_of_Casterbridge
Buzzford,DN,0,The_Mayor_of_Casterbridge
Casterbridge,N,10,The_Mayor_of_Casterbridge
Casterbridge,C,0,The_Mayor_of_Casterbridge
Casterbridge,I,1,The_Mayor_of_Casterbridge
Casterbridge,A,4,The_Mayor_of_Casterbridge
Casterbridge,DC,0,The_Mayor_of_Casterbridge
Casterbridge,DN,1,The_Mayor_of_Casterbridge
Charl,N,9,The_Mayor_of_Casterbridge
Charl,C,7,The_Mayor_of_Casterbridge
Charl,I,0,The_Mayor_of_Casterbridge
Charl,A,1,The_Mayor_of_Casterbridge
Charl,DC,0,The_Mayor_of_Casterbridge
Charl,DN,0,The_Mayor_of_Casterbridge
Christopher Coney,N,26,The_Mayor_of_Casterbridge
Christopher Coney,C,17,The_Mayor_of_Casterbridge
Christopher Coney,I,12,The_Mayor_of_Casterbridge
Christopher Coney,A,21,The_Mayor_of_Casterbridge
Christopher Coney,DC,9,The_Mayor_of_Casterbridge
Christopher Coney,DN,2,The_Mayor_of_Casterbridge
David,N,3,The_Mayor_of_Casterbridge
David,C,0,The_Mayor_of_Casterbridge
David,I,2,The_Mayor_of_Casterbridge
David,A,1,The_Mayor_of_Casterbridge
David,DC,2,The_Mayor_of_Casterbridge
David,DN,0,The_Mayor_of_Casterbridge
Doctor Chalkfield,N,2,The_Mayor_of_Casterbridge
Doctor Chalkfield,C,0,The_Mayor_of_Casterbridge
Doctor Chalkfield,I,0,The_Mayor_of_Casterbridge
Doctor Chalkfield,A,1,The_Mayor_of_Casterbridge
Doctor Chalkfield,DC,3,The_Mayor_of_Casterbridge
Doctor Chalkfield,DN,1,The_Mayor_of_Casterbridge
Farfrae,N,513,The_Mayor_of_Casterbridge
Farfrae,C,147,The_Mayor_of_Casterbridge
Farfrae,I,137,The_Mayor_of_Casterbridge
Farfrae,A,223,The_Mayor_of_Casterbridge
Farfrae,DC,120,The_Mayor_of_Casterbridge
Farfrae,DN,38,The_Mayor_of_Casterbridge
Father,N,4,The_Mayor_of_Casterbridge
Father,C,0,The_Mayor_of_Casterbridge
Father,I,2,The_Mayor_of_Casterbridge
Father,A,0,The_Mayor_of_Casterbridge
Father,DC,2,The_Mayor_of_Casterbridge
Father,DN,1,The_Mayor_of_Casterbridge
Father!—I,N,1,The_Mayor_of_Casterbridge
Father!—I,C,0,The_Mayor_of_Casterbridge
Father!—I,I,0,The_Mayor_of_Casterbridge
Father!—I,A,0,The_Mayor_of_Casterbridge
Father!—I,DC,0,The_Mayor_of_Casterbridge
Father!—I,DN,0,The_Mayor_of_Casterbridge
God,N,11,The_Mayor_of_Casterbridge
God,C,0,The_Mayor_of_Casterbridge
God,I,1,The_Mayor_of_Casterbridge
God,A,0,The_Mayor_of_Casterbridge
God,DC,7,The_Mayor_of_Casterbridge
God,DN,1,The_Mayor_of_Casterbridge
Heaven,N,6,The_Mayor_of_Casterbridge
Heaven,C,0,The_Mayor_of_Casterbridge
Heaven,I,0,The_Mayor_of_Casterbridge
Heaven,A,1,The_Mayor_of_Casterbridge
Heaven,DC,2,The_Mayor_of_Casterbridge
Heaven,DN,0,The_Mayor_of_Casterbridge
Henchard,N,1316,The_Mayor_of_Casterbridge
Henchard,C,718,The_Mayor_of_Casterbridge
Henchard,I,621,The_Mayor_of_Casterbridge
Henchard,A,935,The_Mayor_of_Casterbridge
Henchard,DC,118,The_Mayor_of_Casterbridge
Henchard,DN,117,The_Mayor_of_Casterbridge
Jack Griggs,N,2,The_Mayor_of_Casterbridge
Jack Griggs,C,0,The_Mayor_of_Casterbridge
Jack Griggs,I,0,The_Mayor_of_Casterbridge
Jack Griggs,A,6,The_Mayor_of_Casterbridge
Jack Griggs,DC,2,The_Mayor_of_Casterbridge
Jack Griggs,DN,1,The_Mayor_of_Casterbridge
Joe,N,9,The_Mayor_of_Casterbridge
Joe,C,0,The_Mayor_of_Casterbridge
Joe,I,0,The_Mayor_of_Casterbridge
Joe,A,2,The_Mayor_of_Casterbridge
Joe,DC,4,The_Mayor_of_Casterbridge
Joe,DN,1,The_Mayor_of_Casterbridge
Jopp,N,59,The_Mayor_of_Casterbridge
Jopp,C,32,The_Mayor_of_Casterbridge
Jopp,I,18,The_Mayor_of_Casterbridge
Jopp,A,36,The_Mayor_of_Casterbridge
Jopp,DC,8,The_Mayor_of_Casterbridge
Jopp,DN,6,The_Mayor_of_Casterbridge
Longways,N,23,The_Mayor_of_Casterbridge
Longways,C,32,The_Mayor_of_Casterbridge
Longways,I,9,The_Mayor_of_Casterbridge
Longways,A,8,The_Mayor_of_Casterbridge
Longways,DC,2,The_Mayor_of_Casterbridge
