character,tag,count,novel
Alice,N,3,The_Mill_on_the_Floss
Alice,C,3,The_Mill_on_the_Floss
Alice,I,2,The_Mill_on_the_Floss
Alice,A,7,The_Mill_on_the_Floss
Alice,DC,2,The_Mill_on_the_Floss
Alice,DN,0,The_Mill_on_the_Floss
Aunt Glegg,N,7,The_Mill_on_the_Floss
Aunt Glegg,C,0,The_Mill_on_the_Floss
Aunt Glegg,I,1,The_Mill_on_the_Floss
Aunt Glegg,A,3,The_Mill_on_the_Floss
Aunt Glegg,DC,1,The_Mill_on_the_Floss
Aunt Glegg,DN,0,The_Mill_on_the_Floss
Aunt Pullet,N,7,The_Mill_on_the_Floss
Aunt Pullet,C,10,The_Mill_on_the_Floss
Aunt Pullet,I,5,The_Mill_on_the_Floss
Aunt Pullet,A,19,The_Mill_on_the_Floss
Aunt Pullet,DC,8,The_Mill_on_the_Floss
Aunt Pullet,DN,3,The_Mill_on_the_Floss
Bessy,N,77,The_Mill_on_the_Floss
Bessy,C,0,The_Mill_on_the_Floss
Bessy,I,11,The_Mill_on_the_Floss
Bessy,A,15,The_Mill_on_the_Floss
Bessy,DC,65,The_Mill_on_the_Floss
Bessy,DN,5,The_Mill_on_the_Floss
Bob,N,213,The_Mill_on_the_Floss
Bob,C,129,The_Mill_on_the_Floss
Bob,I,86,The_Mill_on_the_Floss
Bob,A,167,The_Mill_on_the_Floss
Bob,DC,64,The_Mill_on_the_Floss
Bob,DN,11,The_Mill_on_the_Floss
Columbus,N,3,The_Mill_on_the_Floss
Columbus,C,0,The_Mill_on_the_Floss
Columbus,I,0,The_Mill_on_the_Floss
Columbus,A,0,The_Mill_on_the_Floss
Columbus,DC,1,The_Mill_on_the_Floss
Columbus,DN,0,The_Mill_on_the_Floss
Dix,N,8,The_Mill_on_the_Floss
Dix,C,0,The_Mill_on_the_Floss
Dix,I,1,The_Mill_on_the_Floss
Dix,A,2,The_Mill_on_the_Floss
Dix,DC,2,The_Mill_on_the_Floss
Dix,DN,2,The_Mill_on_the_Floss
Dolly,N,1,The_Mill_on_the_Floss
Dolly,C,1,The_Mill_on_the_Floss
Dolly,I,0,The_Mill_on_the_Floss
Dolly,A,4,The_Mill_on_the_Floss
Dolly,DC,0,The_Mill_on_the_Floss
Dolly,DN,0,The_Mill_on_the_Floss
Dr Kenn,N,46,The_Mill_on_the_Floss
Dr Kenn,C,25,The_Mill_on_the_Floss
Dr Kenn,I,34,The_Mill_on_the_Floss
Dr Kenn,A,56,The_Mill_on_the_Floss
