character,tag,count,novel
Agnes,N,370,The_Mysteries_of_London4
Agnes,C,151,The_Mysteries_of_London4
Agnes,I,207,The_Mysteries_of_London4
Agnes,A,271,The_Mysteries_of_London4
Agnes,DC,125,The_Mysteries_of_London4
Agnes,DN,62,The_Mysteries_of_London4
Alberto,N,14,The_Mysteries_of_London4
Alberto,C,0,The_Mysteries_of_London4
Alberto,I,0,The_Mysteries_of_London4
Alberto,A,3,The_Mysteries_of_London4
Alberto,DC,3,The_Mysteries_of_London4
Alberto,DN,1,The_Mysteries_of_London4
Arthur,N,38,The_Mysteries_of_London4
Arthur,C,7,The_Mysteries_of_London4
Arthur,I,6,The_Mysteries_of_London4
Arthur,A,19,The_Mysteries_of_London4
Arthur,DC,38,The_Mysteries_of_London4
Arthur,DN,2,The_Mysteries_of_London4
Augustine,N,15,The_Mysteries_of_London4
Augustine,C,0,The_Mysteries_of_London4
Augustine,I,0,The_Mysteries_of_London4
Augustine,A,1,The_Mysteries_of_London4
Augustine,DC,0,The_Mysteries_of_London4
Augustine,DN,0,The_Mysteries_of_London4
Beale,N,6,The_Mysteries_of_London4
Beale,C,0,The_Mysteries_of_London4
Beale,I,0,The_Mysteries_of_London4
Beale,A,1,The_Mysteries_of_London4
Beale,DC,5,The_Mysteries_of_London4
Beale,DN,0,The_Mysteries_of_London4
Benjamin Bones,N,65,The_Mysteries_of_London4
Benjamin Bones,C,23,The_Mysteries_of_London4
Benjamin Bones,I,14,The_Mysteries_of_London4
Benjamin Bones,A,21,The_Mysteries_of_London4
Benjamin Bones,DC,29,The_Mysteries_of_London4
Benjamin Bones,DN,1,The_Mysteries_of_London4
Bilk,N,1,The_Mysteries_of_London4
Bilk,C,0,The_Mysteries_of_London4
Bilk,I,1,The_Mysteries_of_London4
Bilk,A,0,The_Mysteries_of_London4
Bilk,DC,0,The_Mysteries_of_London4
Bilk,DN,3,The_Mysteries_of_London4
Bingham,N,19,The_Mysteries_of_London4
Bingham,C,15,The_Mysteries_of_London4
Bingham,I,4,The_Mysteries_of_London4
Bingham,A,3,The_Mysteries_of_London4
Bingham,DC,3,The_Mysteries_of_London4
Bingham,DN,0,The_Mysteries_of_London4
Captain Barthelma,N,39,The_Mysteries_of_London4
Captain Barthelma,C,24,The_Mysteries_of_London4
Captain Barthelma,I,10,The_Mysteries_of_London4
Captain Barthelma,A,20,The_Mysteries_of_London4
Captain Barthelma,DC,18,The_Mysteries_of_London4
Captain Barthelma,DN,2,The_Mysteries_of_London4
Captain Hatfield,N,4,The_Mysteries_of_London4
Captain Hatfield,C,3,The_Mysteries_of_London4
Captain Hatfield,I,4,The_Mysteries_of_London4
Captain Hatfield,A,8,The_Mysteries_of_London4
Captain Hatfield,DC,0,The_Mysteries_of_London4
Captain Hatfield,DN,0,The_Mysteries_of_London4
Captain O’Blunderbuss,N,67,The_Mysteries_of_London4
Captain O’Blunderbuss,C,41,The_Mysteries_of_London4
Captain O’Blunderbuss,I,18,The_Mysteries_of_London4
Captain O’Blunderbuss,A,35,The_Mysteries_of_London4
Captain O’Blunderbuss,DC,11,The_Mysteries_of_London4
Captain O’Blunderbuss,DN,3,The_Mysteries_of_London4
Carignano,N,8,The_Mysteries_of_London4
Carignano,C,4,The_Mysteries_of_London4
Carignano,I,1,The_Mysteries_of_London4
Carignano,A,4,The_Mysteries_of_London4
Carignano,DC,1,The_Mysteries_of_London4
Carignano,DN,0,The_Mysteries_of_London4
Charles,N,895,The_Mysteries_of_London4
Charles,C,646,The_Mysteries_of_London4
Charles,I,554,The_Mysteries_of_London4
Charles,A,675,The_Mysteries_of_London4
Charles,DC,179,The_Mysteries_of_London4
Charles,DN,68,The_Mysteries_of_London4
