character,tag,count,novel
Agnes Brissenden,N,10,The_Odd_Women
Agnes Brissenden,C,0,The_Odd_Women
Agnes Brissenden,I,2,The_Odd_Women
Agnes Brissenden,A,1,The_Odd_Women
Agnes Brissenden,DC,1,The_Odd_Women
Agnes Brissenden,DN,2,The_Odd_Women
Alice,N,109,The_Odd_Women
Alice,C,42,The_Odd_Women
Alice,I,44,The_Odd_Women
Alice,A,87,The_Odd_Women
Alice,DC,52,The_Odd_Women
Alice,DN,9,The_Odd_Women
Amy Drake,N,12,The_Odd_Women
Amy Drake,C,0,The_Odd_Women
Amy Drake,I,0,The_Odd_Women
Amy Drake,A,2,The_Odd_Women
Amy Drake,DC,11,The_Odd_Women
Amy Drake,DN,0,The_Odd_Women
Bevis,N,90,The_Odd_Women
Bevis,C,45,The_Odd_Women
Bevis,I,35,The_Odd_Women
Bevis,A,60,The_Odd_Women
Bevis,DC,19,The_Odd_Women
Bevis,DN,5,The_Odd_Women
DEAR MR . WIDDOWSON,N,2,The_Odd_Women
DEAR MR . WIDDOWSON,C,2,The_Odd_Women
DEAR MR . WIDDOWSON,I,7,The_Odd_Women
DEAR MR . WIDDOWSON,A,5,The_Odd_Women
DEAR MR . WIDDOWSON,DC,10,The_Odd_Women
DEAR MR . WIDDOWSON,DN,0,The_Odd_Women
Darling,N,1,The_Odd_Women
Darling,C,0,The_Odd_Women
Darling,I,0,The_Odd_Women
Darling,A,2,The_Odd_Women
Darling,DC,1,The_Odd_Women
Darling,DN,1,The_Odd_Women
Dr. Madden,N,14,The_Odd_Women
Dr. Madden,C,8,The_Odd_Women
Dr. Madden,I,16,The_Odd_Women
Dr. Madden,A,14,The_Odd_Women
Dr. Madden,DC,1,The_Odd_Women
Dr. Madden,DN,3,The_Odd_Women
Everard,N,255,The_Odd_Women
Everard,C,355,The_Odd_Women
Everard,I,382,The_Odd_Women
Everard,A,406,The_Odd_Women
Everard,DC,189,The_Odd_Women
Everard,DN,45,The_Odd_Women
Fanny,N,14,The_Odd_Women
Fanny,C,0,The_Odd_Women
Fanny,I,4,The_Odd_Women
Fanny,A,4,The_Odd_Women
Fanny,DC,17,The_Odd_Women
Fanny,DN,1,The_Odd_Women
Gertrude,N,5,The_Odd_Women
Gertrude,C,0,The_Odd_Women
Gertrude,I,0,The_Odd_Women
Gertrude,A,3,The_Odd_Women
Gertrude,DC,0,The_Odd_Women
Gertrude,DN,1,The_Odd_Women
Isabel,N,15,The_Odd_Women
Isabel,C,0,The_Odd_Women
Isabel,I,0,The_Odd_Women
Isabel,A,3,The_Odd_Women
Isabel,DC,5,The_Odd_Women
Isabel,DN,2,The_Odd_Women
Lady Horrocks,N,6,The_Odd_Women
Lady Horrocks,C,4,The_Odd_Women
Lady Horrocks,I,3,The_Odd_Women
Lady Horrocks,A,1,The_Odd_Women
Lady Horrocks,DC,0,The_Odd_Women
Lady Horrocks,DN,0,The_Odd_Women
"MARY,—I",N,1,The_Odd_Women
"MARY,—I",C,0,The_Odd_Women
"MARY,—I",I,2,The_Odd_Women
"MARY,—I",A,0,The_Odd_Women
"MARY,—I",DC,5,The_Odd_Women
"MARY,—I",DN,0,The_Odd_Women
Mary,N,86,The_Odd_Women
Mary,C,30,The_Odd_Women
Mary,I,47,The_Odd_Women
Mary,A,54,The_Odd_Women
Mary,DC,48,The_Odd_Women
Mary,DN,8,The_Odd_Women
Mick,N,5,The_Odd_Women
Mick,C,0,The_Odd_Women
Mick,I,0,The_Odd_Women
Mick,A,0,The_Odd_Women
Mick,DC,2,The_Odd_Women
Mick,DN,0,The_Odd_Women
Micklethwaite,N,45,The_Odd_Women
Micklethwaite,C,77,The_Odd_Women
Micklethwaite,I,56,The_Odd_Women
Micklethwaite,A,96,The_Odd_Women
Micklethwaite,DC,23,The_Odd_Women
Micklethwaite,DN,5,The_Odd_Women
Mildred,N,50,The_Odd_Women
Mildred,C,38,The_Odd_Women
Mildred,I,41,The_Odd_Women
Mildred,A,38,The_Odd_Women
Mildred,DC,15,The_Odd_Women
Mildred,DN,2,The_Odd_Women
Miss Barfoot,N,246,The_Odd_Women
