character,tag,count,novel
Adrian Singleton,N,10,The_Picture_of_Dorian_Gray
Adrian Singleton,C,4,The_Picture_of_Dorian_Gray
Adrian Singleton,I,3,The_Picture_of_Dorian_Gray
Adrian Singleton,A,2,The_Picture_of_Dorian_Gray
Adrian Singleton,DC,5,The_Picture_of_Dorian_Gray
Adrian Singleton,DN,0,The_Picture_of_Dorian_Gray
Alan,N,52,The_Picture_of_Dorian_Gray
Alan,C,15,The_Picture_of_Dorian_Gray
Alan,I,29,The_Picture_of_Dorian_Gray
Alan,A,80,The_Picture_of_Dorian_Gray
Alan,DC,75,The_Picture_of_Dorian_Gray
Alan,DN,17,The_Picture_of_Dorian_Gray
Aunt Agatha,N,3,The_Picture_of_Dorian_Gray
Aunt Agatha,C,0,The_Picture_of_Dorian_Gray
Aunt Agatha,I,0,The_Picture_of_Dorian_Gray
Aunt Agatha,A,2,The_Picture_of_Dorian_Gray
Aunt Agatha,DC,4,The_Picture_of_Dorian_Gray
Aunt Agatha,DN,0,The_Picture_of_Dorian_Gray
Basil,N,207,The_Picture_of_Dorian_Gray
Basil,C,137,The_Picture_of_Dorian_Gray
Basil,I,166,The_Picture_of_Dorian_Gray
Basil,A,148,The_Picture_of_Dorian_Gray
Basil,DC,189,The_Picture_of_Dorian_Gray
Basil,DN,8,The_Picture_of_Dorian_Gray
Berwick,N,1,The_Picture_of_Dorian_Gray
Berwick,C,0,The_Picture_of_Dorian_Gray
Berwick,I,1,The_Picture_of_Dorian_Gray
Berwick,A,2,The_Picture_of_Dorian_Gray
Berwick,DC,3,The_Picture_of_Dorian_Gray
Berwick,DN,0,The_Picture_of_Dorian_Gray
Caliban,N,3,The_Picture_of_Dorian_Gray
Caliban,C,0,The_Picture_of_Dorian_Gray
Caliban,I,2,The_Picture_of_Dorian_Gray
Caliban,A,0,The_Picture_of_Dorian_Gray
Caliban,DC,0,The_Picture_of_Dorian_Gray
Caliban,DN,0,The_Picture_of_Dorian_Gray
Dorian,N,463,The_Picture_of_Dorian_Gray
Dorian,C,373,The_Picture_of_Dorian_Gray
Dorian,I,526,The_Picture_of_Dorian_Gray
Dorian,A,734,The_Picture_of_Dorian_Gray
Dorian,DC,344,The_Picture_of_Dorian_Gray
Dorian,DN,82,The_Picture_of_Dorian_Gray
Duchess,N,10,The_Picture_of_Dorian_Gray
Duchess,C,0,The_Picture_of_Dorian_Gray
Duchess,I,0,The_Picture_of_Dorian_Gray
Duchess,A,1,The_Picture_of_Dorian_Gray
Duchess,DC,10,The_Picture_of_Dorian_Gray
Duchess,DN,0,The_Picture_of_Dorian_Gray
Francis,N,9,The_Picture_of_Dorian_Gray
Francis,C,1,The_Picture_of_Dorian_Gray
Francis,I,0,The_Picture_of_Dorian_Gray
Francis,A,2,The_Picture_of_Dorian_Gray
Francis,DC,7,The_Picture_of_Dorian_Gray
Francis,DN,1,The_Picture_of_Dorian_Gray
Geoffrey,N,12,The_Picture_of_Dorian_Gray
Geoffrey,C,7,The_Picture_of_Dorian_Gray
Geoffrey,I,1,The_Picture_of_Dorian_Gray
Geoffrey,A,6,The_Picture_of_Dorian_Gray
Geoffrey,DC,4,The_Picture_of_Dorian_Gray
Geoffrey,DN,1,The_Picture_of_Dorian_Gray
Giordano Bruno,N,1,The_Picture_of_Dorian_Gray
Giordano Bruno,C,0,The_Picture_of_Dorian_Gray
Giordano Bruno,I,1,The_Picture_of_Dorian_Gray
Giordano Bruno,A,1,The_Picture_of_Dorian_Gray
Giordano Bruno,DC,0,The_Picture_of_Dorian_Gray
Giordano Bruno,DN,0,The_Picture_of_Dorian_Gray
Gladys,N,10,The_Picture_of_Dorian_Gray
Gladys,C,0,The_Picture_of_Dorian_Gray
Gladys,I,1,The_Picture_of_Dorian_Gray
Gladys,A,1,The_Picture_of_Dorian_Gray
Gladys,DC,15,The_Picture_of_Dorian_Gray
Gladys,DN,0,The_Picture_of_Dorian_Gray
God,N,16,The_Picture_of_Dorian_Gray
God,C,0,The_Picture_of_Dorian_Gray
God,I,1,The_Picture_of_Dorian_Gray
God,A,2,The_Picture_of_Dorian_Gray
God,DC,7,The_Picture_of_Dorian_Gray
God,DN,1,The_Picture_of_Dorian_Gray
Harry,N,10,The_Picture_of_Dorian_Gray
Harry,C,2,The_Picture_of_Dorian_Gray
Harry,I,4,The_Picture_of_Dorian_Gray
Harry,A,5,The_Picture_of_Dorian_Gray
