character,tag,count,novel
ANDREW LANG,N,11,The_Pirate
ANDREW LANG,C,2,The_Pirate
ANDREW LANG,I,0,The_Pirate
ANDREW LANG,A,0,The_Pirate
ANDREW LANG,DC,2,The_Pirate
ANDREW LANG,DN,0,The_Pirate
Altamont,N,7,The_Pirate
Altamont,C,0,The_Pirate
Altamont,I,0,The_Pirate
Altamont,A,2,The_Pirate
Altamont,DC,5,The_Pirate
Altamont,DN,0,The_Pirate
Baby,N,77,The_Pirate
Baby,C,58,The_Pirate
Baby,I,29,The_Pirate
Baby,A,36,The_Pirate
Baby,DC,21,The_Pirate
Baby,DN,12,The_Pirate
Barbara,N,8,The_Pirate
Barbara,C,4,The_Pirate
Barbara,I,1,The_Pirate
Barbara,A,1,The_Pirate
Barbara,DC,0,The_Pirate
Barbara,DN,0,The_Pirate
Bartholine,N,2,The_Pirate
Bartholine,C,2,The_Pirate
Bartholine,I,2,The_Pirate
Bartholine,A,0,The_Pirate
Bartholine,DC,0,The_Pirate
Bartholine,DN,0,The_Pirate
Bear,N,1,The_Pirate
Bear,C,0,The_Pirate
Bear,I,0,The_Pirate
Bear,A,2,The_Pirate
Bear,DC,0,The_Pirate
Bear,DN,1,The_Pirate
Bessie Millie,N,3,The_Pirate
Bessie Millie,C,0,The_Pirate
Bessie Millie,I,1,The_Pirate
Bessie Millie,A,1,The_Pirate
Bessie Millie,DC,0,The_Pirate
Bessie Millie,DN,1,The_Pirate
Brenda,N,251,The_Pirate
Brenda,C,163,The_Pirate
Brenda,I,103,The_Pirate
Brenda,A,106,The_Pirate
Brenda,DC,82,The_Pirate
Brenda,DN,14,The_Pirate
Bryce,N,70,The_Pirate
Bryce,C,36,The_Pirate
Bryce,I,15,The_Pirate
Bryce,A,51,The_Pirate
Bryce,DC,32,The_Pirate
Bryce,DN,6,The_Pirate
Bunce,N,179,The_Pirate
Bunce,C,183,The_Pirate
Bunce,I,67,The_Pirate
Bunce,A,118,The_Pirate
Bunce,DC,44,The_Pirate
Bunce,DN,10,The_Pirate
"Bunce--""Now",N,2,The_Pirate
"Bunce--""Now",C,2,The_Pirate
