character,tag,count,novel
Andrey,N,4,The_Return_of_the_Native
Andrey,C,0,The_Return_of_the_Native
Andrey,I,0,The_Return_of_the_Native
Andrey,A,4,The_Return_of_the_Native
Andrey,DC,4,The_Return_of_the_Native
Andrey,DN,0,The_Return_of_the_Native
Aunt,N,3,The_Return_of_the_Native
Aunt,C,0,The_Return_of_the_Native
Aunt,I,8,The_Return_of_the_Native
Aunt,A,10,The_Return_of_the_Native
Aunt,DC,23,The_Return_of_the_Native
Aunt,DN,0,The_Return_of_the_Native
Buonaparte,N,5,The_Return_of_the_Native
Buonaparte,C,0,The_Return_of_the_Native
Buonaparte,I,0,The_Return_of_the_Native
Buonaparte,A,1,The_Return_of_the_Native
Buonaparte,DC,0,The_Return_of_the_Native
Buonaparte,DN,0,The_Return_of_the_Native
Captain Vye,N,14,The_Return_of_the_Native
Captain Vye,C,2,The_Return_of_the_Native
Captain Vye,I,1,The_Return_of_the_Native
Captain Vye,A,8,The_Return_of_the_Native
Captain Vye,DC,12,The_Return_of_the_Native
Captain Vye,DN,0,The_Return_of_the_Native
Cap’n Vye,N,3,The_Return_of_the_Native
Cap’n Vye,C,0,The_Return_of_the_Native
Cap’n Vye,I,2,The_Return_of_the_Native
Cap’n Vye,A,5,The_Return_of_the_Native
Cap’n Vye,DC,7,The_Return_of_the_Native
Cap’n Vye,DN,0,The_Return_of_the_Native
Charley,N,62,The_Return_of_the_Native
Charley,C,38,The_Return_of_the_Native
Charley,I,37,The_Return_of_the_Native
Charley,A,54,The_Return_of_the_Native
Charley,DC,46,The_Return_of_the_Native
Charley,DN,4,The_Return_of_the_Native
Christian,N,124,The_Return_of_the_Native
Christian,C,120,The_Return_of_the_Native
Christian,I,75,The_Return_of_the_Native
Christian,A,118,The_Return_of_the_Native
Christian,DC,62,The_Return_of_the_Native
Christian,DN,3,The_Return_of_the_Native
Clym,N,350,The_Return_of_the_Native
Clym,C,290,The_Return_of_the_Native
Clym,I,249,The_Return_of_the_Native
Clym,A,431,The_Return_of_the_Native
Clym,DC,170,The_Return_of_the_Native
Clym,DN,55,The_Return_of_the_Native
Damon,N,31,The_Return_of_the_Native
Damon,C,0,The_Return_of_the_Native
Damon,I,18,The_Return_of_the_Native
Damon,A,39,The_Return_of_the_Native
Damon,DC,74,The_Return_of_the_Native
Damon,DN,1,The_Return_of_the_Native
Diggory,N,4,The_Return_of_the_Native
Diggory,C,0,The_Return_of_the_Native
Diggory,I,6,The_Return_of_the_Native
Diggory,A,6,The_Return_of_the_Native
Diggory,DC,0,The_Return_of_the_Native
Diggory,DN,0,The_Return_of_the_Native
Egdon,N,9,The_Return_of_the_Native
Egdon,C,0,The_Return_of_the_Native
Egdon,I,1,The_Return_of_the_Native
Egdon,A,2,The_Return_of_the_Native
Egdon,DC,3,The_Return_of_the_Native
Egdon,DN,1,The_Return_of_the_Native
Eustacia,N,563,The_Return_of_the_Native
Eustacia,C,416,The_Return_of_the_Native
Eustacia,I,384,The_Return_of_the_Native
Eustacia,A,589,The_Return_of_the_Native
Eustacia,DC,152,The_Return_of_the_Native
Eustacia,DN,84,The_Return_of_the_Native
Fairway,N,124,The_Return_of_the_Native
Fairway,C,144,The_Return_of_the_Native
Fairway,I,43,The_Return_of_the_Native
Fairway,A,53,The_Return_of_the_Native
Fairway,DC,22,The_Return_of_the_Native
Fairway,DN,2,The_Return_of_the_Native
Father Christmas,N,10,The_Return_of_the_Native
Father Christmas,C,2,The_Return_of_the_Native
Father Christmas,I,0,The_Return_of_the_Native
Father Christmas,A,5,The_Return_of_the_Native
Father Christmas,DC,4,The_Return_of_the_Native
Father Christmas,DN,0,The_Return_of_the_Native
God,N,23,The_Return_of_the_Native
God,C,0,The_Return_of_the_Native
God,I,0,The_Return_of_the_Native
God,A,4,The_Return_of_the_Native
God,DC,15,The_Return_of_the_Native
God,DN,0,The_Return_of_the_Native
Grandfer Cantle,N,63,The_Return_of_the_Native
Grandfer Cantle,C,58,The_Return_of_the_Native
Grandfer Cantle,I,24,The_Return_of_the_Native
Grandfer Cantle,A,26,The_Return_of_the_Native
Grandfer Cantle,DC,11,The_Return_of_the_Native
Grandfer Cantle,DN,1,The_Return_of_the_Native
Granfer Cantle,N,1,The_Return_of_the_Native
Granfer Cantle,C,2,The_Return_of_the_Native
Granfer Cantle,I,0,The_Return_of_the_Native
Granfer Cantle,A,3,The_Return_of_the_Native
Granfer Cantle,DC,0,The_Return_of_the_Native
Granfer Cantle,DN,0,The_Return_of_the_Native
Humphrey,N,47,The_Return_of_the_Native
Humphrey,C,42,The_Return_of_the_Native
Humphrey,I,22,The_Return_of_the_Native
Humphrey,A,26,The_Return_of_the_Native
