character,tag,count,novel
Alison,N,125,The_Story_of_a_Modern_Woman
Alison,C,73,The_Story_of_a_Modern_Woman
Alison,I,49,The_Story_of_a_Modern_Woman
Alison,A,80,The_Story_of_a_Modern_Woman
Alison,DC,18,The_Story_of_a_Modern_Woman
Alison,DN,15,The_Story_of_a_Modern_Woman
Aunt Julia,N,5,The_Story_of_a_Modern_Woman
Aunt Julia,C,1,The_Story_of_a_Modern_Woman
Aunt Julia,I,0,The_Story_of_a_Modern_Woman
Aunt Julia,A,0,The_Story_of_a_Modern_Woman
Aunt Julia,DC,2,The_Story_of_a_Modern_Woman
Aunt Julia,DN,1,The_Story_of_a_Modern_Woman
Beaufy,N,11,The_Story_of_a_Modern_Woman
Beaufy,C,18,The_Story_of_a_Modern_Woman
Beaufy,I,12,The_Story_of_a_Modern_Woman
Beaufy,A,6,The_Story_of_a_Modern_Woman
Beaufy,DC,0,The_Story_of_a_Modern_Woman
Beaufy,DN,0,The_Story_of_a_Modern_Woman
Dear Sir Dunlop,N,1,The_Story_of_a_Modern_Woman
Dear Sir Dunlop,C,0,The_Story_of_a_Modern_Woman
Dear Sir Dunlop,I,1,The_Story_of_a_Modern_Woman
Dear Sir Dunlop,A,1,The_Story_of_a_Modern_Woman
Dear Sir Dunlop,DC,4,The_Story_of_a_Modern_Woman
Dear Sir Dunlop,DN,0,The_Story_of_a_Modern_Woman
Dr. Danby,N,7,The_Story_of_a_Modern_Woman
Dr. Danby,C,0,The_Story_of_a_Modern_Woman
Dr. Danby,I,0,The_Story_of_a_Modern_Woman
Dr. Danby,A,3,The_Story_of_a_Modern_Woman
Dr. Danby,DC,3,The_Story_of_a_Modern_Woman
Dr. Danby,DN,0,The_Story_of_a_Modern_Woman
Dr. Dunlop Strange,N,35,The_Story_of_a_Modern_Woman
Dr. Dunlop Strange,C,9,The_Story_of_a_Modern_Woman
Dr. Dunlop Strange,I,26,The_Story_of_a_Modern_Woman
Dr. Dunlop Strange,A,40,The_Story_of_a_Modern_Woman
Dr. Dunlop Strange,DC,16,The_Story_of_a_Modern_Woman
Dr. Dunlop Strange,DN,14,The_Story_of_a_Modern_Woman
Elijah Higgins,N,2,The_Story_of_a_Modern_Woman
Elijah Higgins,C,0,The_Story_of_a_Modern_Woman
Elijah Higgins,I,5,The_Story_of_a_Modern_Woman
Elijah Higgins,A,3,The_Story_of_a_Modern_Woman
Elijah Higgins,DC,0,The_Story_of_a_Modern_Woman
Elijah Higgins,DN,2,The_Story_of_a_Modern_Woman
Elizabeth,N,5,The_Story_of_a_Modern_Woman
Elizabeth,C,3,The_Story_of_a_Modern_Woman
Elizabeth,I,0,The_Story_of_a_Modern_Woman
Elizabeth,A,0,The_Story_of_a_Modern_Woman
Elizabeth,DC,0,The_Story_of_a_Modern_Woman
Elizabeth,DN,0,The_Story_of_a_Modern_Woman
Evelina,N,22,The_Story_of_a_Modern_Woman
Evelina,C,7,The_Story_of_a_Modern_Woman
Evelina,I,9,The_Story_of_a_Modern_Woman
Evelina,A,18,The_Story_of_a_Modern_Woman
Evelina,DC,15,The_Story_of_a_Modern_Woman
Evelina,DN,4,The_Story_of_a_Modern_Woman
Jimmie,N,42,The_Story_of_a_Modern_Woman
Jimmie,C,15,The_Story_of_a_Modern_Woman
Jimmie,I,7,The_Story_of_a_Modern_Woman
Jimmie,A,12,The_Story_of_a_Modern_Woman
Jimmie,DC,20,The_Story_of_a_Modern_Woman
Jimmie,DN,5,The_Story_of_a_Modern_Woman
Joe,N,4,The_Story_of_a_Modern_Woman
Joe,C,0,The_Story_of_a_Modern_Woman
Joe,I,0,The_Story_of_a_Modern_Woman
Joe,A,3,The_Story_of_a_Modern_Woman
Joe,DC,1,The_Story_of_a_Modern_Woman
Joe,DN,1,The_Story_of_a_Modern_Woman
Lady Blay,N,3,The_Story_of_a_Modern_Woman
Lady Blay,C,1,The_Story_of_a_Modern_Woman
Lady Blay,I,0,The_Story_of_a_Modern_Woman
Lady Blay,A,1,The_Story_of_a_Modern_Woman
Lady Blay,DC,8,The_Story_of_a_Modern_Woman
Lady Blay,DN,0,The_Story_of_a_Modern_Woman
Lady Blaythewaite,N,24,The_Story_of_a_Modern_Woman
Lady Blaythewaite,C,1,The_Story_of_a_Modern_Woman
Lady Blaythewaite,I,10,The_Story_of_a_Modern_Woman
Lady Blaythewaite,A,11,The_Story_of_a_Modern_Woman
Lady Blaythewaite,DC,22,The_Story_of_a_Modern_Woman
Lady Blaythewaite,DN,0,The_Story_of_a_Modern_Woman
Lady Jane,N,67,The_Story_of_a_Modern_Woman
Lady Jane,C,28,The_Story_of_a_Modern_Woman
Lady Jane,I,21,The_Story_of_a_Modern_Woman
Lady Jane,A,30,The_Story_of_a_Modern_Woman
Lady Jane,DC,14,The_Story_of_a_Modern_Woman
Lady Jane,DN,10,The_Story_of_a_Modern_Woman
Mary,N,362,The_Story_of_a_Modern_Woman
Mary,C,184,The_Story_of_a_Modern_Woman
Mary,I,267,The_Story_of_a_Modern_Woman
Mary,A,334,The_Story_of_a_Modern_Woman
Mary,DC,106,The_Story_of_a_Modern_Woman
Mary,DN,43,The_Story_of_a_Modern_Woman
Miss Erle,N,25,The_Story_of_a_Modern_Woman
