character,tag,count,novel
Alice,N,42,Trilby
Alice,C,1,Trilby
Alice,I,4,Trilby
Alice,A,13,Trilby
Alice,DC,19,Trilby
Alice,DN,1,Trilby
Angèle Boisse,N,22,Trilby
Angèle Boisse,C,1,Trilby
Angèle Boisse,I,1,Trilby
Angèle Boisse,A,2,Trilby
Angèle Boisse,DC,5,Trilby
Angèle Boisse,DN,0,Trilby
Antony,N,22,Trilby
Antony,C,8,Trilby
Antony,I,11,Trilby
Antony,A,13,Trilby
Antony,DC,1,Trilby
Antony,DN,8,Trilby
Bach,N,9,Trilby
Bach,C,0,Trilby
Bach,I,0,Trilby
Bach,A,1,Trilby
Bach,DC,2,Trilby
Bach,DN,0,Trilby
Barizel,N,4,Trilby
Barizel,C,1,Trilby
Barizel,I,0,Trilby
Barizel,A,0,Trilby
Barizel,DC,0,Trilby
Barizel,DN,0,Trilby
Bastide Lendormi,N,2,Trilby
Bastide Lendormi,C,0,Trilby
Bastide Lendormi,I,1,Trilby
Bastide Lendormi,A,0,Trilby
Bastide Lendormi,DC,3,Trilby
Bastide Lendormi,DN,0,Trilby
Ben Bolt,N,22,Trilby
Ben Bolt,C,1,Trilby
Ben Bolt,I,0,Trilby
Ben Bolt,A,0,Trilby
Ben Bolt,DC,14,Trilby
Ben Bolt,DN,0,Trilby
Blanche Bagot,N,5,Trilby
Blanche Bagot,C,1,Trilby
Blanche Bagot,I,1,Trilby
Blanche Bagot,A,3,Trilby
Blanche Bagot,DC,0,Trilby
Blanche Bagot,DN,1,Trilby
Bouchardy,N,5,Trilby
Bouchardy,C,3,Trilby
Bouchardy,I,1,Trilby
Bouchardy,A,1,Trilby
Bouchardy,DC,0,Trilby
Bouchardy,DN,0,Trilby
Carnegie,N,9,Trilby
Carnegie,C,0,Trilby
Carnegie,I,1,Trilby
Carnegie,A,4,Trilby
Carnegie,DC,0,Trilby
Carnegie,DN,3,Trilby
Carrel,N,38,Trilby
Carrel,C,6,Trilby
Carrel,I,2,Trilby
Carrel,A,10,Trilby
Carrel,DC,8,Trilby
Carrel,DN,1,Trilby
Chopin,N,14,Trilby
Chopin,C,0,Trilby
Chopin,I,0,Trilby
Chopin,A,1,Trilby
Chopin,DC,1,Trilby
Chopin,DN,1,Trilby
Circe,N,3,Trilby
Circe,C,0,Trilby
Circe,I,0,Trilby
Circe,A,0,Trilby
Circe,DC,2,Trilby
Circe,DN,1,Trilby
Clytie,N,2,Trilby
Clytie,C,0,Trilby
Clytie,I,0,Trilby
Clytie,A,1,Trilby
Clytie,DC,0,Trilby
Clytie,DN,0,Trilby
Dame Nature,N,1,Trilby
Dame Nature,C,0,Trilby
Dame Nature,I,1,Trilby
Dame Nature,A,1,Trilby
Dame Nature,DC,0,Trilby
Dame Nature,DN,0,Trilby
Dickens,N,5,Trilby
Dickens,C,0,Trilby
Dickens,I,1,Trilby
Dickens,A,0,Trilby
Dickens,DC,0,Trilby
Dickens,DN,0,Trilby
Dodor,N,51,Trilby
Dodor,C,4,Trilby
Dodor,I,7,Trilby
Dodor,A,18,Trilby
Dodor,DC,13,Trilby
Dodor,DN,3,Trilby
Drilpy,N,8,Trilby
Drilpy,C,0,Trilby
Drilpy,I,2,Trilby
Drilpy,A,2,Trilby
Drilpy,DC,0,Trilby
Drilpy,DN,1,Trilby
Durien,N,38,Trilby
Durien,C,8,Trilby
Durien,I,2,Trilby
Durien,A,8,Trilby
Durien,DC,12,Trilby
Durien,DN,4,Trilby
Gecko,N,78,Trilby
Gecko,C,45,Trilby
Gecko,I,24,Trilby
Gecko,A,51,Trilby
Gecko,DC,14,Trilby
Gecko,DN,7,Trilby
Glorioli,N,7,Trilby
Glorioli,C,2,Trilby
Glorioli,I,0,Trilby
Glorioli,A,6,Trilby
Glorioli,DC,0,Trilby
Glorioli,DN,1,Trilby
God,N,14,Trilby
God,C,0,Trilby
God,I,2,Trilby
God,A,2,Trilby
God,DC,17,Trilby
God,DN,1,Trilby
Gontran,N,5,Trilby
Gontran,C,2,Trilby
Gontran,I,0,Trilby
Gontran,A,5,Trilby
Gontran,DC,0,Trilby
Gontran,DN,4,Trilby
HARPER & BROTHERS,N,5,Trilby
HARPER & BROTHERS,C,5,Trilby
HARPER & BROTHERS,I,0,Trilby
HARPER & BROTHERS,A,0,Trilby
HARPER & BROTHERS,DC,0,Trilby
HARPER & BROTHERS,DN,0,Trilby
Heaven,N,9,Trilby
Heaven,C,0,Trilby
Heaven,I,4,Trilby
Heaven,A,0,Trilby
Heaven,DC,2,Trilby
Heaven,DN,0,Trilby
Herr Blagner,N,1,Trilby
Herr Blagner,C,2,Trilby
Herr Blagner,I,0,Trilby
Herr Blagner,A,1,Trilby
Herr Blagner,DC,0,Trilby
Herr Blagner,DN,0,Trilby
Herr Kreutzer,N,1,Trilby
Herr Kreutzer,C,5,Trilby
Herr Kreutzer,I,1,Trilby
Herr Kreutzer,A,1,Trilby
Herr Kreutzer,DC,1,Trilby
Herr Kreutzer,DN,0,Trilby
Himmel,N,5,Trilby
Himmel,C,0,Trilby
Himmel,I,1,Trilby
Himmel,A,5,Trilby
Himmel,DC,3,Trilby
Himmel,DN,2,Trilby
Honorine,N,4,Trilby
Honorine,C,1,Trilby
Honorine,I,0,Trilby
Honorine,A,0,Trilby
Honorine,DC,0,Trilby
Honorine,DN,1,Trilby
Jeannot,N,19,Trilby
Jeannot,C,0,Trilby
Jeannot,I,2,Trilby
Jeannot,A,6,Trilby
Jeannot,DC,17,Trilby
Jeannot,DN,0,Trilby
Jules Guinot,N,4,Trilby
Jules Guinot,C,4,Trilby
Jules Guinot,I,0,Trilby
Jules Guinot,A,0,Trilby
Jules Guinot,DC,0,Trilby
Jules Guinot,DN,0,Trilby
Lady Cornelys,N,3,Trilby
Lady Cornelys,C,0,Trilby
Lady Cornelys,I,0,Trilby
Lady Cornelys,A,0,Trilby
Lady Cornelys,DC,0,Trilby
Lady Cornelys,DN,0,Trilby
Lambert,N,3,Trilby
Lambert,C,2,Trilby
Lambert,I,3,Trilby
Lambert,A,0,Trilby
Lambert,DC,0,Trilby
Lambert,DN,0,Trilby
Litrebili,N,6,Trilby
Litrebili,C,0,Trilby
Litrebili,I,0,Trilby
Litrebili,A,0,Trilby
Litrebili,DC,2,Trilby
Litrebili,DN,0,Trilby
Little Billee,N,353,Trilby
Little Billee,C,288,Trilby
Little Billee,I,293,Trilby
Little Billee,A,434,Trilby
Little Billee,DC,50,Trilby
Little Billee,DN,86,Trilby
Little Dodors,N,3,Trilby
Little Dodors,C,0,Trilby
Little Dodors,I,0,Trilby
Little Dodors,A,2,Trilby
Little Dodors,DC,2,Trilby
Little Dodors,DN,2,Trilby
Lord Byron,N,3,Trilby
Lord Byron,C,1,Trilby
Lord Byron,I,1,Trilby
Lord Byron,A,0,Trilby
Lord Byron,DC,3,Trilby
Lord Byron,DN,0,Trilby
Lorrimer,N,19,Trilby
Lorrimer,C,6,Trilby
Lorrimer,I,0,Trilby
Lorrimer,A,3,Trilby
Lorrimer,DC,0,Trilby
Lorrimer,DN,1,Trilby
Madame Alboni,N,8,Trilby
Madame Alboni,C,0,Trilby
Madame Alboni,I,0,Trilby
Madame Alboni,A,1,Trilby
Madame Alboni,DC,5,Trilby
Madame Alboni,DN,0,Trilby
Madame Cantharidi,N,9,Trilby
Madame Cantharidi,C,5,Trilby
Madame Cantharidi,I,2,Trilby
Madame Cantharidi,A,3,Trilby
Madame Cantharidi,DC,1,Trilby
Madame Cantharidi,DN,5,Trilby
Madame Paul,N,6,Trilby
Madame Paul,C,3,Trilby
Madame Paul,I,0,Trilby
Madame Paul,A,1,Trilby
Madame Paul,DC,0,Trilby
Madame Paul,DN,2,Trilby
Madame Vinard,N,20,Trilby
Madame Vinard,C,21,Trilby
Madame Vinard,I,3,Trilby
Madame Vinard,A,10,Trilby
Madame Vinard,DC,1,Trilby
Madame Vinard,DN,2,Trilby
Madame la Maréchale - Duchesse,N,2,Trilby
Madame la Maréchale - Duchesse,C,0,Trilby
Madame la Maréchale - Duchesse,I,1,Trilby
Madame la Maréchale - Duchesse,A,0,Trilby
Madame la Maréchale - Duchesse,DC,0,Trilby
Madame la Maréchale - Duchesse,DN,0,Trilby
Mademoiselle Ernestine,N,3,Trilby
Mademoiselle Ernestine,C,0,Trilby
Mademoiselle Ernestine,I,1,Trilby
Mademoiselle Ernestine,A,1,Trilby
Mademoiselle Ernestine,DC,0,Trilby
Mademoiselle Ernestine,DN,2,Trilby
Mademoiselle Honorine Cahen,N,1,Trilby
Mademoiselle Honorine Cahen,C,1,Trilby
Mademoiselle Honorine Cahen,I,0,Trilby
Mademoiselle Honorine Cahen,A,2,Trilby
Mademoiselle Honorine Cahen,DC,1,Trilby
Mademoiselle Honorine Cahen,DN,2,Trilby
Malbrouck,N,6,Trilby
Malbrouck,C,0,Trilby
Malbrouck,I,0,Trilby
Malbrouck,A,1,Trilby
Malbrouck,DC,2,Trilby
Malbrouck,DN,0,Trilby
Maman Duchesse,N,4,Trilby
Maman Duchesse,C,0,Trilby
Maman Duchesse,I,0,Trilby
Maman Duchesse,A,1,Trilby
Maman Duchesse,DC,2,Trilby
Maman Duchesse,DN,0,Trilby
Mamma,N,4,Trilby
Mamma,C,0,Trilby
Mamma,I,0,Trilby
Mamma,A,3,Trilby
Mamma,DC,4,Trilby
Mamma,DN,3,Trilby
Marta,N,35,Trilby
Marta,C,4,Trilby
Marta,I,7,Trilby
Marta,A,22,Trilby
Marta,DC,20,Trilby
Marta,DN,1,Trilby
Martin,N,15,Trilby
Martin,C,2,Trilby
Martin,I,1,Trilby
Martin,A,8,Trilby
Martin,DC,13,Trilby
Martin,DN,3,Trilby
Mathieu,N,6,Trilby
Mathieu,C,0,Trilby
Mathieu,I,0,Trilby
Mathieu,A,0,Trilby
Mathieu,DC,3,Trilby
Mathieu,DN,0,Trilby
Mimi la Salope,N,7,Trilby
Mimi la Salope,C,5,Trilby
Mimi la Salope,I,4,Trilby
Mimi la Salope,A,13,Trilby
Mimi la Salope,DC,5,Trilby
Mimi la Salope,DN,1,Trilby
Mironton,N,9,Trilby
Mironton,C,1,Trilby
Mironton,I,0,Trilby
Mironton,A,0,Trilby
Mironton,DC,4,Trilby
Mironton,DN,1,Trilby
Miss Bagot,N,6,Trilby
Miss Bagot,C,0,Trilby
Miss Bagot,I,0,Trilby
