character,tag,count,novel
Achilles,N,5,Vanity_Fair_1847
Achilles,C,0,Vanity_Fair_1847
Achilles,I,0,Vanity_Fair_1847
Achilles,A,1,Vanity_Fair_1847
Achilles,DC,1,Vanity_Fair_1847
Achilles,DN,1,Vanity_Fair_1847
Aegisthus,N,3,Vanity_Fair_1847
Aegisthus,C,0,Vanity_Fair_1847
Aegisthus,I,0,Vanity_Fair_1847
Aegisthus,A,1,Vanity_Fair_1847
Aegisthus,DC,0,Vanity_Fair_1847
Aegisthus,DN,0,Vanity_Fair_1847
Amelia,N,683,Vanity_Fair_1847
Amelia,C,137,Vanity_Fair_1847
Amelia,I,243,Vanity_Fair_1847
Amelia,A,408,Vanity_Fair_1847
Amelia,DC,184,Vanity_Fair_1847
Amelia,DN,116,Vanity_Fair_1847
Arabella,N,5,Vanity_Fair_1847
Arabella,C,3,Vanity_Fair_1847
Arabella,I,0,Vanity_Fair_1847
Arabella,A,3,Vanity_Fair_1847
Arabella,DC,1,Vanity_Fair_1847
Arabella,DN,0,Vanity_Fair_1847
Barbara,N,6,Vanity_Fair_1847
Barbara,C,1,Vanity_Fair_1847
Barbara,I,1,Vanity_Fair_1847
Barbara,A,0,Vanity_Fair_1847
Barbara,DC,0,Vanity_Fair_1847
Barbara,DN,0,Vanity_Fair_1847
Bart,N,6,Vanity_Fair_1847
Bart,C,0,Vanity_Fair_1847
Bart,I,0,Vanity_Fair_1847
Bart,A,1,Vanity_Fair_1847
Bart,DC,0,Vanity_Fair_1847
Bart,DN,1,Vanity_Fair_1847
Beauty,N,3,Vanity_Fair_1847
Beauty,C,0,Vanity_Fair_1847
Beauty,I,0,Vanity_Fair_1847
Beauty,A,2,Vanity_Fair_1847
Beauty,DC,0,Vanity_Fair_1847
Beauty,DN,2,Vanity_Fair_1847
Becky,N,741,Vanity_Fair_1847
Becky,C,302,Vanity_Fair_1847
Becky,I,350,Vanity_Fair_1847
Becky,A,731,Vanity_Fair_1847
Becky,DC,101,Vanity_Fair_1847
Becky,DN,134,Vanity_Fair_1847
Bedwin,N,5,Vanity_Fair_1847
Bedwin,C,0,Vanity_Fair_1847
Bedwin,I,1,Vanity_Fair_1847
Bedwin,A,3,Vanity_Fair_1847
Bedwin,DC,0,Vanity_Fair_1847
Bedwin,DN,2,Vanity_Fair_1847
Bessy,N,2,Vanity_Fair_1847
Bessy,C,0,Vanity_Fair_1847
Bessy,I,0,Vanity_Fair_1847
Bessy,A,0,Vanity_Fair_1847
Bessy,DC,0,Vanity_Fair_1847
Bessy,DN,1,Vanity_Fair_1847
Betty,N,9,Vanity_Fair_1847
Betty,C,2,Vanity_Fair_1847
Betty,I,0,Vanity_Fair_1847
Betty,A,5,Vanity_Fair_1847
Betty,DC,0,Vanity_Fair_1847
Betty,DN,1,Vanity_Fair_1847
Betty Flanagan,N,3,Vanity_Fair_1847
Betty Flanagan,C,0,Vanity_Fair_1847
Betty Flanagan,I,0,Vanity_Fair_1847
Betty Flanagan,A,0,Vanity_Fair_1847
Betty Flanagan,DC,0,Vanity_Fair_1847
