character,tag,count,novel
Adolph,N,3,Vivian_Grey
Adolph,C,1,Vivian_Grey
Adolph,I,0,Vivian_Grey
Adolph,A,1,Vivian_Grey
Adolph,DC,0,Vivian_Grey
Adolph,DN,0,Vivian_Grey
Albert,N,26,Vivian_Grey
Albert,C,0,Vivian_Grey
Albert,I,3,Vivian_Grey
Albert,A,7,Vivian_Grey
Albert,DC,26,Vivian_Grey
Albert,DN,0,Vivian_Grey
Amalia,N,8,Vivian_Grey
Amalia,C,0,Vivian_Grey
Amalia,I,2,Vivian_Grey
Amalia,A,2,Vivian_Grey
Amalia,DC,9,Vivian_Grey
Amalia,DN,1,Vivian_Grey
Arnelm,N,19,Vivian_Grey
Arnelm,C,0,Vivian_Grey
Arnelm,I,0,Vivian_Grey
Arnelm,A,3,Vivian_Grey
Arnelm,DC,4,Vivian_Grey
Arnelm,DN,2,Vivian_Grey
Asmanshausen,N,8,Vivian_Grey
Asmanshausen,C,2,Vivian_Grey
Asmanshausen,I,1,Vivian_Grey
Asmanshausen,A,2,Vivian_Grey
Asmanshausen,DC,0,Vivian_Grey
Asmanshausen,DN,1,Vivian_Grey
Aubrey Vere,N,2,Vivian_Grey
Aubrey Vere,C,0,Vivian_Grey
Aubrey Vere,I,3,Vivian_Grey
Aubrey Vere,A,2,Vivian_Grey
Aubrey Vere,DC,4,Vivian_Grey
Aubrey Vere,DN,0,Vivian_Grey
Augustus Clay,N,4,Vivian_Grey
Augustus Clay,C,0,Vivian_Grey
Augustus Clay,I,0,Vivian_Grey
Augustus Clay,A,0,Vivian_Grey
Augustus Clay,DC,3,Vivian_Grey
Augustus Clay,DN,0,Vivian_Grey
Aurelia,N,17,Vivian_Grey
Aurelia,C,2,Vivian_Grey
Aurelia,I,2,Vivian_Grey
Aurelia,A,4,Vivian_Grey
Aurelia,DC,7,Vivian_Grey
Aurelia,DN,3,Vivian_Grey
Baron von Konigstein,N,46,Vivian_Grey
Baron von Konigstein,C,4,Vivian_Grey
Baron von Konigstein,I,10,Vivian_Grey
Baron von Konigstein,A,34,Vivian_Grey
