character,tag,count,novel
A CONFIDANT Waverley,N,2,Waverley
A CONFIDANT Waverley,C,2,Waverley
A CONFIDANT Waverley,I,5,Waverley
A CONFIDANT Waverley,A,3,Waverley
A CONFIDANT Waverley,DC,1,Waverley
A CONFIDANT Waverley,DN,0,Waverley
A RECONCILIATION Waverley,N,2,Waverley
A RECONCILIATION Waverley,C,2,Waverley
A RECONCILIATION Waverley,I,0,Waverley
A RECONCILIATION Waverley,A,5,Waverley
A RECONCILIATION Waverley,DC,0,Waverley
A RECONCILIATION Waverley,DN,0,Waverley
A.,N,2,Waverley
A.,C,2,Waverley
A.,I,2,Waverley
A.,A,4,Waverley
A.,DC,0,Waverley
A.,DN,1,Waverley
Adam,N,4,Waverley
Adam,C,0,Waverley
Adam,I,0,Waverley
Adam,A,0,Waverley
Adam,DC,0,Waverley
Adam,DN,0,Waverley
Alice,N,17,Waverley
Alice,C,4,Waverley
Alice,I,8,Waverley
Alice,A,24,Waverley
Alice,DC,4,Waverley
Alice,DN,4,Waverley
Alick,N,11,Waverley
Alick,C,6,Waverley
Alick,I,1,Waverley
Alick,A,7,Waverley
Alick,DC,2,Waverley
Alick,DN,1,Waverley
Allan Ramsay,N,3,Waverley
Allan Ramsay,C,0,Waverley
Allan Ramsay,I,0,Waverley
Allan Ramsay,A,2,Waverley
Allan Ramsay,DC,0,Waverley
Allan Ramsay,DN,1,Waverley
Amhurst,N,4,Waverley
Amhurst,C,1,Waverley
Amhurst,I,0,Waverley
Amhurst,A,2,Waverley
Amhurst,DC,0,Waverley
Amhurst,DN,1,Waverley
Arthur,N,4,Waverley
Arthur,C,0,Waverley
Arthur,I,0,Waverley
Arthur,A,0,Waverley
Arthur,DC,1,Waverley
Arthur,DN,0,Waverley
Aunt Rachel,N,15,Waverley
Aunt Rachel,C,0,Waverley
Aunt Rachel,I,10,Waverley
Aunt Rachel,A,2,Waverley
Aunt Rachel,DC,1,Waverley
Aunt Rachel,DN,1,Waverley
B.,N,4,Waverley
B.,C,1,Waverley
B.,I,0,Waverley
B.,A,1,Waverley
B.,DC,0,Waverley
B.,DN,0,Waverley
Bailie Macwheeble,N,55,Waverley
Bailie Macwheeble,C,20,Waverley
Bailie Macwheeble,I,20,Waverley
Bailie Macwheeble,A,29,Waverley
Bailie Macwheeble,DC,5,Waverley
Bailie Macwheeble,DN,2,Waverley
Balmawhapple,N,30,Waverley
Balmawhapple,C,10,Waverley
Balmawhapple,I,7,Waverley
Balmawhapple,A,12,Waverley
Balmawhapple,DC,5,Waverley
Balmawhapple,DN,1,Waverley
Ben Jonson,N,4,Waverley
Ben Jonson,C,0,Waverley
Ben Jonson,I,0,Waverley
Ben Jonson,A,0,Waverley
Ben Jonson,DC,0,Waverley
Ben Jonson,DN,0,Waverley
Bran,N,5,Waverley
Bran,C,0,Waverley
Bran,I,0,Waverley
Bran,A,0,Waverley
Bran,DC,1,Waverley
Bran,DN,0,Waverley
Bridoon,N,3,Waverley
Bridoon,C,0,Waverley
Bridoon,I,1,Waverley
Bridoon,A,2,Waverley
Bridoon,DC,0,Waverley
Bridoon,DN,0,Waverley
Cairnvreckan,N,4,Waverley
Cairnvreckan,C,0,Waverley
Cairnvreckan,I,5,Waverley
Cairnvreckan,A,2,Waverley
Cairnvreckan,DC,0,Waverley
Cairnvreckan,DN,4,Waverley
Caleb,N,4,Waverley
Caleb,C,0,Waverley
Caleb,I,0,Waverley
Caleb,A,1,Waverley
Caleb,DC,0,Waverley
Caleb,DN,0,Waverley
Callum,N,67,Waverley
Callum,C,29,Waverley
Callum,I,6,Waverley
Callum,A,31,Waverley
Callum,DC,15,Waverley
Callum,DN,5,Waverley
Cathleen,N,12,Waverley
Cathleen,C,0,Waverley
Cathleen,I,1,Waverley
Cathleen,A,2,Waverley
Cathleen,DC,2,Waverley
Cathleen,DN,0,Waverley
Colonel Gardiner,N,32,Waverley
Colonel Gardiner,C,5,Waverley
Colonel Gardiner,I,8,Waverley
Colonel Gardiner,A,20,Waverley
Colonel Gardiner,DC,10,Waverley
Colonel Gardiner,DN,4,Waverley
Colonel Mac - Ivor,N,14,Waverley
Colonel Mac - Ivor,C,6,Waverley
Colonel Mac - Ivor,I,2,Waverley
Colonel Mac - Ivor,A,7,Waverley
Colonel Mac - Ivor,DC,12,Waverley
Colonel Mac - Ivor,DN,3,Waverley
Colonel Stewart,N,4,Waverley
Colonel Stewart,C,0,Waverley
Colonel Stewart,I,1,Waverley
Colonel Stewart,A,2,Waverley
Colonel Stewart,DC,0,Waverley
Colonel Stewart,DN,0,Waverley
Colonel Talbot,N,91,Waverley
Colonel Talbot,C,61,Waverley
Colonel Talbot,I,33,Waverley
Colonel Talbot,A,46,Waverley
Colonel Talbot,DC,19,Waverley
Colonel Talbot,DN,9,Waverley
Colonel Whitefoord,N,5,Waverley
Colonel Whitefoord,C,0,Waverley
Colonel Whitefoord,I,0,Waverley
Colonel Whitefoord,A,1,Waverley
Colonel Whitefoord,DC,0,Waverley
Colonel Whitefoord,DN,0,Waverley
Comberland,N,1,Waverley
Comberland,C,0,Waverley
Comberland,I,0,Waverley
Comberland,A,0,Waverley
Comberland,DC,2,Waverley
Comberland,DN,0,Waverley
Conan,N,5,Waverley
Conan,C,1,Waverley
Conan,I,3,Waverley
Conan,A,4,Waverley
Conan,DC,1,Waverley
Conan,DN,0,Waverley
Cromwell,N,10,Waverley
Cromwell,C,0,Waverley
Cromwell,I,0,Waverley
Cromwell,A,0,Waverley
Cromwell,DC,3,Waverley
Cromwell,DN,1,Waverley
Cupid,N,4,Waverley
Cupid,C,0,Waverley
Cupid,I,0,Waverley
Cupid,A,2,Waverley
Cupid,DC,1,Waverley
Cupid,DN,0,Waverley
Davie,N,55,Waverley
Davie,C,16,Waverley
Davie,I,7,Waverley
Davie,A,33,Waverley
Davie,DC,9,Waverley
Davie,DN,7,Waverley
Dermid,N,5,Waverley
Dermid,C,0,Waverley
Dermid,I,1,Waverley
Dermid,A,3,Waverley
Dermid,DC,6,Waverley
Dermid,DN,0,Waverley
Dick,N,8,Waverley
Dick,C,0,Waverley
Dick,I,4,Waverley
Dick,A,9,Waverley
Dick,DC,0,Waverley
Dick,DN,2,Waverley
Dicken,N,1,Waverley
Dicken,C,0,Waverley
Dicken,I,3,Waverley
Dicken,A,3,Waverley
Dicken,DC,0,Waverley
Dicken,DN,0,Waverley
Doctor John Leyden,N,2,Waverley
Doctor John Leyden,C,0,Waverley
Doctor John Leyden,I,1,Waverley
Doctor John Leyden,A,2,Waverley
Doctor John Leyden,DC,3,Waverley
Doctor John Leyden,DN,0,Waverley
Donald Bean Lean,N,68,Waverley
Donald Bean Lean,C,9,Waverley
Donald Bean Lean,I,27,Waverley
Donald Bean Lean,A,57,Waverley
Donald Bean Lean,DC,43,Waverley
Donald Bean Lean,DN,6,Waverley
Dr.,N,3,Waverley
Dr.,C,2,Waverley
Dr.,I,3,Waverley
Dr.,A,0,Waverley
Dr.,DC,1,Waverley
Dr.,DN,0,Waverley
Drawslot,N,5,Waverley
Drawslot,C,2,Waverley
Drawslot,I,1,Waverley
Drawslot,A,4,Waverley
Drawslot,DC,0,Waverley
Drawslot,DN,0,Waverley
Duchran,N,6,Waverley
