character,tag,count,novel
Adam,N,5,Westward_Ho!
Adam,C,0,Westward_Ho!
Adam,I,0,Westward_Ho!
Adam,A,2,Westward_Ho!
Adam,DC,1,Westward_Ho!
Adam,DN,1,Westward_Ho!
Admiral Hawkins--,N,1,Westward_Ho!
Admiral Hawkins--,C,0,Westward_Ho!
Admiral Hawkins--,I,0,Westward_Ho!
Admiral Hawkins--,A,1,Westward_Ho!
Admiral Hawkins--,DC,2,Westward_Ho!
Admiral Hawkins--,DN,1,Westward_Ho!
Admiral Leigh,N,3,Westward_Ho!
Admiral Leigh,C,0,Westward_Ho!
Admiral Leigh,I,1,Westward_Ho!
Admiral Leigh,A,1,Westward_Ho!
Admiral Leigh,DC,2,Westward_Ho!
Admiral Leigh,DN,0,Westward_Ho!
Adrian,N,21,Westward_Ho!
Adrian,C,14,Westward_Ho!
Adrian,I,2,Westward_Ho!
Adrian,A,6,Westward_Ho!
Adrian,DC,6,Westward_Ho!
Adrian,DN,3,Westward_Ho!
Almagro,N,5,Westward_Ho!
Almagro,C,0,Westward_Ho!
Almagro,I,1,Westward_Ho!
Almagro,A,2,Westward_Ho!
Almagro,DC,1,Westward_Ho!
Almagro,DN,1,Westward_Ho!
Americans,N,2,Westward_Ho!
Americans,C,0,Westward_Ho!
Americans,I,0,Westward_Ho!
Americans,A,0,Westward_Ho!
Americans,DC,0,Westward_Ho!
Americans,DN,0,Westward_Ho!
Amyas,N,1351,Westward_Ho!
Amyas,C,1011,Westward_Ho!
Amyas,I,545,Westward_Ho!
Amyas,A,937,Westward_Ho!
Amyas,DC,226,Westward_Ho!
Amyas,DN,145,Westward_Ho!
Amyas--,N,2,Westward_Ho!
Amyas--,C,5,Westward_Ho!
Amyas--,I,0,Westward_Ho!
Amyas--,A,2,Westward_Ho!
Amyas--,DC,0,Westward_Ho!
Amyas--,DN,0,Westward_Ho!
Anthony,N,6,Westward_Ho!
Anthony,C,0,Westward_Ho!
Anthony,I,0,Westward_Ho!
Anthony,A,2,Westward_Ho!
Anthony,DC,1,Westward_Ho!
Anthony,DN,0,Westward_Ho!
Antichrist,N,2,Westward_Ho!
Antichrist,C,0,Westward_Ho!
Antichrist,I,0,Westward_Ho!
Antichrist,A,2,Westward_Ho!
Antichrist,DC,2,Westward_Ho!
Antichrist,DN,0,Westward_Ho!
Arthur,N,5,Westward_Ho!
Arthur,C,2,Westward_Ho!
Arthur,I,0,Westward_Ho!
Arthur,A,2,Westward_Ho!
Arthur,DC,4,Westward_Ho!
Arthur,DN,0,Westward_Ho!
Augustine Delgado,N,2,Westward_Ho!
Augustine Delgado,C,0,Westward_Ho!
Augustine Delgado,I,0,Westward_Ho!
Augustine Delgado,A,4,Westward_Ho!
Augustine Delgado,DC,0,Westward_Ho!
Augustine Delgado,DN,0,Westward_Ho!
Ayacanora,N,103,Westward_Ho!
Ayacanora,C,68,Westward_Ho!
Ayacanora,I,61,Westward_Ho!
Ayacanora,A,134,Westward_Ho!
Ayacanora,DC,40,Westward_Ho!
Ayacanora,DN,28,Westward_Ho!
BROTHER,N,2,Westward_Ho!
BROTHER,C,0,Westward_Ho!
BROTHER,I,1,Westward_Ho!
BROTHER,A,2,Westward_Ho!
BROTHER,DC,2,Westward_Ho!
BROTHER,DN,0,Westward_Ho!
Barker,N,6,Westward_Ho!
Barker,C,0,Westward_Ho!
Barker,I,0,Westward_Ho!
Barker,A,1,Westward_Ho!
Barker,DC,0,Westward_Ho!
Barker,DN,1,Westward_Ho!
Belphegor,N,1,Westward_Ho!
Belphegor,C,0,Westward_Ho!
Belphegor,I,0,Westward_Ho!
Belphegor,A,0,Westward_Ho!
Belphegor,DC,4,Westward_Ho!
Belphegor,DN,0,Westward_Ho!
Berreo,N,1,Westward_Ho!
Berreo,C,0,Westward_Ho!
Berreo,I,0,Westward_Ho!
Berreo,A,2,Westward_Ho!
Berreo,DC,1,Westward_Ho!
Berreo,DN,0,Westward_Ho!
Bideford,N,8,Westward_Ho!
Bideford,C,1,Westward_Ho!
Bideford,I,2,Westward_Ho!
Bideford,A,2,Westward_Ho!
Bideford,DC,2,Westward_Ho!
Bideford,DN,0,Westward_Ho!
Bobadils,N,1,Westward_Ho!
Bobadils,C,0,Westward_Ho!
Bobadils,I,1,Westward_Ho!
Bobadils,A,3,Westward_Ho!
Bobadils,DC,3,Westward_Ho!
Bobadils,DN,0,Westward_Ho!
Budaeus,N,6,Westward_Ho!
Budaeus,C,0,Westward_Ho!
Budaeus,I,0,Westward_Ho!
Budaeus,A,0,Westward_Ho!
Budaeus,DC,0,Westward_Ho!
Budaeus,DN,0,Westward_Ho!
CAMPBELL,N,2,Westward_Ho!
CAMPBELL,C,7,Westward_Ho!
CAMPBELL,I,4,Westward_Ho!
CAMPBELL,A,4,Westward_Ho!
CAMPBELL,DC,0,Westward_Ho!
CAMPBELL,DN,1,Westward_Ho!
Cabot,N,3,Westward_Ho!
Cabot,C,0,Westward_Ho!
Cabot,I,0,Westward_Ho!
Cabot,A,0,Westward_Ho!
Cabot,DC,3,Westward_Ho!
Cabot,DN,0,Westward_Ho!
Campian,N,40,Westward_Ho!
Campian,C,38,Westward_Ho!
Campian,I,18,Westward_Ho!
Campian,A,19,Westward_Ho!
Campian,DC,6,Westward_Ho!
Campian,DN,1,Westward_Ho!
Captain Drake,N,18,Westward_Ho!
Captain Drake,C,0,Westward_Ho!
Captain Drake,I,6,Westward_Ho!
Captain Drake,A,12,Westward_Ho!
Captain Drake,DC,12,Westward_Ho!
Captain Drake,DN,4,Westward_Ho!
Captain Hawkins,N,15,Westward_Ho!
Captain Hawkins,C,3,Westward_Ho!
Captain Hawkins,I,1,Westward_Ho!
Captain Hawkins,A,7,Westward_Ho!
Captain Hawkins,DC,6,Westward_Ho!
Captain Hawkins,DN,4,Westward_Ho!
Cary,N,356,Westward_Ho!
Cary,C,319,Westward_Ho!
Cary,I,131,Westward_Ho!
Cary,A,170,Westward_Ho!
Cary,DC,99,Westward_Ho!
Cary,DN,16,Westward_Ho!
Catharina,N,10,Westward_Ho!
Catharina,C,0,Westward_Ho!
Catharina,I,1,Westward_Ho!
Catharina,A,17,Westward_Ho!
Catharina,DC,2,Westward_Ho!
Catharina,DN,1,Westward_Ho!
Catiline,N,2,Westward_Ho!
Catiline,C,0,Westward_Ho!
Catiline,I,0,Westward_Ho!
Catiline,A,3,Westward_Ho!
Catiline,DC,3,Westward_Ho!
Catiline,DN,0,Westward_Ho!
Christ,N,13,Westward_Ho!
Christ,C,0,Westward_Ho!
Christ,I,0,Westward_Ho!
Christ,A,4,Westward_Ho!
Christ,DC,7,Westward_Ho!
Christ,DN,0,Westward_Ho!
Colin Clout,N,5,Westward_Ho!
Colin Clout,C,0,Westward_Ho!
Colin Clout,I,0,Westward_Ho!
Colin Clout,A,0,Westward_Ho!
Colin Clout,DC,4,Westward_Ho!
Colin Clout,DN,0,Westward_Ho!
Columbus,N,3,Westward_Ho!
Columbus,C,0,Westward_Ho!
Columbus,I,0,Westward_Ho!
Columbus,A,4,Westward_Ho!
Columbus,DC,2,Westward_Ho!
Columbus,DN,0,Westward_Ho!
DEAR LAD,N,1,Westward_Ho!
DEAR LAD,C,0,Westward_Ho!
DEAR LAD,I,1,Westward_Ho!
DEAR LAD,A,2,Westward_Ho!
DEAR LAD,DC,8,Westward_Ho!
DEAR LAD,DN,0,Westward_Ho!
Daniel,N,10,Westward_Ho!
Daniel,C,1,Westward_Ho!
Daniel,I,0,Westward_Ho!
Daniel,A,2,Westward_Ho!
Daniel,DC,7,Westward_Ho!
Daniel,DN,0,Westward_Ho!
David,N,5,Westward_Ho!
David,C,0,Westward_Ho!
David,I,1,Westward_Ho!
David,A,1,Westward_Ho!
David,DC,4,Westward_Ho!
David,DN,0,Westward_Ho!
Davils,N,7,Westward_Ho!
Davils,C,0,Westward_Ho!
Davils,I,1,Westward_Ho!
Davils,A,2,Westward_Ho!
Davils,DC,13,Westward_Ho!
Davils,DN,0,Westward_Ho!
Desmond,N,18,Westward_Ho!
Desmond,C,0,Westward_Ho!
Desmond,I,1,Westward_Ho!
Desmond,A,5,Westward_Ho!
Desmond,DC,15,Westward_Ho!
Desmond,DN,1,Westward_Ho!
Devon,N,5,Westward_Ho!
Devon,C,0,Westward_Ho!
Devon,I,0,Westward_Ho!
Devon,A,0,Westward_Ho!
Devon,DC,1,Westward_Ho!
Devon,DN,0,Westward_Ho!
Diabolus,N,2,Westward_Ho!
Diabolus,C,0,Westward_Ho!
Diabolus,I,0,Westward_Ho!
Diabolus,A,1,Westward_Ho!
Diabolus,DC,0,Westward_Ho!
Diabolus,DN,1,Westward_Ho!
Dian,N,2,Westward_Ho!
Dian,C,0,Westward_Ho!
Dian,I,0,Westward_Ho!
Dian,A,0,Westward_Ho!
Dian,DC,0,Westward_Ho!
Dian,DN,0,Westward_Ho!
Dick Grenville,N,4,Westward_Ho!
Dick Grenville,C,0,Westward_Ho!
Dick Grenville,I,0,Westward_Ho!
Dick Grenville,A,0,Westward_Ho!
Dick Grenville,DC,3,Westward_Ho!
Dick Grenville,DN,0,Westward_Ho!
Don Ferdinando de Soto,N,5,Westward_Ho!
Don Ferdinando de Soto,C,0,Westward_Ho!
Don Ferdinando de Soto,I,0,Westward_Ho!
Don Ferdinando de Soto,A,4,Westward_Ho!
Don Ferdinando de Soto,DC,2,Westward_Ho!
Don Ferdinando de Soto,DN,2,Westward_Ho!
Don Guzman,N,107,Westward_Ho!
Don Guzman,C,75,Westward_Ho!
Don Guzman,I,51,Westward_Ho!
Don Guzman,A,85,Westward_Ho!
Don Guzman,DC,36,Westward_Ho!
Don Guzman,DN,19,Westward_Ho!
Don Pedro,N,10,Westward_Ho!
Don Pedro,C,2,Westward_Ho!
Don Pedro,I,2,Westward_Ho!
Don Pedro,A,6,Westward_Ho!
Don Pedro,DC,0,Westward_Ho!
Don Pedro,DN,3,Westward_Ho!
Don Sebastian,N,13,Westward_Ho!
Don Sebastian,C,0,Westward_Ho!
Don Sebastian,I,2,Westward_Ho!
Don Sebastian,A,12,Westward_Ho!
Don Sebastian,DC,16,Westward_Ho!
Don Sebastian,DN,0,Westward_Ho!
Drake,N,25,Westward_Ho!
Drake,C,4,Westward_Ho!
Drake,I,3,Westward_Ho!
Drake,A,10,Westward_Ho!
Drake,DC,6,Westward_Ho!
Drake,DN,0,Westward_Ho!
Drew,N,34,Westward_Ho!
Drew,C,15,Westward_Ho!
Drew,I,8,Westward_Ho!
Drew,A,17,Westward_Ho!
Drew,DC,10,Westward_Ho!
Drew,DN,2,Westward_Ho!
Earl Ordulf,N,3,Westward_Ho!
Earl Ordulf,C,0,Westward_Ho!
Earl Ordulf,I,0,Westward_Ho!
Earl Ordulf,A,0,Westward_Ho!
Earl Ordulf,DC,3,Westward_Ho!
Earl Ordulf,DN,0,Westward_Ho!
Ebsworthy,N,5,Westward_Ho!
Ebsworthy,C,2,Westward_Ho!
Ebsworthy,I,2,Westward_Ho!
Ebsworthy,A,3,Westward_Ho!
Ebsworthy,DC,2,Westward_Ho!
Ebsworthy,DN,0,Westward_Ho!
Elizabeth,N,44,Westward_Ho!
Elizabeth,C,18,Westward_Ho!
Elizabeth,I,5,Westward_Ho!
Elizabeth,A,26,Westward_Ho!
Elizabeth,DC,5,Westward_Ho!
Elizabeth,DN,4,Westward_Ho!
England,N,1,Westward_Ho!
England,C,1,Westward_Ho!
England,I,0,Westward_Ho!
England,A,1,Westward_Ho!
England,DC,1,Westward_Ho!
England,DN,0,Westward_Ho!
Englishman,N,4,Westward_Ho!
Englishman,C,0,Westward_Ho!
Englishman,I,0,Westward_Ho!
Englishman,A,0,Westward_Ho!
Englishman,DC,2,Westward_Ho!
Englishman,DN,0,Westward_Ho!
Eros,N,2,Westward_Ho!
Eros,C,0,Westward_Ho!
Eros,I,1,Westward_Ho!
Eros,A,2,Westward_Ho!
Eros,DC,3,Westward_Ho!
Eros,DN,1,Westward_Ho!
Eustace,N,193,Westward_Ho!
Eustace,C,149,Westward_Ho!
Eustace,I,91,Westward_Ho!
Eustace,A,170,Westward_Ho!
Eustace,DC,46,Westward_Ho!
Eustace,DN,36,Westward_Ho!
Evans,N,5,Westward_Ho!
Evans,C,0,Westward_Ho!
Evans,I,0,Westward_Ho!
Evans,A,3,Westward_Ho!
Evans,DC,0,Westward_Ho!
Evans,DN,0,Westward_Ho!
Eve,N,6,Westward_Ho!
Eve,C,0,Westward_Ho!
Eve,I,0,Westward_Ho!
Eve,A,1,Westward_Ho!
Eve,DC,0,Westward_Ho!
Eve,DN,0,Westward_Ho!
Father Neptune,N,4,Westward_Ho!
Father Neptune,C,10,Westward_Ho!
Father Neptune,I,3,Westward_Ho!
Father Neptune,A,3,Westward_Ho!
Father Neptune,DC,0,Westward_Ho!
Father Neptune,DN,0,Westward_Ho!
Fisher Hobbs,N,3,Westward_Ho!
Fisher Hobbs,C,0,Westward_Ho!
Fisher Hobbs,I,0,Westward_Ho!
Fisher Hobbs,A,0,Westward_Ho!
Fisher Hobbs,DC,0,Westward_Ho!
Fisher Hobbs,DN,2,Westward_Ho!
Fortescue,N,8,Westward_Ho!
Fortescue,C,3,Westward_Ho!
Fortescue,I,1,Westward_Ho!
Fortescue,A,3,Westward_Ho!
Fortescue,DC,1,Westward_Ho!
Fortescue,DN,2,Westward_Ho!
Frank,N,432,Westward_Ho!
Frank,C,235,Westward_Ho!
Frank,I,124,Westward_Ho!
Frank,A,221,Westward_Ho!
Frank,DC,126,Westward_Ho!
Frank,DN,26,Westward_Ho!
Fray Gerundio,N,19,Westward_Ho!
Fray Gerundio,C,2,Westward_Ho!
Fray Gerundio,I,4,Westward_Ho!
Fray Gerundio,A,3,Westward_Ho!
Fray Gerundio,DC,4,Westward_Ho!
Fray Gerundio,DN,2,Westward_Ho!
Frobisher,N,8,Westward_Ho!
Frobisher,C,0,Westward_Ho!
Frobisher,I,0,Westward_Ho!
Frobisher,A,3,Westward_Ho!
Frobisher,DC,1,Westward_Ho!
Frobisher,DN,0,Westward_Ho!
Fuller,N,5,Westward_Ho!
Fuller,C,6,Westward_Ho!
Fuller,I,2,Westward_Ho!
Fuller,A,3,Westward_Ho!
Fuller,DC,0,Westward_Ho!
Fuller,DN,0,Westward_Ho!
George Fenner,N,9,Westward_Ho!
George Fenner,C,0,Westward_Ho!
George Fenner,I,1,Westward_Ho!
George Fenner,A,2,Westward_Ho!
George Fenner,DC,1,Westward_Ho!
George Fenner,DN,0,Westward_Ho!
Gloriana,N,3,Westward_Ho!
Gloriana,C,0,Westward_Ho!
Gloriana,I,3,Westward_Ho!
Gloriana,A,3,Westward_Ho!
Gloriana,DC,3,Westward_Ho!
Gloriana,DN,0,Westward_Ho!
God,N,463,Westward_Ho!
God,C,10,Westward_Ho!
God,I,56,Westward_Ho!
God,A,122,Westward_Ho!
God,DC,233,Westward_Ho!
God,DN,14,Westward_Ho!
Grace,N,6,Westward_Ho!
Grace,C,0,Westward_Ho!
Grace,I,0,Westward_Ho!
Grace,A,1,Westward_Ho!
Grace,DC,0,Westward_Ho!
Grace,DN,0,Westward_Ho!
Hankford,N,4,Westward_Ho!
Hankford,C,0,Westward_Ho!
Hankford,I,1,Westward_Ho!
Hankford,A,1,Westward_Ho!
