novel,n_characters,n_chapters,total_tags,N_total,C_total,I_total,A_total,DC_total,DN_total
A_Tale_of_Two_Cities,49,90,7715,2341,1670,1142,1632,698,232
Adam_Bede,107,110,19371,5583,2376,3175,5072,2460,705
Almayer's_Folly,32,12,4120,1610,556,524,975,344,111
Armadale,80,6,18642,5392,3017,2746,4233,2955,299
Aurora_Floyd1,32,14,3605,1368,344,582,863,214,234
Aurora_Floyd2,39,13,4288,1353,717,612,1030,387,189
Aurora_Floyd3,36,15,4641,1443,716,781,1048,497,156
Barchester_Towers,107,3,14948,5155,1613,2518,3486,1126,1050
Belinda,85,31,20328,6247,3104,3323,3941,3150,563
Bébée,29,28,2913,717,377,558,866,199,196
Can_You_Forgive_Her,125,39,30519,8211,4729,5483,7182,3359,1555
Daniel_Deronda,136,70,25073,7308,3777,4640,5618,2710,1020
Deerbrook,81,46,22925,7094,3181,3895,4631,3341,783
Dombey_and_Son,145,124,30089,11811,4952,3678,5513,3172,963
East_Lynne,121,94,27762,8448,4831,3557,5549,4677,700
Emma,82,110,15088,4558,1627,2666,3030,2468,739
Esther_Waters,83,1,13855,3397,2312,2462,3679,1582,423
Guy_Mannering,122,58,9060,3333,1553,1153,1871,881,269
Hard_Cash,181,2,21450,6766,3914,2703,5185,2182,700
Hard_Times,47,74,8871,2669,1974,1263,1687,1068,210
Jack_Sheppard,93,61,16134,5124,3955,1758,3247,1767,283
Jude_the_Obscure,40,54,10745,2501,1946,1888,2987,1058,365
Lady_Audley's_Secret,57,41,10711,3215,1799,1633,2614,1133,317
Love_and_Mr._Lewisham,31,32,5365,1419,1273,844,1327,318,184
Mansfield_Park,68,96,14009,4337,1386,2601,3053,1855,777
Mary_Barton,72,38,11732,3615,1348,2107,2977,1169,516
Melmoth_the_Wanderer1,27,5,1271,416,156,247,358,26,68
Melmoth_the_Wanderer2,19,6,349,121,46,73,87,6,16
Melmoth_the_Wanderer3,28,23,1426,476,227,212,363,111,37
Melmoth_the_Wanderer4,34,51,2715,1092,246,387,649,258,83
Middlemarch,176,172,29508,9459,4259,4900,5913,3846,1131
Miss_Marjoribanks,71,104,17253,5997,1911,2873,3738,1736,998
Mr._Midshipman_Easy,78,41,12465,4298,2284,1633,2746,1100,404
New_Grub_Street,67,38,15508,3901,2997,2686,3723,1766,435
North_and_South,84,52,17079,4594,2403,3144,4039,2292,607
Old_Mortality,124,45,10280,3652,2083,1141,2017,1162,225
Oliver_Twist,59,57,11485,4111,2450,1215,2408,955,346
Our_Mutual_Friend,152,68,31854,10514,7270,3883,5855,3764,568
Paul_Clifford,96,36,9461,3416,1533,1241,2082,845,344
Pendennis,332,8,27094,11183,2894,3238,5895,2660,1224
Persuasion,52,48,7569,2527,654,1352,1610,1001,425
Phoebe_Junior,67,45,14924,4296,2221,2648,3066,1930,763
Pride_and_Prejudice,69,30,11595,3537,1489,2050,2365,1617,537
Romola,127,144,15466,4805,1963,2477,3846,1766,609
Rookwood,86,51,13024,3995,2843,1478,2610,1776,322
Ruth,65,36,14491,4368,1639,2757,3482,1562,683
Sense_and_Sensibility,48,100,10281,3338,1233,1815,2046,1373,476
Shirley,129,37,18327,4776,3266,2973,4237,2429,646
Sybil,145,72,11917,3948,2803,1443,2076,1342,305
Tess_of_the_d'Urbervilles,51,60,7883,2205,1214,1434,2141,500,389
The_Heart_of_Midlothian1,80,23,4822,1735,950,547,942,478,170
The_Heart_of_Midlothian2,112,33,7159,2586,1084,941,1575,675,298
The_Heir_of_Redclyffe,121,44,28993,8593,5008,4631,5541,4143,1077
The_Invisible_Man,29,28,3326,930,833,419,900,176,68
The_Life_and_Adventures_of_Michael_Armstrong,88,33,13631,4598,2002,2082,2929,1498,522
The_Light_that_Failed,33,30,7537,1856,1597,1105,1956,891,132
The_Mayor_of_Casterbridge,40,2,2032,768,318,295,476,109,66
The_Mill_on_the_Floss,97,116,20835,6541,3097,3131,4781,2517,768
The_Mysteries_of_London1,167,2,13927,4274,2844,2006,3110,1357,336
The_Mysteries_of_London2,210,124,27288,8976,5114,3496,5766,3214,722
The_Mysteries_of_London3,175,110,29796,9789,4797,3968,6691,3832,719
The_Mysteries_of_London4,194,6,3585,1153,664,485,834,340,109
The_Odd_Women,50,31,13026,3043,2416,2441,3178,1576,372
The_Picture_of_Dorian_Gray,53,40,6627,1531,1095,1158,1548,1112,183
The_Pirate,123,3,8115,2895,1657,918,1508,943,194
The_Return_of_the_Native,42,1,10961,2950,2168,1633,2629,1288,293
The_Small_House_at_Allington,117,2,23216,6891,3610,3870,5177,2378,1290
The_Story_of_a_Modern_Woman,32,23,3086,976,452,499,708,310,141
Trilby,104,1,6389,2313,916,830,1347,674,309
Vanity_Fair_1847,300,10,22571,9481,2308,2548,5264,1807,1163
Vivian_Grey,185,79,11969,4114,1833,1654,2366,1558,444
Waverley,186,76,9343,3872,1195,1245,1994,722,315
Westward_Ho!,213,33,16853,6013,3182,1859,3409,1868,522
