novel,n_characters,n_chapters,total_tags,N_total,C_total,I_total,A_total,DC_total,DN_total
A_Tale_of_Two_Cities,49,1,7715,2341,1670,1142,1632,698,232
Adam_Bede,107,1,19372,5584,2376,3175,5072,2460,705
Almayer's_Folly,32,1,4124,1614,556,524,975,344,111
Armadale,80,1,20489,6011,3269,3036,4688,3132,353
Aurora_Floyd1,32,1,3606,1369,344,582,863,214,234
Aurora_Floyd2,39,1,4289,1354,717,612,1030,387,189
Aurora_Floyd3,36,1,4641,1443,716,781,1048,497,156
Barchester_Towers,107,1,14948,5155,1613,2518,3486,1126,1050
Belinda,85,1,20330,6249,3104,3323,3941,3150,563
Bébée,29,1,2912,716,377,558,866,199,196
Can_You_Forgive_Her,125,1,30559,8242,4729,5485,7189,3359,1555
Daniel_Deronda,136,1,25076,7310,3777,4640,5619,2710,1020
Deerbrook,81,1,22925,7094,3181,3895,4631,3341,783
Dombey_and_Son,145,1,30087,11809,4952,3678,5513,3172,963
East_Lynne,121,1,27762,8448,4831,3557,5549,4677,700
Emma,82,1,15081,4551,1627,2666,3030,2468,739
Esther_Waters,83,1,13855,3397,2312,2462,3679,1582,423
Guy_Mannering,122,1,9448,3576,1564,1184,1937,885,302
Hard_Cash,181,1,21450,6766,3914,2703,5185,2182,700
Hard_Times,47,1,8871,2669,1974,1263,1687,1068,210
Jack_Sheppard,93,1,16139,5129,3955,1758,3247,1767,283
Jude_the_Obscure,40,1,10746,2502,1946,1888,2987,1058,365
Lady_Audley's_Secret,57,1,10718,3221,1799,1633,2615,1133,317
Love_and_Mr._Lewisham,31,1,5371,1424,1274,844,1327,318,184
Mansfield_Park,68,1,14005,4333,1386,2601,3053,1855,777
Mary_Barton,72,1,11762,3638,1352,2107,2978,1171,516
Melmoth_the_Wanderer1,27,1,1274,419,156,247,358,26,68
Melmoth_the_Wanderer2,19,1,351,123,46,73,87,6,16
Melmoth_the_Wanderer3,28,1,1428,478,227,212,363,111,37
Melmoth_the_Wanderer4,34,1,2717,1094,246,387,649,258,83
Middlemarch,176,1,29509,9460,4259,4900,5913,3846,1131
Miss_Marjoribanks,71,1,17254,5998,1911,2873,3738,1736,998
Mr._Midshipman_Easy,78,1,12488,4312,2285,1634,2751,1101,405
New_Grub_Street,67,1,15508,3901,2997,2686,3723,1766,435
North_and_South,84,1,17079,4594,2403,3144,4039,2292,607
Old_Mortality,124,1,10889,3919,2185,1195,2108,1223,259
Oliver_Twist,59,1,11498,4116,2450,1216,2413,955,348
Our_Mutual_Friend,152,1,31867,10523,7270,3883,5857,3766,568
Paul_Clifford,96,1,9472,3426,1533,1241,2082,845,345
Pendennis,332,1,27110,11194,2894,3238,5899,2660,1225
Persuasion,52,1,7569,2527,654,1352,1610,1001,425
Phoebe_Junior,67,1,14930,4302,2221,2648,3066,1930,763
Pride_and_Prejudice,69,1,11793,3650,1505,2065,2391,1621,561
Romola,127,1,15465,4804,1963,2477,3846,1766,609
Rookwood,86,1,13138,4045,2860,1483,2645,1776,329
Ruth,65,1,14516,4387,1640,2758,3486,1562,683
Sense_and_Sensibility,48,1,10281,3338,1233,1815,2046,1373,476
Shirley,129,1,18337,4785,3266,2973,4238,2429,646
Sybil,145,1,11917,3948,2803,1443,2076,1342,305
Tess_of_the_d'Urbervilles,51,1,7883,2205,1214,1434,2141,500,389
The_Heart_of_Midlothian1,80,1,5322,1948,1052,594,1026,510,192
The_Heart_of_Midlothian2,112,1,7161,2588,1084,941,1575,675,298
The_Heir_of_Redclyffe,121,1,28993,8593,5008,4631,5541,4143,1077
The_Invisible_Man,29,1,3339,939,835,419,902,176,68
The_Life_and_Adventures_of_Michael_Armstrong,88,1,13631,4598,2002,2082,2929,1498,522
The_Light_that_Failed,33,1,7537,1856,1597,1105,1956,891,132
The_Mayor_of_Casterbridge,40,1,7221,2532,1267,1069,1681,429,243
The_Mill_on_the_Floss,97,1,20836,6541,3098,3131,4781,2517,768
The_Mysteries_of_London1,167,1,25303,7941,5095,3612,5661,2274,720
The_Mysteries_of_London2,210,1,27287,8975,5114,3496,5766,3214,722
The_Mysteries_of_London3,175,1,29796,9789,4797,3968,6691,3832,719
The_Mysteries_of_London4,194,1,24127,8075,4305,3435,5296,2253,763
The_Odd_Women,50,1,13026,3043,2416,2441,3178,1576,372
The_Picture_of_Dorian_Gray,53,1,6628,1532,1095,1158,1548,1112,183
The_Pirate,123,1,11391,4109,2236,1299,2206,1212,329
The_Return_of_the_Native,42,1,10961,2950,2168,1633,2629,1288,293
The_Small_House_at_Allington,117,1,23218,6893,3610,3870,5177,2378,1290
The_Story_of_a_Modern_Woman,32,1,3152,1001,465,506,721,315,144
Trilby,104,1,6389,2313,916,830,1347,674,309
Vanity_Fair_1847,300,1,22582,9487,2309,2548,5268,1807,1163
Vivian_Grey,185,1,11989,4125,1836,1655,2369,1558,446
Waverley,186,1,9465,3933,1199,1263,2023,725,322
Westward_Ho!,213,1,16869,6023,3182,1859,3415,1868,522
